method,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
icp,5,0.8,all,39432,0.7667,-0.0333,0.0725,323.12
icp,5,0.8,clear,20994,0.9167,0.1167,0.0801,149.14
icp,5,0.8,transitional,14850,0.5237,-0.2763,0.0725,611.72
icp,5,0.8,cloudy,3588,0.8944,0.0944,0.0896,146.68
icp_norm,5,0.8,all,39432,0.7775,-0.0225,0.0977,324.22
icp_norm,5,0.8,clear,20994,0.9074,0.1074,0.1122,198.92
icp_norm,5,0.8,transitional,14850,0.5545,-0.2455,0.0933,541.56
icp_norm,5,0.8,cloudy,3588,0.9401,0.1401,0.1152,157.87
mondrian,5,0.8,all,39432,0.7959,-0.0041,0.0822,267.16
mondrian,5,0.8,clear,20994,0.8099,0.0099,0.0235,120.92
mondrian,5,0.8,transitional,14850,0.7718,-0.0282,0.1764,504.82
mondrian,5,0.8,cloudy,3588,0.8133,0.0133,0.0613,139.26
cqr,5,0.8,all,39432,0.8059,0.0059,0.1003,230.05
cqr,5,0.8,clear,20994,0.8275,0.0275,0.0529,131.45
cqr,5,0.8,transitional,14850,0.7657,-0.0343,0.1813,390.42
cqr,5,0.8,cloudy,3588,0.8464,0.0464,0.0901,143.27
mondrian_cqr,5,0.8,all,39432,0.8064,0.0064,0.1015,229.76
mondrian_cqr,5,0.8,clear,20994,0.8174,0.0174,0.0525,131.4
mondrian_cqr,5,0.8,transitional,14850,0.785,-0.015,0.1852,389.8
mondrian_cqr,5,0.8,cloudy,3588,0.8308,0.0308,0.0886,142.95
aci,5,0.8,all,39432,0.8115,0.0115,0.1103,244.55
aci,5,0.8,clear,20994,0.8077,0.0077,0.0342,88.35
aci,5,0.8,transitional,14850,0.8056,0.0056,0.2336,491.98
aci,5,0.8,cloudy,3588,0.8587,0.0587,0.0802,134.39
aci_regime,5,0.8,all,39432,0.8083,0.0083,0.1064,241.91
aci_regime,5,0.8,clear,20994,0.7852,-0.0148,0.0384,99.06
aci_regime,5,0.8,transitional,14850,0.8369,0.0369,0.2206,470.27
aci_regime,5,0.8,cloudy,3588,0.8255,0.0255,0.066,132.58
