method,horizon_min,scope,CRPS
icp,5,all,24.619
icp,5,clear,10.769
icp,5,transitional,47.315
icp,5,cloudy,13.044
mondrian,5,all,19.945
mondrian,5,clear,7.881
mondrian,5,transitional,39.109
mondrian,5,cloudy,12.349
cqr,5,all,15.811
cqr,5,clear,5.496
cqr,5,transitional,31.474
cqr,5,cloudy,12.28
mondrian_cqr,5,all,15.803
mondrian_cqr,5,clear,5.495
mondrian_cqr,5,transitional,31.456
mondrian_cqr,5,cloudy,12.274
icp,60,all,42.867
icp,60,clear,24.856
icp,60,transitional,70.544
icp,60,cloudy,48.336
mondrian,60,all,36.748
mondrian,60,clear,20.791
mondrian,60,transitional,60.146
mondrian,60,cloudy,45.9
cqr,60,all,30.566
cqr,60,clear,15.93
cqr,60,transitional,51.544
cqr,60,cloudy,40.806
mondrian_cqr,60,all,30.561
mondrian_cqr,60,clear,15.929
mondrian_cqr,60,transitional,51.531
mondrian_cqr,60,cloudy,40.81
icp,15,all,33.743
icp,15,clear,16.855
icp,15,transitional,60.416
icp,15,cloudy,27.787
mondrian,15,all,27.753
mondrian,15,clear,12.903
mondrian,15,transitional,49.84
mondrian,15,cloudy,27.965
cqr,15,all,22.515
cqr,15,clear,9.305
cqr,15,transitional,41.629
cqr,15,cloudy,24.826
mondrian_cqr,15,all,22.508
mondrian_cqr,15,clear,9.305
mondrian_cqr,15,transitional,41.612
mondrian_cqr,15,cloudy,24.821
icp,30,all,38.289
icp,30,clear,20.281
icp,30,transitional,66.327
icp,30,cloudy,39.042
mondrian,30,all,31.996
mondrian,30,clear,16.123
mondrian,30,transitional,55.279
mondrian,30,cloudy,38.185
cqr,30,all,26.415
cqr,30,clear,12.142
cqr,30,transitional,46.85
cqr,30,cloudy,33.915
mondrian_cqr,30,all,26.412
mondrian_cqr,30,clear,12.143
mondrian_cqr,30,transitional,46.841
mondrian_cqr,30,cloudy,33.92
