set,horizon_min,scope,metric,value,n
uni,5,all,RMSE,89.321,39432
uni,5,all,MAE,42.659,39432
uni,5,clear,RMSE,25.775,20927
uni,5,clear,MAE,11.983,20927
uni,5,transitional,RMSE,140.578,15023
uni,5,transitional,MAE,89.978,15023
uni,5,cloudy,RMSE,33.069,3482
uni,5,cloudy,MAE,22.865,3482
uni,5,all,PICP90,0.8704,39432
uni,5,all,PINAW90,0.1348,39432
uni,5,clear,PICP90,0.8927,20927
uni,5,clear,PINAW90,0.0599,20927
uni,5,transitional,PICP90,0.8177,15023
uni,5,transitional,PINAW90,0.2417,15023
uni,5,cloudy,PICP90,0.9635,3482
uni,5,cloudy,PINAW90,0.3196,3482
+temp,5,all,RMSE,89.301,39432
+temp,5,all,MAE,42.798,39432
+temp,5,clear,RMSE,26.168,20927
+temp,5,clear,MAE,12.194,20927
+temp,5,transitional,RMSE,140.446,15023
+temp,5,transitional,MAE,89.973,15023
+temp,5,cloudy,RMSE,33.022,3482
+temp,5,cloudy,MAE,23.204,3482
+temp,5,all,PICP90,0.8548,39432
+temp,5,all,PINAW90,0.1346,39432
+temp,5,clear,PICP90,0.8612,20927
+temp,5,clear,PINAW90,0.0567,20927
+temp,5,transitional,PICP90,0.8208,15023
+temp,5,transitional,PINAW90,0.2438,15023
+temp,5,cloudy,PICP90,0.9632,3482
+temp,5,cloudy,PINAW90,0.3315,3482
+wind,5,all,RMSE,89.379,39432
+wind,5,all,MAE,42.524,39432
+wind,5,clear,RMSE,25.707,20927
+wind,5,clear,MAE,11.795,20927
+wind,5,transitional,RMSE,140.746,15023
+wind,5,transitional,MAE,90.054,15023
+wind,5,cloudy,RMSE,32.057,3482
+wind,5,cloudy,MAE,22.137,3482
+wind,5,all,PICP90,0.8699,39432
+wind,5,all,PINAW90,0.1348,39432
+wind,5,clear,PICP90,0.8815,20927
+wind,5,clear,PINAW90,0.058,20927
+wind,5,transitional,PICP90,0.8331,15023
+wind,5,transitional,PINAW90,0.2445,15023
+wind,5,cloudy,PICP90,0.9592,3482
+wind,5,cloudy,PINAW90,0.317,3482
all,5,all,RMSE,89.441,39432
all,5,all,MAE,43.119,39432
all,5,clear,RMSE,26.426,20927
all,5,clear,MAE,12.455,20927
all,5,transitional,RMSE,140.535,15023
all,5,transitional,MAE,90.196,15023
all,5,cloudy,RMSE,34.426,3482
all,5,cloudy,MAE,24.298,3482
all,5,all,PICP90,0.8608,39432
all,5,all,PINAW90,0.1347,39432
all,5,clear,PICP90,0.8714,20927
all,5,clear,PINAW90,0.0572,20927
all,5,transitional,PICP90,0.8241,15023
all,5,transitional,PINAW90,0.2447,15023
all,5,cloudy,PICP90,0.9552,3482
all,5,cloudy,PINAW90,0.3208,3482
uni,60,all,RMSE,153.073,35424
uni,60,all,MAE,90.451,35424
uni,60,clear,RMSE,80.398,19391
uni,60,clear,MAE,38.542,19391
