batt,E_max,P_max,policy,horizon_min,mean_daily,cvar95_daily,soc_min,soc_max
default,600.0,400.0,deterministic,5,178.34,721.42,0.1,0.468
default,600.0,400.0,mondrian,5,13.95,159.09,0.1,0.981
default,600.0,400.0,oracle,5,0.0,0.0,0.1,0.1
small,250.0,250.0,deterministic,5,183.43,739.3,0.1,0.954
small,250.0,250.0,mondrian,5,36.23,251.83,0.1,1.0
small,250.0,250.0,oracle,5,0.0,0.0,0.1,0.1
large,1500.0,600.0,deterministic,5,178.21,721.27,0.1,0.249
large,1500.0,600.0,mondrian,5,11.88,153.58,0.1,0.452
large,1500.0,600.0,oracle,5,0.0,0.0,0.1,0.1
default,600.0,400.0,deterministic,30,449.79,2528.55,0.1,0.853
default,600.0,400.0,mondrian,30,84.06,767.36,0.1,1.0
default,600.0,400.0,oracle,30,0.0,0.0,0.1,0.1
small,250.0,250.0,deterministic,30,467.12,2545.85,0.1,1.0
small,250.0,250.0,mondrian,30,153.31,912.96,0.1,1.0
small,250.0,250.0,oracle,30,0.0,0.0,0.1,0.1
large,1500.0,600.0,deterministic,30,448.12,2527.67,0.1,0.41
large,1500.0,600.0,mondrian,30,72.45,754.31,0.1,0.78
large,1500.0,600.0,oracle,30,0.0,0.0,0.1,0.1
