policy,rho,horizon_min,E_max,P_max,mean_daily,cvar95_daily,total,soc_min,soc_max
deterministic,,5,600.0,400.0,178.34,721.42,63490.1,0.1,0.468
icp,0.5,5,600.0,400.0,225.65,826.64,80332.1,0.1,0.453
icp,0.6,5,600.0,400.0,197.37,766.57,70264.6,0.1,0.461
icp,0.7,5,600.0,400.0,172.54,706.92,61424.3,0.1,0.47
icp,0.8,5,600.0,400.0,131.4,602.46,46777.4,0.1,0.507
icp,0.9,5,600.0,400.0,16.37,183.59,5826.5,0.1,0.907
icp,0.95,5,600.0,400.0,45.6,174.08,16232.9,0.1,1.0
mondrian,0.5,5,600.0,400.0,200.05,762.33,71216.2,0.1,0.453
mondrian,0.6,5,600.0,400.0,147.9,642.18,52652.1,0.1,0.466
mondrian,0.7,5,600.0,400.0,74.23,426.89,26426.7,0.1,0.564
mondrian,0.8,5,600.0,400.0,13.95,159.09,4967.9,0.1,0.981
mondrian,0.9,5,600.0,400.0,25.4,148.2,9043.0,0.1,1.0
mondrian,0.95,5,600.0,400.0,85.45,343.25,30419.5,0.1,1.0
mondrian_cqr,0.5,5,600.0,400.0,160.7,598.1,57207.8,0.1,0.43
mondrian_cqr,0.6,5,600.0,400.0,123.17,520.25,43848.9,0.1,0.439
mondrian_cqr,0.7,5,600.0,400.0,15.5,128.21,5516.8,0.1,0.841
mondrian_cqr,0.8,5,600.0,400.0,10.52,97.4,3744.5,0.1,1.0
mondrian_cqr,0.9,5,600.0,400.0,27.44,164.61,9768.0,0.1,1.0
mondrian_cqr,0.95,5,600.0,400.0,66.04,289.02,23511.8,0.1,1.0
oracle,,5,600.0,400.0,0.0,0.0,0.0,0.1,0.1
deterministic,,30,600.0,400.0,449.79,2528.55,160126.4,0.1,0.853
icp,0.5,30,600.0,400.0,548.22,2846.42,195168.0,0.1,0.804
icp,0.6,30,600.0,400.0,495.74,2693.79,176483.9,0.1,0.828
icp,0.7,30,600.0,400.0,451.22,2533.68,160633.5,0.1,0.852
icp,0.8,30,600.0,400.0,363.89,2195.98,129543.6,0.1,0.91
icp,0.9,30,600.0,400.0,87.54,788.78,31164.9,0.1,1.0
icp,0.95,30,600.0,400.0,181.42,420.8,64584.2,0.1,1.0
mondrian,0.5,30,600.0,400.0,482.04,2356.55,171604.5,0.1,0.8
mondrian,0.6,30,600.0,400.0,373.55,2008.75,132983.9,0.1,0.853
mondrian,0.7,30,600.0,400.0,237.56,1544.44,84569.7,0.1,1.0
mondrian,0.8,30,600.0,400.0,84.06,767.36,29925.0,0.1,1.0
mondrian,0.9,30,600.0,400.0,100.2,441.04,35671.0,0.1,1.0
mondrian,0.95,30,600.0,400.0,198.72,670.96,70744.5,0.1,1.0
mondrian_cqr,0.5,30,600.0,400.0,459.94,1905.34,163738.4,0.1,0.752
mondrian_cqr,0.6,30,600.0,400.0,386.26,1705.03,137510.0,0.1,0.783
mondrian_cqr,0.7,30,600.0,400.0,90.0,658.38,32039.2,0.1,1.0
mondrian_cqr,0.8,30,600.0,400.0,60.77,410.26,21633.3,0.1,1.0
mondrian_cqr,0.9,30,600.0,400.0,109.14,443.67,38853.9,0.1,1.0
mondrian_cqr,0.95,30,600.0,400.0,181.99,618.62,64789.7,0.1,1.0
oracle,,30,600.0,400.0,0.0,0.0,0.0,0.1,0.1
