year,method,scope,n,PICP,PINAW
2019,icp,all,40906,0.921,0.136
2019,icp,clear,28678,0.9851,0.1405
2019,icp,transitional,11243,0.7557,0.1344
2019,icp,cloudy,985,0.9421,0.1627
2019,mondrian,all,40906,0.8987,0.0919
2019,mondrian,clear,28678,0.8929,0.0199
2019,mondrian,transitional,11243,0.9134,0.2772
2019,mondrian,cloudy,985,0.8975,0.1083
2019,aci,all,40906,0.9215,0.1168
2019,aci,clear,28678,0.9429,0.0457
2019,aci,transitional,11243,0.8658,0.3001
2019,aci,cloudy,985,0.934,0.1609
2020,icp,all,43276,0.8774,0.0955
2020,icp,clear,26067,0.9778,0.1157
2020,icp,transitional,13934,0.6755,0.0949
2020,icp,cloudy,3275,0.9377,0.1475
2020,mondrian,all,43276,0.8959,0.0916
2020,mondrian,clear,26067,0.8958,0.0227
2020,mondrian,transitional,13934,0.8937,0.2315
2020,mondrian,cloudy,3275,0.906,0.1199
2020,aci,all,43276,0.918,0.1201
2020,aci,clear,26067,0.9357,0.0426
2020,aci,transitional,13934,0.8824,0.2846
2020,aci,cloudy,3275,0.9279,0.1504
2021,icp,all,42671,0.8789,0.1237
2021,icp,clear,24632,0.9823,0.1407
2021,icp,transitional,15196,0.6977,0.1228
2021,icp,cloudy,2843,0.9508,0.1556
2021,mondrian,all,42671,0.8892,0.1049
2021,mondrian,clear,24632,0.8945,0.0227
2021,mondrian,transitional,15196,0.8793,0.2481
2021,mondrian,cloudy,2843,0.8966,0.0985
2021,aci,all,42671,0.9213,0.1524
2021,aci,clear,24632,0.9454,0.0521
2021,aci,transitional,15196,0.8794,0.3331
2021,aci,cloudy,2843,0.9367,0.141
2022,icp,all,41465,0.8979,0.1474
2022,icp,clear,21620,0.9826,0.1665
2022,icp,transitional,15758,0.7623,0.1465
2022,icp,cloudy,4087,0.9728,0.1866
2022,mondrian,all,41465,0.8966,0.1223
2022,mondrian,clear,21620,0.8821,0.0239
2022,mondrian,transitional,15758,0.9131,0.2721
2022,mondrian,cloudy,4087,0.9095,0.1058
2022,aci,all,41465,0.9238,0.151
2022,aci,clear,21620,0.9473,0.0612
2022,aci,transitional,15758,0.8868,0.294
2022,aci,cloudy,4087,0.9423,0.1449
2023,icp,all,38085,0.9077,0.1557
2023,icp,clear,22658,0.985,0.1595
2023,icp,transitional,12986,0.7605,0.1578
2023,icp,cloudy,2441,0.9734,0.1433
2023,mondrian,all,38085,0.8693,0.1137
2023,mondrian,clear,22658,0.8521,0.0303
2023,mondrian,transitional,12986,0.8933,0.2715
2023,mondrian,cloudy,2441,0.9005,0.0777
2023,aci,all,38085,0.9173,0.1507
2023,aci,clear,22658,0.9198,0.0619
2023,aci,transitional,12986,0.9073,0.3207
2023,aci,cloudy,2441,0.9467,0.1085
2024,icp,all,39432,0.878,0.1444
2024,icp,clear,20994,0.978,0.1608
2024,icp,transitional,14850,0.7142,0.1441
2024,icp,cloudy,3588,0.9707,0.1715
2024,mondrian,all,39432,0.8887,0.138
2024,mondrian,clear,20994,0.8918,0.0578
2024,mondrian,transitional,14850,0.8807,0.2739
2024,mondrian,cloudy,3588,0.9041,0.096
2024,aci,all,39432,0.9157,0.175
2024,aci,clear,20994,0.9188,0.0684
2024,aci,transitional,14850,0.9044,0.3511
2024,aci,cloudy,3588,0.9445,0.1346
