variable,sentinels,out_of_bounds,missing_before_interp,pct_missing_before,interpolated,missing_after_interp,pct_missing_after
ghi,2428,28,60812,6.607,13925,46887,5.094
ghi_alt,1199,1200,37070,4.027,12027,25043,2.721
temp_air,456269,25746,516676,56.133,11849,504827,54.846
wind_spd,3,114209,148883,16.175,28939,119944,13.031
wind_max,1,414942,452953,49.21,40385,412568,44.822
wind_dir,3,107475,145488,15.806,36888,108600,11.799
pressure,3,458323,516682,56.134,11853,504829,54.846
rain_day,478684,0,516682,56.134,11855,504827,54.846
temp_mod1,0,430010,488366,53.057,54289,434077,47.159
temp_mod2,5,2,58363,6.341,13849,44514,4.836
pv_total,0,0,34452,3.743,6296,28156,3.059
