model,horizon_min,MAE,RMSE,R2
persistence,5,45.4713,98.4738,0.9035
smart_persistence,5,40.7985,97.8294,0.9048
linear_ar,5,44.5013,91.8287,0.9161
gru,5,43.75936126708984,91.98077392578124,0.9164169430732728
gru_tcn,5,43.107948303222656,91.33845520019533,0.917580246925354
gbm,5,41.6346,88.5871,0.9219
persistence,15,82.3072,141.326,0.7994
smart_persistence,15,62.3391,133.8908,0.8199
linear_ar,15,65.9885,117.9597,0.8602
gru,15,62.41408920288086,118.6384735107422,0.8592120409011841
gru_tcn,15,66.60911560058594,119.38187408447266,0.8574421405792236
gbm,15,60.4569,113.7534,0.87
persistence,30,118.6774,171.7383,0.7023
smart_persistence,30,75.059,148.3545,0.7779
linear_ar,30,78.4329,129.91,0.8297
gru,30,75.2686996459961,130.71865844726562,0.8277037739753723
gru_tcn,30,78.2987289428711,129.95982360839844,0.829698383808136
gbm,30,70.462,125.228,0.8417
persistence,60,181.5562,230.0487,0.4721
smart_persistence,60,90.18,162.3155,0.7372
linear_ar,60,93.0329,142.9333,0.7962
gru,60,88.73601531982422,146.2804718017578,0.7858352065086365
gru_tcn,60,89.59917449951172,144.26266479492188,0.791702926158905
gbm,60,82.6528,138.2119,0.8094
