horizon_min,year,gbm,persistence,smart_persistence,gbm_skill_vs_smart_%
5,2019,40.44,48.76,43.3,6.6
5,2020,46.69,55.12,50.06,6.7
5,2021,57.04,66.41,62.82,9.2
5,2022,56.77,66.14,62.4,9.0
5,2023,58.31,63.28,62.49,6.7
5,2024,67.77,73.93,73.65,8.0
15,2019,53.54,84.63,61.92,13.5
15,2020,63.67,92.72,72.84,12.6
15,2021,74.41,104.6,87.65,15.1
15,2022,75.85,104.25,88.05,13.9
15,2023,75.9,102.73,85.61,11.3
15,2024,87.45,115.95,101.57,13.9
30,2019,59.83,122.97,71.27,16.0
30,2020,72.26,129.44,84.08,14.1
30,2021,82.51,139.32,98.3,16.1
30,2022,85.42,140.62,101.68,16.0
30,2023,84.87,140.07,95.94,11.5
30,2024,96.69,152.46,113.92,15.1
60,2019,66.73,194.85,81.37,18.0
60,2020,82.5,196.06,95.46,13.6
60,2021,91.81,204.98,110.57,17.0
60,2022,97.35,206.9,117.24,17.0
60,2023,97.52,212.92,110.95,12.1
60,2024,107.56,219.29,128.91,16.6
