model,horizon_min,n,MAE,RMSE,nRMSE,R2,skill_vs_ref
persistence,5,39432,45.4713,98.4738,0.1661,0.9035,-0.0066
smart_persistence,5,39432,40.7985,97.8294,0.1651,0.9048,0.0
linear_ar,5,39432,44.5013,91.8287,0.1549,0.9161,0.0613
gbm,5,39432,41.6346,88.5871,0.1495,0.9219,0.0945
persistence,15,38651,82.3072,141.326,0.236,0.7994,-0.0555
smart_persistence,15,38651,62.3391,133.8908,0.2236,0.8199,0.0
linear_ar,15,38651,65.9885,117.9597,0.197,0.8602,0.119
gbm,15,38651,60.4569,113.7534,0.1899,0.87,0.1504
persistence,30,37549,118.6774,171.7383,0.283,0.7023,-0.1576
smart_persistence,30,37549,75.059,148.3545,0.2445,0.7779,0.0
linear_ar,30,37549,78.4329,129.91,0.2141,0.8297,0.1243
gbm,30,37549,70.462,125.228,0.2064,0.8417,0.1559
persistence,60,35424,181.5562,230.0487,0.3713,0.4721,-0.4173
smart_persistence,60,35424,90.18,162.3155,0.262,0.7372,0.0
linear_ar,60,35424,93.0329,142.9333,0.2307,0.7962,0.1194
gbm,60,35424,82.6528,138.2119,0.2231,0.8094,0.1485
