model,horizon_min,regime,n,MAE,RMSE,R2,skill_vs_ref
persistence,5,clear,20927,15.634,23.7476,0.9904,0.0614
persistence,5,transitional,15023,93.5641,156.5369,0.7346,-0.0089
persistence,5,cloudy,3482,17.2996,26.5428,0.9492,-0.0231
smart_persistence,5,clear,20927,9.734,25.3009,0.9891,0.0
smart_persistence,5,transitional,15023,89.7316,155.1545,0.7392,0.0
smart_persistence,5,cloudy,3482,16.3775,25.9445,0.9515,0.0
gbm,5,clear,20927,11.6878,25.8172,0.9886,-0.0204
gbm,5,transitional,15023,88.5799,139.558,0.789,0.1005
gbm,5,cloudy,3482,19.0715,28.8924,0.9398,-0.1136
linear_ar,5,clear,20927,15.0191,26.1204,0.9884,-0.0324
linear_ar,5,transitional,15023,89.8574,144.6241,0.7734,0.0679
linear_ar,5,cloudy,3482,26.0027,33.9365,0.917,-0.308
persistence,60,clear,19391,153.4985,181.9237,0.5146,-1.3262
persistence,60,transitional,12903,240.8804,298.1703,0.0374,-0.2413
persistence,60,cloudy,3130,110.8227,165.5716,0.2219,-0.1058
smart_persistence,60,clear,19391,39.3287,78.2076,0.9103,0.0
smart_persistence,60,transitional,12903,166.6075,240.2106,0.3753,0.0
smart_persistence,60,cloudy,3130,90.152,149.7285,0.3637,0.0
gbm,60,clear,19391,36.1959,74.3217,0.919,0.0497
gbm,60,transitional,12903,146.7648,196.6598,0.5813,0.1813
gbm,60,cloudy,3130,106.17,150.1371,0.3602,-0.0027
linear_ar,60,clear,19391,51.6545,80.8421,0.9042,-0.0337
linear_ar,60,transitional,12903,151.9732,203.0108,0.5538,0.1549
linear_ar,60,cloudy,3130,106.4071,144.3332,0.4087,0.036
persistence,15,clear,20629,40.5156,48.2054,0.9605,-0.6756
persistence,15,transitional,14604,152.0385,221.2635,0.4572,-0.0348
persistence,15,cloudy,3418,36.5973,51.4987,0.8175,-0.0541
smart_persistence,15,clear,20629,14.3514,28.7696,0.9859,0.0
smart_persistence,15,transitional,14604,136.9851,213.8157,0.4931,0.0
smart_persistence,15,cloudy,3418,33.0256,48.8577,0.8357,0.0
gbm,15,clear,20629,17.4863,32.3541,0.9822,-0.1246
gbm,15,transitional,14604,125.1437,178.5489,0.6465,0.1649
gbm,15,cloudy,3418,43.4156,61.6057,0.7388,-0.2609
linear_ar,15,clear,20629,24.8417,33.6369,0.9807,-0.1692
linear_ar,15,transitional,14604,127.6404,185.0865,0.6202,0.1344
linear_ar,15,cloudy,3418,50.9075,64.4067,0.7145,-0.3182
persistence,30,clear,20260,80.2589,97.6994,0.8455,-0.897
persistence,30,transitional,13951,187.3816,251.7843,0.2959,-0.0882
persistence,30,cloudy,3338,64.7125,94.2598,0.5675,-0.0725
smart_persistence,30,clear,20260,23.7176,51.501,0.9571,0.0
smart_persistence,30,transitional,13951,154.2856,231.3809,0.4054,0.0
smart_persistence,30,cloudy,3338,55.5524,87.8912,0.6239,0.0
gbm,30,clear,20260,24.3654,50.624,0.9585,0.017
gbm,30,transitional,13951,137.9072,190.4591,0.5971,0.1769
gbm,30,cloudy,3338,68.3615,96.1439,0.55,-0.0939
linear_ar,30,clear,20260,35.9721,54.9936,0.951,-0.0678
linear_ar,30,transitional,13951,141.3613,197.1563,0.5683,0.1479
linear_ar,30,cloudy,3338,73.1432,95.0284,0.5604,-0.0812
