method,horizon_min,scope,CRPS
icp,5,all,26.333
icp,5,clear,10.636
icp,5,transitional,51.778
icp,5,cloudy,10.893
icp_norm,5,all,26.41
icp_norm,5,clear,16.23
icp_norm,5,transitional,43.631
icp_norm,5,cloudy,13.296
mondrian,5,all,21.23
mondrian,5,clear,7.619
mondrian,5,transitional,43.056
mondrian,5,cloudy,8.866
cqr,5,all,19.904
cqr,5,clear,9.369
cqr,5,transitional,36.374
cqr,5,cloudy,12.162
icp,60,all,43.193
icp,60,clear,25.373
icp,60,transitional,69.309
icp,60,cloudy,45.93
icp_norm,60,all,42.849
icp_norm,60,clear,31.804
icp_norm,60,transitional,59.792
icp_norm,60,cloudy,41.426
mondrian,60,all,37.054
mondrian,60,clear,20.865
mondrian,60,transitional,59.707
mondrian,60,cloudy,43.972
cqr,60,all,33.511
cqr,60,clear,18.895
cqr,60,transitional,53.011
cqr,60,cloudy,43.666
icp,15,all,34.829
icp,15,clear,15.177
icp,15,transitional,66.184
icp,15,cloudy,19.468
icp_norm,15,all,34.625
icp_norm,15,clear,22.056
icp_norm,15,transitional,55.488
icp_norm,15,cloudy,21.351
mondrian,15,all,27.617
mondrian,15,clear,9.88
mondrian,15,transitional,54.796
mondrian,15,cloudy,18.548
cqr,15,all,25.924
cqr,15,clear,10.774
cqr,15,transitional,47.747
cqr,15,cloudy,24.119
icp,30,all,38.86
icp,30,clear,19.176
icp,30,transitional,69.716
icp,30,cloudy,29.371
icp_norm,30,all,38.408
icp_norm,30,clear,26.073
icp_norm,30,transitional,58.603
icp_norm,30,cloudy,28.875
mondrian,30,all,31.79
mondrian,30,clear,13.957
mondrian,30,transitional,58.269
mondrian,30,cloudy,29.365
cqr,30,all,29.142
cqr,30,clear,13.564
cqr,30,transitional,50.985
cqr,30,cloudy,32.4
