method,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
icp,5,0.8,all,39432,0.7661,-0.0339,0.0725,323.19
icp,5,0.8,clear,20927,0.9301,0.1301,0.083,124.83
icp,5,0.8,transitional,15023,0.5022,-0.2978,0.0725,647.15
icp,5,0.8,cloudy,3482,0.919,0.119,0.1349,117.6
icp_norm,5,0.8,all,39432,0.7787,-0.0213,0.0981,324.36
icp_norm,5,0.8,clear,20927,0.9248,0.1248,0.1169,179.34
icp_norm,5,0.8,transitional,15023,0.5301,-0.2699,0.0931,570.35
icp_norm,5,0.8,cloudy,3482,0.9727,0.1727,0.178,134.63
mondrian,5,0.8,all,39432,0.7983,-0.0017,0.0836,256.01
mondrian,5,0.8,clear,20927,0.8155,0.0155,0.0188,89.45
mondrian,5,0.8,transitional,15023,0.771,-0.029,0.1862,522.96
mondrian,5,0.8,cloudy,3482,0.8125,0.0125,0.0842,105.24
cqr,5,0.8,all,39432,0.8073,0.0073,0.1015,231.49
cqr,5,0.8,clear,20927,0.8432,0.0432,0.0549,114.62
cqr,5,0.8,transitional,15023,0.7391,-0.0609,0.1818,420.29
cqr,5,0.8,cloudy,3482,0.8854,0.0854,0.1437,119.27
icp,5,0.9,all,39432,0.8776,-0.0224,0.144,468.93
icp,5,0.9,clear,20927,0.9894,0.0894,0.1661,210.23
icp,5,0.9,transitional,15023,0.6957,-0.2043,0.1436,893.3
icp,5,0.9,cloudy,3482,0.9902,0.0902,0.2576,192.79
icp_norm,5,0.9,all,39432,0.8907,-0.0093,0.216,468.65
icp_norm,5,0.9,clear,20927,0.9504,0.0504,0.2587,361.53
icp_norm,5,0.9,transitional,15023,0.7826,-0.1174,0.2058,664.33
icp_norm,5,0.9,cloudy,3482,0.9989,0.0989,0.3698,268.25
mondrian,5,0.9,all,39432,0.8917,-0.0083,0.1391,344.94
mondrian,5,0.9,clear,20927,0.8943,-0.0057,0.049,143.22
mondrian,5,0.9,transitional,15023,0.8853,-0.0147,0.2902,674.15
mondrian,5,0.9,cloudy,3482,0.9038,0.0038,0.1242,137.0
cqr,5,0.9,all,39432,0.8975,-0.0025,0.1461,311.73
cqr,5,0.9,clear,20927,0.9143,0.0143,0.0819,178.92
cqr,5,0.9,transitional,15023,0.8573,-0.0427,0.2479,517.86
cqr,5,0.9,cloudy,3482,0.9698,0.0698,0.2938,220.55
icp,5,0.95,all,39432,0.9361,-0.0139,0.2361,625.06
icp,5,0.95,clear,20927,0.9978,0.0478,0.2752,337.53
icp,5,0.95,transitional,15023,0.8355,-0.1145,0.2347,1103.04
icp,5,0.95,cloudy,3482,0.9989,0.0489,0.3998,290.87
icp_norm,5,0.95,all,39432,0.9468,-0.0032,0.3633,631.7
icp_norm,5,0.95,clear,20927,0.9628,0.0128,0.4399,599.98
icp_norm,5,0.95,transitional,15023,0.9123,-0.0377,0.3474,727.68
icp_norm,5,0.95,cloudy,3482,1.0,0.05,0.5632,408.25
mondrian,5,0.95,all,39432,0.944,-0.006,0.2059,427.35
mondrian,5,0.95,clear,20927,0.9438,-0.0062,0.1023,190.77
mondrian,5,0.95,transitional,15023,0.9407,-0.0093,0.3943,817.0
