horizon_min,cost_ratio,P_b_kW,policy,scope,total_cost,per_day,value_captured
5,3,0,deterministic,all,62929.9,176.77,0.0
5,3,0,icp,all,61730.1,173.4,0.019
5,3,0,mondrian,all,58839.1,165.28,0.065
5,3,0,oracle,all,0.0,0.0,1.0
5,3,300,deterministic,all,1702.1,4.78,0.0
5,3,300,icp,all,1631.3,4.58,0.042
5,3,300,mondrian,all,1430.2,4.02,0.16
5,3,300,oracle,all,0.0,0.0,1.0
5,5,0,deterministic,all,93686.8,263.17,0.0
5,5,0,icp,all,86749.3,243.68,0.074
5,5,0,mondrian,all,77194.3,216.84,0.176
5,5,0,oracle,all,0.0,0.0,1.0
5,5,300,deterministic,all,2778.9,7.81,0.0
5,5,300,icp,all,2503.1,7.03,0.099
5,5,300,mondrian,all,2013.1,5.65,0.276
5,5,300,oracle,all,0.0,0.0,1.0
5,10,0,deterministic,all,170579.1,479.15,0.0
5,10,0,icp,all,131924.3,370.57,0.227
5,10,0,mondrian,all,107682.6,302.48,0.369
5,10,0,oracle,all,0.0,0.0,1.0
5,10,0,icp,clear,23537.6,,-1.517
5,10,0,mondrian,clear,10917.7,,-0.168
5,10,0,icp,transitional,101170.2,,0.294
5,10,0,mondrian,transitional,89765.2,,0.374
5,10,0,icp,cloudy,7216.5,,0.595
5,10,0,mondrian,cloudy,6999.7,,0.607
5,10,300,deterministic,all,5471.0,15.37,0.0
5,10,300,icp,all,3850.0,10.81,0.296
5,10,300,mondrian,all,3660.0,10.28,0.331
5,10,300,oracle,all,0.0,0.0,1.0
5,19,0,deterministic,all,308985.3,867.94,0.0
5,19,0,icp,all,184994.2,519.65,0.401
5,19,0,mondrian,all,142654.5,400.71,0.538
5,19,0,oracle,all,0.0,0.0,1.0
5,19,300,deterministic,all,10316.6,28.98,0.0
5,19,300,icp,all,5588.4,15.7,0.458
5,19,300,mondrian,all,7773.5,21.84,0.247
5,19,300,oracle,all,0.0,0.0,1.0
30,3,0,deterministic,all,107954.0,303.24,0.0
30,3,0,icp,all,105541.9,296.47,0.022
30,3,0,mondrian,all,98245.9,275.97,0.09
30,3,0,oracle,all,0.0,0.0,1.0
30,3,300,deterministic,all,6309.9,17.72,0.0
30,3,300,icp,all,5592.0,15.71,0.114
30,3,300,mondrian,all,4826.9,13.56,0.235
30,3,300,oracle,all,0.0,0.0,1.0
30,5,0,deterministic,all,163348.1,458.84,0.0
30,5,0,icp,all,146377.2,411.17,0.104
30,5,0,mondrian,all,125160.4,351.57,0.234
30,5,0,oracle,all,0.0,0.0,1.0
30,5,300,deterministic,all,10329.2,29.01,0.0
30,5,300,icp,all,7890.3,22.16,0.236
30,5,300,mondrian,all,7678.9,21.57,0.257
30,5,300,oracle,all,0.0,0.0,1.0
30,10,0,deterministic,all,301833.4,847.85,0.0
30,10,0,icp,all,210420.1,591.07,0.303
30,10,0,mondrian,all,167112.4,469.42,0.446
30,10,0,oracle,all,0.0,0.0,1.0
30,10,0,icp,clear,41856.2,,-0.916
30,10,0,mondrian,clear,26542.4,,-0.215
30,10,0,icp,transitional,148724.1,,0.317
30,10,0,mondrian,transitional,121465.2,,0.442
30,10,0,icp,cloudy,19839.8,,0.681
30,10,0,mondrian,cloudy,19104.7,,0.693
30,10,300,deterministic,all,20377.5,57.24,0.0
30,10,300,icp,all,11674.8,32.79,0.427
30,10,300,mondrian,all,14659.7,41.18,0.281
30,10,300,oracle,all,0.0,0.0,1.0
30,19,0,deterministic,all,551107.0,1548.05,0.0
30,19,0,icp,all,274061.3,769.84,0.503
30,19,0,mondrian,all,213264.8,599.06,0.613
30,19,0,oracle,all,0.0,0.0,1.0
30,19,300,deterministic,all,38464.5,108.05,0.0
30,19,300,icp,all,18446.4,51.82,0.52
30,19,300,mondrian,all,26261.3,73.77,0.317
30,19,300,oracle,all,0.0,0.0,1.0
