site,horizon_min,policy,scope,theta,n_pool,offset_npquantile,offset_orderstat,abs_diff_wm2
yulara,5,icp,all,0.75,40131,-2.161,-2.1612,0.0002
yulara,5,cqr,all,0.75,40131,-1.1375,-1.1374,0.0001
yulara,5,mondrian,clear,0.75,24088,0.4028,0.4029,0.0001
yulara,5,mondrian_cqr,clear,0.75,24088,-1.0916,-1.0915,0.0001
yulara,5,mondrian,cloudy,0.75,2534,-14.4413,-14.4417,0.0005
yulara,5,mondrian_cqr,cloudy,0.75,2534,0.0886,0.1255,0.0369
yulara,5,mondrian,transitional,0.75,13509,-27.9649,-27.9649,0.0
yulara,5,mondrian_cqr,transitional,0.75,13509,-1.7976,-1.7904,0.0072
yulara,5,icp,all,0.775,40131,-3.2765,-3.2772,0.0007
yulara,5,cqr,all,0.775,40131,-1.1599,-1.1596,0.0003
yulara,5,mondrian,clear,0.775,24088,0.0073,0.0074,0.0001
yulara,5,mondrian_cqr,clear,0.775,24088,-1.1837,-1.1836,0.0001
yulara,5,mondrian,cloudy,0.775,2534,-16.5713,-16.568,0.0034
yulara,5,mondrian_cqr,cloudy,0.775,2534,0.4022,0.4468,0.0446
yulara,5,mondrian,transitional,0.775,13509,-36.0691,-36.0707,0.0016
yulara,5,mondrian_cqr,transitional,0.775,13509,-1.3622,-1.3574,0.0048
yulara,5,icp,all,0.8,40131,-4.7941,-4.7941,0.0
yulara,5,cqr,all,0.8,40131,-1.4758,-1.4756,0.0002
yulara,5,mondrian,clear,0.8,24088,-0.4535,-0.4543,0.0008
yulara,5,mondrian_cqr,clear,0.8,24088,-1.5877,-1.5876,0.0001
yulara,5,mondrian,cloudy,0.8,2534,-19.8058,-19.8123,0.0066
yulara,5,mondrian_cqr,cloudy,0.8,2534,0.3011,0.3088,0.0076
yulara,5,mondrian,transitional,0.8,13509,-46.5319,-46.5321,0.0003
yulara,5,mondrian_cqr,transitional,0.8,13509,-1.182,-1.1815,0.0005
yulara,5,icp,all,0.825,40131,-7.4691,-7.4689,0.0002
yulara,5,cqr,all,0.825,40131,-1.6499,-1.6493,0.0006
yulara,5,mondrian,clear,0.825,24088,-0.9426,-0.9431,0.0006
yulara,5,mondrian_cqr,clear,0.825,24088,-1.7881,-1.786,0.002
yulara,5,mondrian,cloudy,0.825,2534,-22.0013,-22.0049,0.0036
yulara,5,mondrian_cqr,cloudy,0.825,2534,0.5237,0.5944,0.0708
yulara,5,mondrian,transitional,0.825,13509,-60.2738,-60.2734,0.0004
yulara,5,mondrian_cqr,transitional,0.825,13509,-1.28,-1.2706,0.0094
yulara,5,icp,all,0.85,40131,-12.047,-12.0523,0.0053
yulara,5,cqr,all,0.85,40131,-1.6253,-1.6231,0.0021
yulara,5,mondrian,clear,0.85,24088,-1.5158,-1.5159,0.0001
yulara,5,mondrian_cqr,clear,0.85,24088,-1.8358,-1.8338,0.002
yulara,5,mondrian,cloudy,0.85,2534,-25.3362,-25.3261,0.01
yulara,5,mondrian_cqr,cloudy,0.85,2534,1.0005,1.0092,0.0087
yulara,5,mondrian,transitional,0.85,13509,-75.691,-75.6997,0.0087
yulara,5,mondrian_cqr,transitional,0.85,13509,-0.9304,-0.9281,0.0023
yulara,5,icp,all,0.875,40131,-19.7892,-19.7907,0.0014
yulara,5,cqr,all,0.875,40131,-1.6419,-1.6413,0.0006
yulara,5,mondrian,clear,0.875,24088,-2.2475,-2.2471,0.0004
yulara,5,mondrian_cqr,clear,0.875,24088,-1.8942,-1.894,0.0002
yulara,5,mondrian,cloudy,0.875,2534,-29.9813,-29.9898,0.0085
yulara,5,mondrian_cqr,cloudy,0.875,2534,1.2259,1.2409,0.015
yulara,5,mondrian,transitional,0.875,13509,-95.8678,-95.9304,0.0626
yulara,5,mondrian_cqr,transitional,0.875,13509,-0.7264,-0.7216,0.0048
yulara,5,icp,all,0.9,40131,-32.1127,-32.1127,0.0
yulara,5,cqr,all,0.9,40131,-1.7386,-1.7383,0.0003
yulara,5,mondrian,clear,0.9,24088,-3.2136,-3.214,0.0004
