site,horizon_min,battery,policy,theta_npquantile,theta_orderstat,sel_obj_npquantile,sel_obj_orderstat,theta_changes
yulara,5,small,icp,0.875,0.875,33.189,33.197,False
yulara,5,small,mondrian,0.775,0.775,20.953,20.953,False
yulara,5,small,cqr,0.75,0.75,20.031,20.032,False
yulara,5,small,mondrian_cqr,0.75,0.75,19.924,19.925,False
yulara,5,default,icp,0.9,0.9,2.483,2.483,False
yulara,5,default,mondrian,0.825,0.825,4.559,4.559,False
yulara,5,default,cqr,0.8,0.8,3.904,3.904,False
yulara,5,default,mondrian_cqr,0.8,0.8,3.685,3.685,False
yulara,5,large,icp,0.95,0.95,0.347,0.348,False
yulara,5,large,mondrian,0.9,0.9,1.043,1.042,False
yulara,5,large,cqr,0.95,0.95,0.553,0.553,False
yulara,5,large,mondrian_cqr,0.925,0.925,0.47,0.47,False
yulara,15,small,icp,0.875,0.875,115.315,115.315,False
yulara,15,small,mondrian,0.775,0.775,67.795,67.8,False
yulara,15,small,cqr,0.775,0.775,58.758,58.757,False
yulara,15,small,mondrian_cqr,0.775,0.775,58.447,58.453,False
yulara,15,default,icp,0.875,0.875,36.89,36.89,False
yulara,15,default,mondrian,0.8,0.8,18.968,18.967,False
yulara,15,default,cqr,0.8,0.8,19.5,19.499,False
yulara,15,default,mondrian_cqr,0.8,0.8,19.579,19.58,False
yulara,15,large,icp,0.925,0.925,1.631,1.631,False
yulara,15,large,mondrian,0.875,0.875,3.681,3.68,False
yulara,15,large,cqr,0.875,0.875,3.483,3.483,False
yulara,15,large,mondrian_cqr,0.875,0.875,3.241,3.24,False
yulara,30,small,icp,0.875,0.875,190.964,190.987,False
yulara,30,small,mondrian,0.825,0.825,125.4,125.399,False
yulara,30,small,cqr,0.8,0.8,102.9,102.9,False
yulara,30,small,mondrian_cqr,0.8,0.8,102.211,102.18,False
yulara,30,default,icp,0.875,0.875,86.628,86.6,False
yulara,30,default,mondrian,0.85,0.85,50.054,50.06,False
yulara,30,default,cqr,0.825,0.825,46.746,46.745,False
yulara,30,default,mondrian_cqr,0.825,0.825,46.304,46.305,False
yulara,30,large,icp,0.925,0.925,11.143,11.144,False
yulara,30,large,mondrian,0.875,0.875,10.117,10.122,False
yulara,30,large,cqr,0.875,0.875,12.302,12.302,False
yulara,30,large,mondrian_cqr,0.875,0.875,12.34,12.338,False
yulara,60,small,icp,0.875,0.875,295.458,295.457,False
yulara,60,small,mondrian,0.85,0.85,215.202,215.042,False
yulara,60,small,cqr,0.85,0.85,162.129,162.13,False
yulara,60,small,mondrian_cqr,0.85,0.85,160.309,160.294,False
yulara,60,default,icp,0.9,0.9,168.371,168.39,False
yulara,60,default,mondrian,0.875,0.875,117.588,117.567,False
yulara,60,default,cqr,0.875,0.875,90.22,90.22,False
yulara,60,default,mondrian_cqr,0.875,0.875,90.128,90.118,False
yulara,60,large,icp,0.925,0.925,51.277,51.277,False
yulara,60,large,mondrian,0.925,0.925,37.592,37.608,False
yulara,60,large,cqr,0.9,0.9,33.712,33.706,False
yulara,60,large,mondrian_cqr,0.9,0.9,33.507,33.512,False
asp,5,small,icp,0.875,0.875,29.261,29.265,False
asp,5,small,mondrian,0.775,0.775,20.576,20.571,False
asp,5,small,cqr,0.75,0.75,19.932,19.93,False
asp,5,small,mondrian_cqr,0.75,0.75,20.154,20.158,False
asp,5,default,icp,0.9,0.9,3.901,3.9,False
asp,5,default,mondrian,0.825,0.825,4.68,4.675,False
asp,5,default,cqr,0.825,0.825,6.268,6.267,False
asp,5,default,mondrian_cqr,0.825,0.825,6.251,6.246,False
asp,5,large,icp,0.95,0.95,0.7,0.718,False
asp,5,large,mondrian,0.9,0.9,0.749,0.749,False
