site,method,horizon_min,nominal,scope,n,PICP_ant,ACE_ant,PINAW_ant,Winkler_ant,PICP_delayed,ACE_delayed,PINAW_delayed,Winkler_delayed,PICP_R0,ACE_R0,PINAW_R0,Winkler_R0,d_PICP_delay,d_PICP_refit,d_PICP_total_vs_R0,d_PINAW_delay,d_Winkler_delay
asp,aci,5,0.8,all,44221,0.8266,0.0266,0.0952,229.59,0.8266,0.0266,0.0952,229.59,,,,,0.0,,,0.0,0.0
asp,aci,5,0.8,clear,23683,0.8398,0.0398,0.0247,73.71,0.8398,0.0398,0.0247,73.71,,,,,0.0,,,0.0,0.0
asp,aci,5,0.8,cloudy,4020,0.8413,0.0413,0.0785,131.87,0.8413,0.0413,0.0785,131.87,,,,,0.0,,,0.0,0.0
asp,aci,5,0.8,transitional,16518,0.8042,0.0042,0.2088,476.88,0.8042,0.0042,0.2088,476.88,,,,,0.0,,,0.0,0.0
asp,aci,15,0.8,all,43497,0.8287,0.0287,0.1324,293.78,0.8256,0.0256,0.1666,357.54,,,,,-0.0031,,,0.0342,63.76
asp,aci,15,0.8,clear,23645,0.8313,0.0313,0.0415,117.09,0.8283,0.0283,0.048,131.12,,,,,-0.003,,,0.0065,14.03
asp,aci,15,0.8,cloudy,3979,0.8243,0.0243,0.1193,278.34,0.8175,0.0175,0.1397,324.47,,,,,-0.0068,,,0.0204,46.13
asp,aci,15,0.8,transitional,15873,0.8259,0.0259,0.2771,560.86,0.8235,0.0235,0.3571,703.1,,,,,-0.0024,,,0.08,142.24
asp,aci,30,0.8,all,42411,0.833,0.033,0.1465,312.94,0.8256,0.0256,0.2249,456.38,,,,,-0.0074,,,0.0784,143.44
asp,aci,30,0.8,clear,23518,0.8339,0.0339,0.0505,139.58,0.8256,0.0256,0.0789,193.64,,,,,-0.0083,,,0.0284,54.06
asp,aci,30,0.8,cloudy,3883,0.8241,0.0241,0.1731,352.08,0.8269,0.0269,0.2951,558.48,,,,,0.0028,,,0.122,206.4
asp,aci,30,0.8,transitional,15010,0.8338,0.0338,0.2958,574.44,0.8252,0.0252,0.4452,841.64,,,,,-0.0086,,,0.1494,267.2
asp,aci,60,0.8,all,40239,0.8392,0.0392,0.1664,340.07,0.8269,0.0269,0.3463,659.89,,,,,-0.0123,,,0.1799,319.82
asp,aci,60,0.8,clear,22594,0.8426,0.0426,0.07,169.32,0.8286,0.0286,0.1822,369.79,,,,,-0.014,,,0.1122,200.47
asp,aci,60,0.8,cloudy,3647,0.8289,0.0289,0.2383,423.51,0.83,0.03,0.548,865.14,,,,,0.0011,,,0.3097,441.63
asp,aci,60,0.8,transitional,13998,0.8365,0.0365,0.3152,593.93,0.8233,0.0233,0.5873,1074.66,,,,,-0.0132,,,0.2721,480.73
asp,aci,5,0.9,all,44221,0.9253,0.0253,0.1526,321.53,0.9253,0.0253,0.1526,321.53,,,,,0.0,,,0.0,0.0
asp,aci,5,0.9,clear,23683,0.9381,0.0381,0.051,125.18,0.9381,0.0381,0.051,125.18,,,,,0.0,,,0.0,0.0
asp,aci,5,0.9,cloudy,4020,0.9361,0.0361,0.1366,194.89,0.9361,0.0361,0.1366,194.89,,,,,0.0,,,0.0,0.0
asp,aci,5,0.9,transitional,16518,0.9043,0.0043,0.3176,633.87,0.9043,0.0043,0.3176,633.87,,,,,0.0,,,0.0,0.0
asp,aci,15,0.9,all,43497,0.9277,0.0277,0.1988,395.2,0.9236,0.0236,0.2566,499.25,,,,,-0.0041,,,0.0578,104.05
asp,aci,15,0.9,clear,23645,0.9332,0.0332,0.0814,189.73,0.9298,0.0298,0.1006,226.2,,,,,-0.0034,,,0.0192,36.47
asp,aci,15,0.9,cloudy,3979,0.9198,0.0198,0.1764,359.08,0.9178,0.0178,0.2163,437.86,,,,,-0.002,,,0.0399,78.78
asp,aci,15,0.9,transitional,15873,0.9216,0.0216,0.3903,710.34,0.916,0.016,0.5128,921.37,,,,,-0.0056,,,0.1225,211.03
asp,aci,30,0.9,all,42411,0.9314,0.0314,0.2104,409.1,0.9233,0.0233,0.3176,602.69,,,,,-0.0081,,,0.1072,193.59
asp,aci,30,0.9,clear,23518,0.9366,0.0366,0.0937,220.27,0.9289,0.0289,0.1566,328.54,,,,,-0.0077,,,0.0629,108.27
asp,aci,30,0.9,cloudy,3883,0.9199,0.0199,0.2366,429.7,0.9117,0.0117,0.3873,680.05,,,,,-0.0082,,,0.1507,250.35
asp,aci,30,0.9,transitional,15010,0.9262,0.0262,0.3955,699.62,0.9175,0.0175,0.5669,1012.21,,,,,-0.0087,,,0.1714,312.59
asp,aci,60,0.9,all,40239,0.9377,0.0377,0.2329,438.78,0.9214,0.0214,0.4045,769.1,,,,,-0.0163,,,0.1716,330.32
asp,aci,60,0.9,clear,22594,0.9453,0.0453,0.1223,258.79,0.9272,0.0272,0.2253,477.59,,,,,-0.0181,,,0.103,218.8
asp,aci,60,0.9,cloudy,3647,0.9254,0.0254,0.3131,501.41,0.9112,0.0112,0.6018,939.14,,,,,-0.0142,,,0.2887,437.73
asp,aci,60,0.9,transitional,13998,0.9285,0.0285,0.4078,712.98,0.9148,0.0148,0.6749,1195.32,,,,,-0.0137,,,0.2671,482.34
asp,aci,5,0.95,all,44221,0.9687,0.0187,0.2271,437.74,0.9687,0.0187,0.2271,437.74,,,,,0.0,,,0.0,0.0
asp,aci,5,0.95,clear,23683,0.9772,0.0272,0.1067,216.07,0.9772,0.0272,0.1067,216.07,,,,,0.0,,,0.0,0.0
asp,aci,5,0.95,cloudy,4020,0.9741,0.0241,0.2116,276.91,0.9741,0.0241,0.2116,276.91,,,,,0.0,,,0.0,0.0
asp,aci,5,0.95,transitional,16518,0.9552,0.0052,0.4302,794.72,0.9552,0.0052,0.4302,794.72,,,,,0.0,,,0.0,0.0
asp,aci,15,0.95,all,43497,0.9709,0.0209,0.2832,522.8,0.968,0.018,0.3536,654.38,,,,,-0.0029,,,0.0704,131.58
asp,aci,15,0.95,clear,23645,0.9762,0.0262,0.1599,311.58,0.9737,0.0237,0.1958,381.8,,,,,-0.0025,,,0.0359,70.22
asp,aci,15,0.95,cloudy,3979,0.9648,0.0148,0.242,448.57,0.9598,0.0098,0.315,597.97,,,,,-0.005,,,0.073,149.4
asp,aci,15,0.95,transitional,15873,0.9645,0.0145,0.4973,856.05,0.9614,0.0114,0.6232,1074.56,,,,,-0.0031,,,0.1259,218.51
asp,aci,30,0.95,all,42411,0.973,0.023,0.2958,534.96,0.9665,0.0165,0.3955,742.97,,,,,-0.0065,,,0.0997,208.01
asp,aci,30,0.95,clear,23518,0.9784,0.0284,0.1779,349.75,0.9719,0.0219,0.2387,488.93,,,,,-0.0065,,,0.0608,139.18
asp,aci,30,0.95,cloudy,3883,0.9642,0.0142,0.3045,518.18,0.9488,-0.0012,0.4359,833.38,,,,,-0.0154,,,0.1314,315.2
asp,aci,30,0.95,transitional,15010,0.9669,0.0169,0.4926,829.49,0.9625,0.0125,0.6506,1117.61,,,,,-0.0044,,,0.158,288.12
asp,aci,60,0.95,all,40239,0.9755,0.0255,0.3307,583.87,0.9614,0.0114,0.4497,877.62,,,,,-0.0141,,,0.119,293.75
asp,aci,60,0.95,clear,22594,0.9805,0.0305,0.22,404.86,0.9688,0.0188,0.2761,604.97,,,,,-0.0117,,,0.0561,200.11
asp,aci,60,0.95,cloudy,3647,0.9682,0.0182,0.3926,606.21,0.9556,0.0056,0.6262,972.88,,,,,-0.0126,,,0.2336,366.67
asp,aci,60,0.95,transitional,13998,0.9693,0.0193,0.5176,867.0,0.9509,0.0009,0.7196,1292.87,,,,,-0.0184,,,0.202,425.87
asp,aci_regime,5,0.8,all,44221,0.8192,0.0192,0.0965,228.04,0.8192,0.0192,0.0965,228.04,,,,,0.0,,,0.0,0.0
asp,aci_regime,5,0.8,clear,23683,0.7981,-0.0019,0.0347,91.83,0.7981,-0.0019,0.0347,91.83,,,,,0.0,,,0.0,0.0
asp,aci_regime,5,0.8,cloudy,4020,0.8132,0.0132,0.0724,137.75,0.8132,0.0132,0.0724,137.75,,,,,0.0,,,0.0,0.0
asp,aci_regime,5,0.8,transitional,16518,0.8511,0.0511,0.1997,445.32,0.8511,0.0511,0.1997,445.32,,,,,0.0,,,0.0,0.0
asp,aci_regime,15,0.8,all,43497,0.8181,0.0181,0.1339,299.19,0.8144,0.0144,0.1603,347.32,,,,,-0.0037,,,0.0264,48.13
asp,aci_regime,15,0.8,clear,23645,0.7961,-0.0039,0.0502,135.69,0.7915,-0.0085,0.0811,184.91,,,,,-0.0046,,,0.0309,49.22
asp,aci_regime,15,0.8,cloudy,3979,0.8108,0.0108,0.1146,301.22,0.8062,0.0062,0.1282,330.1,,,,,-0.0046,,,0.0136,28.88
asp,aci_regime,15,0.8,transitional,15873,0.8526,0.0526,0.2703,542.25,0.8506,0.0506,0.2966,593.57,,,,,-0.002,,,0.0263,51.32
asp,aci_regime,30,0.8,all,42411,0.8205,0.0205,0.1508,326.24,0.8093,0.0093,0.2149,445.66,,,,,-0.0112,,,0.0641,119.42
asp,aci_regime,30,0.8,clear,23518,0.8002,0.0002,0.0577,153.97,0.7865,-0.0135,0.1347,281.76,,,,,-0.0137,,,0.077,127.79
asp,aci_regime,30,0.8,cloudy,3883,0.8117,0.0117,0.1718,391.8,0.8017,0.0017,0.2205,502.29,,,,,-0.01,,,0.0487,110.49
asp,aci_regime,30,0.8,transitional,15010,0.8548,0.0548,0.2975,579.22,0.847,0.047,0.3497,687.81,,,,,-0.0078,,,0.0522,108.59
asp,aci_regime,60,0.8,all,40239,0.8292,0.0292,0.1708,354.96,0.8048,0.0048,0.2874,581.55,,,,,-0.0244,,,0.1166,226.59
asp,aci_regime,60,0.8,clear,22594,0.8103,0.0103,0.0734,183.26,0.7818,-0.0182,0.2243,444.51,,,,,-0.0285,,,0.1509,261.25
asp,aci_regime,60,0.8,cloudy,3647,0.8259,0.0259,0.2366,448.9,0.7987,-0.0013,0.3276,613.3,,,,,-0.0272,,,0.091,164.4
asp,aci_regime,60,0.8,transitional,13998,0.8606,0.0606,0.323,607.61,0.8433,0.0433,0.401,794.49,,,,,-0.0173,,,0.078,186.88
asp,aci_regime,5,0.9,all,44221,0.9144,0.0144,0.152,313.34,0.9144,0.0144,0.152,313.34,,,,,0.0,,,0.0,0.0
asp,aci_regime,5,0.9,clear,23683,0.9028,0.0028,0.0621,142.22,0.9028,0.0028,0.0621,142.22,,,,,0.0,,,0.0,0.0
asp,aci_regime,5,0.9,cloudy,4020,0.9077,0.0077,0.1222,204.31,0.9077,0.0077,0.1222,204.31,,,,,0.0,,,0.0,0.0
asp,aci_regime,5,0.9,transitional,16518,0.9327,0.0327,0.3037,585.21,0.9327,0.0327,0.3037,585.21,,,,,0.0,,,0.0,0.0
asp,aci_regime,15,0.9,all,43497,0.9136,0.0136,0.1906,388.94,0.9088,0.0088,0.2382,476.14,,,,,-0.0048,,,0.0476,87.2
asp,aci_regime,15,0.9,clear,23645,0.9005,0.0005,0.0843,199.44,0.8942,-0.0058,0.138,285.44,,,,,-0.0063,,,0.0537,86.0
asp,aci_regime,15,0.9,cloudy,3979,0.9073,0.0073,0.1731,395.86,0.9017,0.0017,0.1977,474.65,,,,,-0.0056,,,0.0246,78.79
asp,aci_regime,15,0.9,transitional,15873,0.9347,0.0347,0.3649,669.51,0.9322,0.0322,0.4148,760.6,,,,,-0.0025,,,0.0499,91.09
asp,aci_regime,30,0.9,all,42411,0.9176,0.0176,0.2068,405.77,0.9025,0.0025,0.2978,585.79,,,,,-0.0151,,,0.091,180.02
asp,aci_regime,30,0.9,clear,23518,0.9066,0.0066,0.0866,207.14,0.8877,-0.0123,0.1972,403.23,,,,,-0.0189,,,0.1106,196.09
asp,aci_regime,30,0.9,cloudy,3883,0.9106,0.0106,0.2426,473.07,0.8931,-0.0069,0.3257,668.96,,,,,-0.0175,,,0.0831,195.89
asp,aci_regime,30,0.9,transitional,15010,0.9366,0.0366,0.3949,699.58,0.928,0.028,0.4638,850.32,,,,,-0.0086,,,0.0689,150.74
asp,aci_regime,60,0.9,all,40239,0.926,0.026,0.2295,437.44,0.8922,-0.0078,0.345,711.91,,,,,-0.0338,,,0.1155,274.47
asp,aci_regime,60,0.9,clear,22594,0.9172,0.0172,0.1111,244.68,0.8763,-0.0237,0.2522,550.45,,,,,-0.0409,,,0.1411,305.77
asp,aci_regime,60,0.9,cloudy,3647,0.9219,0.0219,0.3091,521.45,0.8903,-0.0097,0.4078,744.13,,,,,-0.0316,,,0.0987,222.68
asp,aci_regime,60,0.9,transitional,13998,0.9411,0.0411,0.4164,726.69,0.9183,0.0183,0.5049,964.13,,,,,-0.0228,,,0.0885,237.44
asp,aci_regime,5,0.95,all,44221,0.959,0.009,0.2096,411.08,0.959,0.009,0.2096,411.08,,,,,0.0,,,0.0,0.0
asp,aci_regime,5,0.95,clear,23683,0.9531,0.0031,0.0931,207.57,0.9531,0.0031,0.0931,207.57,,,,,0.0,,,0.0,0.0
asp,aci_regime,5,0.95,cloudy,4020,0.9525,0.0025,0.1723,282.3,0.9525,0.0025,0.1723,282.3,,,,,0.0,,,0.0,0.0
asp,aci_regime,5,0.95,transitional,16518,0.9689,0.0189,0.408,734.19,0.9689,0.0189,0.408,734.19,,,,,0.0,,,0.0,0.0
asp,aci_regime,15,0.95,all,43497,0.9594,0.0094,0.2543,485.47,0.9522,0.0022,0.3116,608.64,,,,,-0.0072,,,0.0573,123.17
asp,aci_regime,15,0.95,clear,23645,0.9527,0.0027,0.1236,266.44,0.9435,-0.0065,0.1804,382.74,,,,,-0.0092,,,0.0568,116.3
asp,aci_regime,15,0.95,cloudy,3979,0.9545,0.0045,0.2448,499.96,0.9447,-0.0053,0.2977,653.81,,,,,-0.0098,,,0.0529,153.85
asp,aci_regime,15,0.95,transitional,15873,0.9705,0.0205,0.4679,808.11,0.9671,0.0171,0.5337,933.83,,,,,-0.0034,,,0.0658,125.72
asp,aci_regime,30,0.95,all,42411,0.9621,0.0121,0.2669,501.01,0.9461,-0.0039,0.3592,720.02,,,,,-0.016,,,0.0923,219.01
asp,aci_regime,30,0.95,clear,23518,0.957,0.007,0.1238,277.78,0.9377,-0.0123,0.2395,525.44,,,,,-0.0193,,,0.1157,247.66
asp,aci_regime,30,0.95,cloudy,3883,0.9583,0.0083,0.3079,571.76,0.9369,-0.0131,0.379,818.17,,,,,-0.0214,,,0.0711,246.41
asp,aci_regime,30,0.95,transitional,15010,0.9712,0.0212,0.4925,832.48,0.9616,0.0116,0.5603,999.51,,,,,-0.0096,,,0.0678,167.03
asp,aci_regime,60,0.95,all,40239,0.9675,0.0175,0.29,531.6,0.9364,-0.0136,0.356,817.24,,,,,-0.0311,,,0.066,285.64
asp,aci_regime,60,0.95,clear,22594,0.9642,0.0142,0.1516,313.85,0.9271,-0.0229,0.218,627.68,,,,,-0.0371,,,0.0664,313.83
asp,aci_regime,60,0.95,cloudy,3647,0.9644,0.0144,0.3789,614.24,0.9353,-0.0147,0.4511,871.66,,,,,-0.0291,,,0.0722,257.42
asp,aci_regime,60,0.95,transitional,13998,0.9738,0.0238,0.5112,861.53,0.9519,0.0019,0.5805,1109.04,,,,,-0.0219,,,0.0693,247.51
yulara,aci,5,0.8,all,40905,0.8096,0.0096,0.1091,241.01,0.8096,0.0096,0.1091,241.01,0.8115,0.0115,0.1103,244.55,0.0,-0.0019,-0.0019,0.0,0.0
yulara,aci,5,0.8,clear,21783,0.804,0.004,0.0334,87.42,0.804,0.004,0.0334,87.42,0.8077,0.0077,0.0342,88.35,0.0,-0.0037,-0.0037,0.0,0.0
yulara,aci,5,0.8,cloudy,3686,0.8562,0.0562,0.0767,131.29,0.8562,0.0562,0.0767,131.29,0.8587,0.0587,0.0802,134.39,0.0,-0.0025,-0.0025,0.0,0.0
yulara,aci,5,0.8,transitional,15436,0.8063,0.0063,0.2319,483.96,0.8063,0.0063,0.2319,483.96,0.8056,0.0056,0.2336,491.98,0.0,0.0007,0.0007,0.0,0.0
yulara,aci,15,0.8,all,40094,0.8146,0.0146,0.1452,297.9,0.8108,0.0108,0.1762,355.08,0.8174,0.0174,0.1484,302.79,-0.0038,-0.0028,-0.0066,0.031,57.18
yulara,aci,15,0.8,clear,21496,0.8048,0.0048,0.0485,125.78,0.7999,-0.0001,0.0538,142.2,0.8103,0.0103,0.0507,127.79,-0.0049,-0.0055,-0.0104,0.0053,16.42
yulara,aci,15,0.8,cloudy,3610,0.8316,0.0316,0.1397,267.56,0.8252,0.0252,0.1609,308.23,0.8332,0.0332,0.1433,272.5,-0.0064,-0.0016,-0.008,0.0212,40.67
yulara,aci,15,0.8,transitional,14988,0.8247,0.0247,0.2934,552.06,0.8229,0.0229,0.3646,671.68,0.8236,0.0236,0.2987,561.52,-0.0018,0.0011,-0.0007,0.0712,119.62
yulara,aci,30,0.8,all,38960,0.819,0.019,0.1647,321.78,0.8093,0.0093,0.241,456.85,0.8218,0.0218,0.1653,322.98,-0.0097,-0.0028,-0.0125,0.0763,135.07
yulara,aci,30,0.8,clear,20991,0.8055,0.0055,0.0653,155.68,0.7915,-0.0085,0.0913,210.22,0.8107,0.0107,0.0655,154.48,-0.014,-0.0052,-0.0192,0.026,54.54
yulara,aci,30,0.8,cloudy,3497,0.8256,0.0256,0.2053,344.36,0.827,0.027,0.3334,525.08,0.8258,0.0258,0.2078,348.53,0.0014,-0.0002,0.0012,0.1281,180.72
yulara,aci,30,0.8,transitional,14472,0.8371,0.0371,0.3148,557.26,0.8308,0.0308,0.4595,798.09,0.8368,0.0368,0.3162,561.97,-0.0063,0.0003,-0.006,0.1447,240.83
yulara,aci,60,0.8,all,36794,0.8265,0.0265,0.1878,351.09,0.8058,0.0058,0.3167,582.57,0.8271,0.0271,0.1857,349.64,-0.0207,-0.0006,-0.0213,0.1289,231.48
yulara,aci,60,0.8,clear,19929,0.8164,0.0164,0.0981,198.48,0.7938,-0.0062,0.1812,341.14,0.8172,0.0172,0.0934,194.93,-0.0226,-0.0008,-0.0234,0.0831,142.66
yulara,aci,60,0.8,cloudy,3275,0.8311,0.0311,0.2719,424.5,0.8198,0.0198,0.4874,740.88,0.83,0.03,0.268,421.64,-0.0113,0.0011,-0.0102,0.2155,316.38
yulara,aci,60,0.8,transitional,13590,0.84,0.04,0.3223,557.19,0.8201,0.0201,0.5163,898.47,0.8411,0.0411,0.3242,560.13,-0.0199,-0.0011,-0.021,0.194,341.28
yulara,aci,5,0.9,all,40905,0.9137,0.0137,0.1738,337.52,0.9137,0.0137,0.1738,337.52,0.9157,0.0157,0.175,341.16,0.0,-0.002,-0.002,0.0,0.0
yulara,aci,5,0.9,clear,21783,0.9153,0.0153,0.0667,142.3,0.9153,0.0153,0.0667,142.3,0.9188,0.0188,0.0684,143.89,0.0,-0.0035,-0.0035,0.0,0.0
yulara,aci,5,0.9,cloudy,3686,0.9425,0.0425,0.132,193.12,0.9425,0.0425,0.132,193.12,0.9445,0.0445,0.1346,195.49,0.0,-0.002,-0.002,0.0,0.0
yulara,aci,5,0.9,transitional,15436,0.9045,0.0045,0.3501,647.49,0.9045,0.0045,0.3501,647.49,0.9044,0.0044,0.3511,655.23,0.0,0.0001,0.0001,0.0,0.0
yulara,aci,15,0.9,all,40094,0.9187,0.0187,0.2154,398.79,0.9137,0.0137,0.2623,481.34,0.9208,0.0208,0.22,405.55,-0.005,-0.0021,-0.0071,0.0469,82.55
yulara,aci,15,0.9,clear,21496,0.9178,0.0178,0.095,203.49,0.9101,0.0101,0.1103,236.39,0.9221,0.0221,0.0978,206.22,-0.0077,-0.0043,-0.012,0.0153,32.9
yulara,aci,15,0.9,cloudy,3610,0.9269,0.0269,0.2043,341.18,0.9241,0.0241,0.2529,413.72,0.9281,0.0281,0.2107,344.69,-0.0028,-0.0012,-0.004,0.0486,72.54
yulara,aci,15,0.9,transitional,14988,0.9179,0.0179,0.405,692.75,0.9164,0.0164,0.4996,848.95,0.9172,0.0172,0.4126,706.7,-0.0015,0.0007,-0.0008,0.0946,156.2
yulara,aci,30,0.9,all,38960,0.9224,0.0224,0.2349,421.2,0.91,0.01,0.3309,591.41,0.9244,0.0244,0.2348,421.38,-0.0124,-0.002,-0.0144,0.096,170.21
yulara,aci,30,0.9,clear,20991,0.9193,0.0193,0.1213,242.77,0.9008,0.0008,0.1642,333.3,0.9231,0.0231,0.1225,242.8,-0.0185,-0.0038,-0.0223,0.0429,90.53
yulara,aci,30,0.9,cloudy,3497,0.9242,0.0242,0.2783,418.53,0.9208,0.0208,0.4326,643.88,0.9239,0.0239,0.2772,415.3,-0.0034,0.0003,-0.0031,0.1543,225.35
