site,method,variant,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
asp,aci_g0.01,anticipative,5,0.8,all,44221,0.8347,0.0347,0.0728,241.19
asp,aci_g0.02,anticipative,5,0.8,all,44221,0.8398,0.0398,0.0803,227.69
asp,aci_g0.05,anticipative,5,0.8,all,44221,0.8266,0.0266,0.0952,229.59
asp,aci_g0.1,anticipative,5,0.8,all,44221,0.8172,0.0172,0.121,256.79
asp,aci_g0.01,delayed,5,0.8,all,44221,0.8347,0.0347,0.0728,241.19
asp,aci_g0.02,delayed,5,0.8,all,44221,0.8398,0.0398,0.0803,227.69
asp,aci_g0.05,delayed,5,0.8,all,44221,0.8266,0.0266,0.0952,229.59
asp,aci_g0.1,delayed,5,0.8,all,44221,0.8172,0.0172,0.121,256.79
asp,aci_g0.01,anticipative,5,0.9,all,44221,0.9287,0.0287,0.1398,344.69
asp,aci_g0.02,anticipative,5,0.9,all,44221,0.9342,0.0342,0.1412,323.6
asp,aci_g0.05,anticipative,5,0.9,all,44221,0.9253,0.0253,0.1526,321.53
asp,aci_g0.1,anticipative,5,0.9,all,44221,0.9147,0.0147,0.1783,352.18
asp,aci_g0.01,delayed,5,0.9,all,44221,0.9287,0.0287,0.1398,344.69
asp,aci_g0.02,delayed,5,0.9,all,44221,0.9342,0.0342,0.1412,323.6
asp,aci_g0.05,delayed,5,0.9,all,44221,0.9253,0.0253,0.1526,321.53
asp,aci_g0.1,delayed,5,0.9,all,44221,0.9147,0.0147,0.1783,352.18
asp,aci_g0.01,anticipative,5,0.95,all,44221,0.9691,0.0191,0.2272,469.1
asp,aci_g0.02,anticipative,5,0.95,all,44221,0.9721,0.0221,0.2247,445.43
asp,aci_g0.05,anticipative,5,0.95,all,44221,0.9687,0.0187,0.2271,437.74
asp,aci_g0.1,anticipative,5,0.95,all,44221,0.9619,0.0119,0.247,461.45
asp,aci_g0.01,delayed,5,0.95,all,44221,0.9691,0.0191,0.2272,469.1
asp,aci_g0.02,delayed,5,0.95,all,44221,0.9721,0.0221,0.2247,445.43
asp,aci_g0.05,delayed,5,0.95,all,44221,0.9687,0.0187,0.2271,437.74
asp,aci_g0.1,delayed,5,0.95,all,44221,0.9619,0.0119,0.247,461.45
asp,aci_g0.01,anticipative,60,0.8,all,40239,0.8468,0.0468,0.1636,406.93
