site,method,horizon_min,nominal,n,n_capped,frac_capped,PICP,PICP_capped,PINAW,PINAW_capped,Winkler,Winkler_capped
asp,icp,5,0.8,44221,731,0.016531,0.7553,0.7543,0.0475,0.0473,302.11,301.92
asp,icp_norm,5,0.8,44221,54,0.001221,0.7582,0.7581,0.0595,0.0595,288.75,288.76
asp,mondrian,5,0.8,44221,2387,0.053979,0.7916,0.7905,0.0702,0.068,237.46,234.34
asp,cqr,5,0.8,44221,119,0.002691,0.8062,0.8062,0.0749,0.0749,180.0,180.0
asp,mondrian_cqr,5,0.8,44221,134,0.00303,0.8067,0.8065,0.0754,0.0754,179.95,179.96
asp,icp,5,0.9,44221,2811,0.063567,0.8766,0.8755,0.1197,0.1181,447.44,445.22
asp,icp_norm,5,0.9,44221,100,0.002261,0.8799,0.8794,0.1325,0.1325,409.89,409.96
asp,mondrian,5,0.9,44221,4090,0.09249,0.8912,0.8898,0.1131,0.1071,330.53,321.97
asp,cqr,5,0.9,44221,122,0.002759,0.903,0.9029,0.1058,0.1058,231.79,231.81
asp,mondrian_cqr,5,0.9,44221,158,0.003573,0.9034,0.9031,0.1069,0.1069,231.64,231.7
asp,icp,5,0.95,44221,6261,0.141584,0.9402,0.9389,0.2125,0.2059,599.1,589.87
asp,icp_norm,5,0.95,44221,235,0.005314,0.9391,0.9383,0.2152,0.2152,529.65,529.83
asp,mondrian,5,0.95,44221,5692,0.128717,0.9423,0.941,0.1653,0.1531,439.83,422.15
asp,cqr,5,0.95,44221,138,0.003121,0.9457,0.9456,0.1345,0.1345,287.16,287.2
asp,mondrian_cqr,5,0.95,44221,263,0.005947,0.9468,0.9461,0.1369,0.1369,286.49,286.67
asp,icp,60,0.8,40239,2938,0.073014,0.7515,0.7504,0.1324,0.1302,536.26,533.06
asp,icp_norm,60,0.8,40239,80,0.001988,0.7609,0.7607,0.168,0.168,498.21,498.22
asp,mondrian,60,0.8,40239,2555,0.063496,0.7876,0.7865,0.1416,0.1376,427.05,421.16
