site,horizon_min,method,variant,nominal,scope,n,PICP,PICP_ci_lo,PICP_ci_hi,ACE,ACE_ci_lo,ACE_ci_hi,covers_nominal
asp,60,icp,static,0.8,all,40239,0.7515,0.726,0.7775,-0.0485,-0.074,-0.0225,no
asp,60,icp,static,0.8,clear,22594,0.9355,0.9238,0.9463,0.1355,0.1238,0.1463,no
asp,60,icp,static,0.8,cloudy,3647,0.6246,0.5703,0.6766,-0.1754,-0.2297,-0.1234,no
asp,60,icp,static,0.8,transitional,13998,0.4876,0.4654,0.5112,-0.3124,-0.3346,-0.2888,no
asp,60,icp_norm,static,0.8,all,40239,0.7609,0.7388,0.7829,-0.0391,-0.0612,-0.0171,no
asp,60,icp_norm,static,0.8,clear,22594,0.9274,0.9197,0.9345,0.1274,0.1197,0.1345,no
asp,60,icp_norm,static,0.8,cloudy,3647,0.6781,0.6256,0.7258,-0.1219,-0.1744,-0.0742,no
asp,60,icp_norm,static,0.8,transitional,13998,0.5137,0.4922,0.5363,-0.2863,-0.3078,-0.2637,no
asp,60,mondrian,static,0.8,all,40239,0.7876,0.7721,0.8033,-0.0124,-0.0279,0.0033,yes
asp,60,mondrian,static,0.8,clear,22594,0.7953,0.7713,0.8184,-0.0047,-0.0287,0.0184,yes
asp,60,mondrian,static,0.8,cloudy,3647,0.7516,0.702,0.7968,-0.0484,-0.098,-0.0032,no
asp,60,mondrian,static,0.8,transitional,13998,0.7844,0.7641,0.8051,-0.0156,-0.0359,0.0051,yes
asp,60,cqr,static,0.8,all,40239,0.8007,0.7904,0.8109,0.0007,-0.0096,0.0109,yes
asp,60,cqr,static,0.8,clear,22594,0.8156,0.8024,0.8284,0.0156,0.0024,0.0284,no
asp,60,cqr,static,0.8,cloudy,3647,0.8094,0.7771,0.8417,0.0094,-0.0229,0.0417,yes
asp,60,cqr,static,0.8,transitional,13998,0.7743,0.7579,0.7905,-0.0257,-0.0421,-0.0095,no
asp,60,mondrian_cqr,static,0.8,all,40239,0.8018,0.7916,0.8119,0.0018,-0.0084,0.0119,yes
asp,60,mondrian_cqr,static,0.8,clear,22594,0.8127,0.7995,0.8255,0.0127,-0.0005,0.0255,yes
asp,60,mondrian_cqr,static,0.8,cloudy,3647,0.8067,0.774,0.839,0.0067,-0.026,0.039,yes
asp,60,mondrian_cqr,static,0.8,transitional,13998,0.783,0.7669,0.7991,-0.017,-0.0331,-0.0009,no
asp,60,aci,anticipative,0.8,all,40239,0.8392,0.8363,0.8423,0.0392,0.0363,0.0423,no
asp,60,aci,anticipative,0.8,clear,22594,0.8426,0.8366,0.8482,0.0426,0.0366,0.0482,no
asp,60,aci,anticipative,0.8,cloudy,3647,0.8289,0.8133,0.843,0.0289,0.0133,0.043,no
asp,60,aci,anticipative,0.8,transitional,13998,0.8365,0.8309,0.8424,0.0365,0.0309,0.0424,no
asp,60,aci_regime,anticipative,0.8,all,40239,0.8292,0.826,0.8326,0.0292,0.026,0.0326,no
asp,60,aci_regime,anticipative,0.8,clear,22594,0.8103,0.8045,0.8157,0.0103,0.0045,0.0157,no
asp,60,aci_regime,anticipative,0.8,cloudy,3647,0.8259,0.8059,0.8428,0.0259,0.0059,0.0428,no
asp,60,aci_regime,anticipative,0.8,transitional,13998,0.8606,0.855,0.8669,0.0606,0.055,0.0669,no
asp,60,aci,delayed,0.8,all,40239,0.8269,0.8228,0.831,0.0269,0.0228,0.031,no
asp,60,aci,delayed,0.8,clear,22594,0.8286,0.8191,0.8378,0.0286,0.0191,0.0378,no
asp,60,aci,delayed,0.8,cloudy,3647,0.83,0.8038,0.855,0.03,0.0038,0.055,no
asp,60,aci,delayed,0.8,transitional,13998,0.8233,0.8122,0.8347,0.0233,0.0122,0.0347,no
asp,60,aci_regime,delayed,0.8,all,40239,0.8048,0.7995,0.8101,0.0048,-0.0005,0.0101,yes
asp,60,aci_regime,delayed,0.8,clear,22594,0.7818,0.7727,0.7905,-0.0182,-0.0273,-0.0095,no
asp,60,aci_regime,delayed,0.8,cloudy,3647,0.7987,0.7733,0.8199,-0.0013,-0.0267,0.0199,yes
asp,60,aci_regime,delayed,0.8,transitional,13998,0.8433,0.8352,0.8517,0.0433,0.0352,0.0517,no
asp,60,icp,static,0.9,all,40239,0.8716,0.8552,0.8878,-0.0284,-0.0448,-0.0122,no
asp,60,icp,static,0.9,clear,22594,0.9697,0.9636,0.9754,0.0697,0.0636,0.0754,no
asp,60,icp,static,0.9,cloudy,3647,0.8336,0.7912,0.8705,-0.0664,-0.1088,-0.0295,no
asp,60,icp,static,0.9,transitional,13998,0.7232,0.7006,0.7464,-0.1768,-0.1994,-0.1536,no
asp,60,icp_norm,static,0.9,all,40239,0.8713,0.8576,0.8849,-0.0287,-0.0424,-0.0151,no
asp,60,icp_norm,static,0.9,clear,22594,0.9591,0.954,0.964,0.0591,0.054,0.064,no
asp,60,icp_norm,static,0.9,cloudy,3647,0.8569,0.8234,0.886,-0.0431,-0.0766,-0.014,no
asp,60,icp_norm,static,0.9,transitional,13998,0.7332,0.7141,0.7528,-0.1668,-0.1859,-0.1472,no
asp,60,mondrian,static,0.9,all,40239,0.8865,0.8754,0.8978,-0.0135,-0.0246,-0.0022,no
asp,60,mondrian,static,0.9,clear,22594,0.8827,0.8644,0.8999,-0.0173,-0.0356,-0.0001,no
asp,60,mondrian,static,0.9,cloudy,3647,0.8711,0.8332,0.9033,-0.0289,-0.0668,0.0033,yes
asp,60,mondrian,static,0.9,transitional,13998,0.8967,0.8826,0.9106,-0.0033,-0.0174,0.0106,yes
asp,60,cqr,static,0.9,all,40239,0.895,0.8871,0.9027,-0.005,-0.0129,0.0027,yes
asp,60,cqr,static,0.9,clear,22594,0.9051,0.8954,0.9142,0.0051,-0.0046,0.0142,yes
asp,60,cqr,static,0.9,cloudy,3647,0.8922,0.8667,0.917,-0.0078,-0.0333,0.017,yes
asp,60,cqr,static,0.9,transitional,13998,0.8794,0.8666,0.892,-0.0206,-0.0334,-0.008,no
asp,60,mondrian_cqr,static,0.9,all,40239,0.8955,0.8879,0.9031,-0.0045,-0.0121,0.0031,yes
asp,60,mondrian_cqr,static,0.9,clear,22594,0.9028,0.8931,0.912,0.0028,-0.0069,0.012,yes
asp,60,mondrian_cqr,static,0.9,cloudy,3647,0.8892,0.8633,0.9145,-0.0108,-0.0367,0.0145,yes
asp,60,mondrian_cqr,static,0.9,transitional,13998,0.8855,0.8731,0.8976,-0.0145,-0.0269,-0.0024,no
asp,60,aci,anticipative,0.9,all,40239,0.9377,0.935,0.9405,0.0377,0.035,0.0405,no
asp,60,aci,anticipative,0.9,clear,22594,0.9453,0.9408,0.9496,0.0453,0.0408,0.0496,no
asp,60,aci,anticipative,0.9,cloudy,3647,0.9254,0.9152,0.9346,0.0254,0.0152,0.0346,no
asp,60,aci,anticipative,0.9,transitional,13998,0.9285,0.9249,0.9323,0.0285,0.0249,0.0323,no
asp,60,aci_regime,anticipative,0.9,all,40239,0.926,0.9236,0.9284,0.026,0.0236,0.0284,no
asp,60,aci_regime,anticipative,0.9,clear,22594,0.9172,0.9132,0.921,0.0172,0.0132,0.021,no
asp,60,aci_regime,anticipative,0.9,cloudy,3647,0.9219,0.91,0.9321,0.0219,0.01,0.0321,no
asp,60,aci_regime,anticipative,0.9,transitional,13998,0.9411,0.9376,0.945,0.0411,0.0376,0.045,no
asp,60,aci,delayed,0.9,all,40239,0.9214,0.9172,0.9258,0.0214,0.0172,0.0258,no
asp,60,aci,delayed,0.9,clear,22594,0.9272,0.919,0.935,0.0272,0.019,0.035,no
asp,60,aci,delayed,0.9,cloudy,3647,0.9112,0.8924,0.9282,0.0112,-0.0076,0.0282,yes
asp,60,aci,delayed,0.9,transitional,13998,0.9148,0.9074,0.9222,0.0148,0.0074,0.0222,no
asp,60,aci_regime,delayed,0.9,all,40239,0.8922,0.8868,0.8976,-0.0078,-0.0132,-0.0024,no
asp,60,aci_regime,delayed,0.9,clear,22594,0.8763,0.8674,0.8845,-0.0237,-0.0326,-0.0155,no
asp,60,aci_regime,delayed,0.9,cloudy,3647,0.8903,0.8698,0.9085,-0.0097,-0.0302,0.0085,yes
asp,60,aci_regime,delayed,0.9,transitional,13998,0.9183,0.9114,0.9254,0.0183,0.0114,0.0254,no
asp,60,icp,static,0.95,all,40239,0.9383,0.9286,0.9476,-0.0117,-0.0214,-0.0024,no
asp,60,icp,static,0.95,clear,22594,0.9828,0.9788,0.9864,0.0328,0.0288,0.0364,no
asp,60,icp,static,0.95,cloudy,3647,0.9339,0.911,0.9529,-0.0161,-0.039,0.0029,yes
asp,60,icp,static,0.95,transitional,13998,0.8677,0.851,0.8843,-0.0823,-0.099,-0.0657,no
asp,60,icp_norm,static,0.95,all,40239,0.9347,0.927,0.9426,-0.0153,-0.023,-0.0074,no
asp,60,icp_norm,static,0.95,clear,22594,0.9765,0.9727,0.9801,0.0265,0.0227,0.0301,no
asp,60,icp_norm,static,0.95,cloudy,3647,0.9276,0.9049,0.9462,-0.0224,-0.0451,-0.0038,no
asp,60,icp_norm,static,0.95,transitional,13998,0.8692,0.8564,0.8822,-0.0808,-0.0936,-0.0678,no
asp,60,mondrian,static,0.95,all,40239,0.9399,0.9327,0.9472,-0.0101,-0.0173,-0.0028,no
asp,60,mondrian,static,0.95,clear,22594,0.936,0.9242,0.9467,-0.014,-0.0258,-0.0033,no
asp,60,mondrian,static,0.95,cloudy,3647,0.938,0.9162,0.956,-0.012,-0.0338,0.006,yes
asp,60,mondrian,static,0.95,transitional,13998,0.9466,0.9375,0.9556,-0.0034,-0.0125,0.0056,yes
asp,60,cqr,static,0.95,all,40239,0.9463,0.9409,0.9516,-0.0037,-0.0091,0.0016,yes
asp,60,cqr,static,0.95,clear,22594,0.9515,0.9444,0.9582,0.0015,-0.0056,0.0082,yes
asp,60,cqr,static,0.95,cloudy,3647,0.955,0.943,0.966,0.005,-0.007,0.016,yes
asp,60,cqr,static,0.95,transitional,13998,0.9356,0.9265,0.9443,-0.0144,-0.0235,-0.0057,no
asp,60,mondrian_cqr,static,0.95,all,40239,0.9466,0.9412,0.9519,-0.0034,-0.0088,0.0019,yes
asp,60,mondrian_cqr,static,0.95,clear,22594,0.951,0.9439,0.9577,0.001,-0.0061,0.0077,yes
asp,60,mondrian_cqr,static,0.95,cloudy,3647,0.9553,0.9433,0.9662,0.0053,-0.0067,0.0162,yes
asp,60,mondrian_cqr,static,0.95,transitional,13998,0.9373,0.9283,0.9459,-0.0127,-0.0217,-0.0041,no
asp,60,aci,anticipative,0.95,all,40239,0.9755,0.9737,0.9773,0.0255,0.0237,0.0273,no
asp,60,aci,anticipative,0.95,clear,22594,0.9805,0.9777,0.9831,0.0305,0.0277,0.0331,no
asp,60,aci,anticipative,0.95,cloudy,3647,0.9682,0.9617,0.9741,0.0182,0.0117,0.0241,no
asp,60,aci,anticipative,0.95,transitional,13998,0.9693,0.967,0.9716,0.0193,0.017,0.0216,no
asp,60,aci_regime,anticipative,0.95,all,40239,0.9675,0.966,0.9692,0.0175,0.016,0.0192,no
asp,60,aci_regime,anticipative,0.95,clear,22594,0.9642,0.9616,0.9667,0.0142,0.0116,0.0167,no
asp,60,aci_regime,anticipative,0.95,cloudy,3647,0.9644,0.9572,0.9706,0.0144,0.0072,0.0206,no
asp,60,aci_regime,anticipative,0.95,transitional,13998,0.9738,0.9716,0.976,0.0238,0.0216,0.026,no
asp,60,aci,delayed,0.95,all,40239,0.9614,0.9577,0.9652,0.0114,0.0077,0.0152,no
asp,60,aci,delayed,0.95,clear,22594,0.9688,0.9629,0.9744,0.0188,0.0129,0.0244,no
asp,60,aci,delayed,0.95,cloudy,3647,0.9556,0.943,0.9669,0.0056,-0.007,0.0169,yes
asp,60,aci,delayed,0.95,transitional,13998,0.9509,0.9451,0.9567,0.0009,-0.0049,0.0067,yes
asp,60,aci_regime,delayed,0.95,all,40239,0.9364,0.9314,0.9414,-0.0136,-0.0186,-0.0086,no
asp,60,aci_regime,delayed,0.95,clear,22594,0.9271,0.9188,0.9349,-0.0229,-0.0312,-0.0151,no
asp,60,aci_regime,delayed,0.95,cloudy,3647,0.9353,0.9181,0.9494,-0.0147,-0.0319,-0.0006,no
asp,60,aci_regime,delayed,0.95,transitional,13998,0.9519,0.9458,0.9579,0.0019,-0.0042,0.0079,yes
asp,5,icp,static,0.8,all,44221,0.7553,0.7317,0.7786,-0.0447,-0.0683,-0.0214,no
asp,5,icp,static,0.8,clear,23683,0.9404,0.9299,0.9501,0.1404,0.1299,0.1501,no
asp,5,icp,static,0.8,cloudy,4020,0.8296,0.8004,0.8562,0.0296,0.0004,0.0562,no
asp,5,icp,static,0.8,transitional,16518,0.4718,0.4542,0.4916,-0.3282,-0.3458,-0.3084,no
asp,5,icp_norm,static,0.8,all,44221,0.7582,0.7368,0.7797,-0.0418,-0.0632,-0.0203,no
asp,5,icp_norm,static,0.8,clear,23683,0.9478,0.9405,0.9545,0.1478,0.1405,0.1545,no
asp,5,icp_norm,static,0.8,cloudy,4020,0.8736,0.8478,0.8956,0.0736,0.0478,0.0956,no
asp,5,icp_norm,static,0.8,transitional,16518,0.4583,0.4419,0.4756,-0.3417,-0.3581,-0.3244,no
asp,5,mondrian,static,0.8,all,44221,0.7916,0.7789,0.8042,-0.0084,-0.0211,0.0042,yes
asp,5,mondrian,static,0.8,clear,23683,0.7921,0.7713,0.8115,-0.0079,-0.0287,0.0115,yes
asp,5,mondrian,static,0.8,cloudy,4020,0.7883,0.7577,0.8165,-0.0117,-0.0423,0.0165,yes
asp,5,mondrian,static,0.8,transitional,16518,0.7918,0.7761,0.8077,-0.0082,-0.0239,0.0077,yes
asp,5,cqr,static,0.8,all,44221,0.8062,0.7996,0.8127,0.0062,-0.0004,0.0127,yes
asp,5,cqr,static,0.8,clear,23683,0.8156,0.8086,0.8223,0.0156,0.0086,0.0223,no
asp,5,cqr,static,0.8,cloudy,4020,0.8326,0.8071,0.8568,0.0326,0.0071,0.0568,no
