site,horizon_min,set,n,n_crossing,rate,mean_violation_Wm2,median_violation_Wm2,p99_violation_Wm2,max_violation_Wm2,mean_violation_pct_of_mean_GHI,tau_lo,tau_hi
asp,5,test_quantiles_only,44221,11356,0.256801,4.6699,1.7016,42.1391,112.6783,0.7905,,
asp,5,test_with_point_as_median,44221,12744,0.288189,4.544,1.7164,40.2619,112.6783,0.7692,,
asp,5,calib_quantiles_only,43296,11454,0.264551,4.1505,1.5026,36.7911,144.103,0.7026,,
asp,5,band_edges_80,44221,17,0.000384,1.7292,,,7.8988,,0.1,0.9
asp,5,band_edges_90,44221,1,2.3e-05,1.3289,,,1.3289,,0.05,0.95
asp,5,band_edges_95,44221,1,2.3e-05,0.1264,,,0.1264,,0.025,0.975
asp,60,test_quantiles_only,40239,7932,0.197122,7.3285,2.8221,64.1241,364.2407,1.1922,,
asp,60,test_with_point_as_median,40239,9133,0.226969,7.5677,3.0376,64.0976,364.2407,1.2311,,
asp,60,calib_quantiles_only,39317,8511,0.216471,5.7158,2.6225,46.8083,152.2112,0.9299,,
asp,60,band_edges_80,40239,16,0.000398,4.6824,,,12.6575,,0.1,0.9
asp,60,band_edges_90,40239,34,0.000845,26.1215,,,62.4321,,0.05,0.95
asp,60,band_edges_95,40239,0,0.0,0.0,,,0.0,,0.025,0.975
asp,15,test_quantiles_only,43497,9598,0.220659,5.6463,2.0884,49.2865,228.8808,0.9466,,
asp,15,test_with_point_as_median,43497,10975,0.252316,7.2434,2.2635,76.239,228.8808,1.2143,,
asp,15,calib_quantiles_only,42567,10210,0.239857,4.8409,1.9605,40.9132,168.7804,0.8116,,
asp,15,band_edges_80,43497,17,0.000391,2.8512,,,9.9324,,0.1,0.9
asp,15,band_edges_90,43497,4,9.2e-05,3.1002,,,5.3519,,0.05,0.95
asp,15,band_edges_95,43497,6,0.000138,9.2709,,,37.428,,0.025,0.975
asp,30,test_quantiles_only,42411,9458,0.223008,5.7994,2.5095,50.8188,185.853,0.9603,,
asp,30,test_with_point_as_median,42411,10984,0.258989,6.85,2.8137,55.7164,185.853,1.1342,,
asp,30,calib_quantiles_only,41480,9788,0.235969,5.7594,2.4315,56.1441,127.426,0.9537,,
asp,30,band_edges_80,42411,21,0.000495,3.0147,,,5.9701,,0.1,0.9
asp,30,band_edges_90,42411,0,0.0,0.0,,,0.0,,0.05,0.95
asp,30,band_edges_95,42411,0,0.0,0.0,,,0.0,,0.025,0.975
yulara,5,test_quantiles_only,40905,14419,0.3525,6.2847,3.5143,32.8686,125.2483,1.055,,
yulara,5,test_with_point_as_median,40905,16466,0.402542,5.7914,3.0843,32.3035,125.2483,0.9722,,
yulara,5,calib_quantiles_only,40131,14745,0.367422,6.0175,3.3069,31.1065,83.0944,1.0102,,
yulara,5,band_edges_80,40905,49,0.001198,0.9119,,,3.3673,,0.1,0.9
yulara,5,band_edges_90,40905,2,4.9e-05,2.9458,,,3.2798,,0.05,0.95
yulara,5,band_edges_95,40905,0,0.0,0.0,,,0.0,,0.025,0.975
yulara,60,test_quantiles_only,36794,10162,0.276186,9.1418,6.1511,47.6952,101.2114,1.4689,,
yulara,60,test_with_point_as_median,36794,12268,0.333424,9.22,6.4158,45.242,101.2114,1.4815,,
yulara,60,calib_quantiles_only,36168,10329,0.285584,8.8127,5.653,46.7202,159.7034,1.416,,
yulara,60,band_edges_80,36794,81,0.002201,4.6557,,,17.4892,,0.1,0.9
yulara,60,band_edges_90,36794,1,2.7e-05,0.4399,,,0.4399,,0.05,0.95
yulara,60,band_edges_95,36794,0,0.0,0.0,,,0.0,,0.025,0.975
yulara,15,test_quantiles_only,40094,12297,0.306704,9.4719,5.1068,50.0527,150.7991,1.5739,,
yulara,15,test_with_point_as_median,40094,14988,0.373822,8.4267,4.3066,48.8668,150.7991,1.4002,,
yulara,15,calib_quantiles_only,39343,12896,0.327784,10.2624,5.259,56.1171,150.8369,1.7053,,
yulara,15,band_edges_80,40094,127,0.003168,4.2313,,,29.4245,,0.1,0.9
yulara,15,band_edges_90,40094,2,5e-05,1.7969,,,2.7871,,0.05,0.95
yulara,15,band_edges_95,40094,0,0.0,0.0,,,0.0,,0.025,0.975
yulara,30,test_quantiles_only,38960,13725,0.352284,14.0637,7.7157,61.0881,156.0369,2.3066,,
yulara,30,test_with_point_as_median,38960,15689,0.402695,13.0667,7.2281,60.2095,156.0369,2.1431,,
yulara,30,calib_quantiles_only,38241,14933,0.390497,13.7824,7.7831,61.5195,155.618,2.2605,,
yulara,30,band_edges_80,38960,91,0.002336,4.1095,,,18.759,,0.1,0.9
yulara,30,band_edges_90,38960,2,5.1e-05,0.335,,,0.6228,,0.05,0.95
yulara,30,band_edges_95,38960,1,2.6e-05,3.1712,,,3.1712,,0.025,0.975
