site,horizon_min,set,pair,n,rate,mean_violation_Wm2
asp,5,test_quantiles_only,0.025->0.05,4361,0.098618,4.5886
asp,5,test_quantiles_only,0.05->0.1,2484,0.056172,2.5908
asp,5,test_quantiles_only,0.1->0.9,17,0.000384,1.7292
asp,5,test_quantiles_only,0.9->0.95,3025,0.068406,3.8079
asp,5,test_quantiles_only,0.95->0.975,3259,0.073698,5.4018
asp,5,test_with_point_as_median,0.025->0.05,4361,0.098618,4.5886
asp,5,test_with_point_as_median,0.05->0.1,2484,0.056172,2.5908
asp,5,test_with_point_as_median,0.1->0.5,1148,0.025961,3.7875
asp,5,test_with_point_as_median,0.5->0.9,1004,0.022704,1.408
asp,5,test_with_point_as_median,0.9->0.95,3025,0.068406,3.8079
asp,5,test_with_point_as_median,0.95->0.975,3259,0.073698,5.4018
asp,5,calib_quantiles_only,0.025->0.05,3605,0.083264,4.4253
asp,5,calib_quantiles_only,0.05->0.1,2587,0.059751,2.4688
asp,5,calib_quantiles_only,0.1->0.9,29,0.00067,0.9005
asp,5,calib_quantiles_only,0.9->0.95,3241,0.074857,3.6933
asp,5,calib_quantiles_only,0.95->0.975,3605,0.083264,4.2157
asp,60,test_quantiles_only,0.025->0.05,2435,0.060513,9.1135
asp,60,test_quantiles_only,0.05->0.1,2360,0.05865,6.206
asp,60,test_quantiles_only,0.1->0.9,16,0.000398,4.6824
asp,60,test_quantiles_only,0.9->0.95,2411,0.059917,4.7762
asp,60,test_quantiles_only,0.95->0.975,1631,0.040533,7.2636
asp,60,test_with_point_as_median,0.025->0.05,2435,0.060513,9.1135
asp,60,test_with_point_as_median,0.05->0.1,2360,0.05865,6.206
asp,60,test_with_point_as_median,0.1->0.5,1257,0.031238,8.7372
asp,60,test_with_point_as_median,0.5->0.9,789,0.019608,3.91
asp,60,test_with_point_as_median,0.9->0.95,2411,0.059917,4.7762
asp,60,test_with_point_as_median,0.95->0.975,1631,0.040533,7.2636
asp,60,calib_quantiles_only,0.025->0.05,2533,0.064425,7.6281
asp,60,calib_quantiles_only,0.05->0.1,2568,0.065315,5.2931
asp,60,calib_quantiles_only,0.1->0.9,11,0.00028,7.3497
asp,60,calib_quantiles_only,0.9->0.95,2476,0.062975,4.004
asp,60,calib_quantiles_only,0.95->0.975,1966,0.050004,4.2959
asp,15,test_quantiles_only,0.025->0.05,3019,0.069407,5.509
asp,15,test_quantiles_only,0.05->0.1,3029,0.069637,4.4215
asp,15,test_quantiles_only,0.1->0.9,17,0.000391,2.8512
asp,15,test_quantiles_only,0.9->0.95,2485,0.05713,6.0441
asp,15,test_quantiles_only,0.95->0.975,2441,0.056119,5.1915
asp,15,test_with_point_as_median,0.025->0.05,3019,0.069407,5.509
asp,15,test_with_point_as_median,0.05->0.1,3029,0.069637,4.4215
asp,15,test_with_point_as_median,0.1->0.5,1460,0.033566,17.4328
asp,15,test_with_point_as_median,0.5->0.9,1047,0.024071,2.5018
asp,15,test_with_point_as_median,0.9->0.95,2485,0.05713,6.0441
asp,15,test_with_point_as_median,0.95->0.975,2441,0.056119,5.1915
asp,15,calib_quantiles_only,0.025->0.05,3349,0.078676,5.664
asp,15,calib_quantiles_only,0.05->0.1,3117,0.073226,3.4972
asp,15,calib_quantiles_only,0.1->0.9,26,0.000611,3.1449
asp,15,calib_quantiles_only,0.9->0.95,2782,0.065356,4.0829
asp,15,calib_quantiles_only,0.95->0.975,2237,0.052552,4.7599
asp,30,test_quantiles_only,0.025->0.05,3191,0.07524,6.7693
asp,30,test_quantiles_only,0.05->0.1,2995,0.070618,5.6247
asp,30,test_quantiles_only,0.1->0.9,21,0.000495,3.0147
asp,30,test_quantiles_only,0.9->0.95,2541,0.059914,3.5522
asp,30,test_quantiles_only,0.95->0.975,2045,0.048219,5.2577
asp,30,test_with_point_as_median,0.025->0.05,3191,0.07524,6.7693
asp,30,test_with_point_as_median,0.05->0.1,2995,0.070618,5.6247
asp,30,test_with_point_as_median,0.1->0.5,1909,0.045012,10.8241
asp,30,test_with_point_as_median,0.5->0.9,784,0.018486,3.3037
asp,30,test_with_point_as_median,0.9->0.95,2541,0.059914,3.5522
asp,30,test_with_point_as_median,0.95->0.975,2045,0.048219,5.2577
asp,30,calib_quantiles_only,0.025->0.05,3008,0.072517,7.3317
asp,30,calib_quantiles_only,0.05->0.1,3243,0.078182,6.1164
asp,30,calib_quantiles_only,0.1->0.9,17,0.00041,1.4765
asp,30,calib_quantiles_only,0.9->0.95,2751,0.066321,3.066
asp,30,calib_quantiles_only,0.95->0.975,2194,0.052893,4.3056
yulara,5,test_quantiles_only,0.025->0.05,3549,0.086762,5.6356
yulara,5,test_quantiles_only,0.05->0.1,4008,0.097983,9.6478
yulara,5,test_quantiles_only,0.1->0.9,49,0.001198,0.9119
yulara,5,test_quantiles_only,0.9->0.95,5551,0.135705,3.6837
yulara,5,test_quantiles_only,0.95->0.975,4465,0.109155,4.3253
yulara,5,test_with_point_as_median,0.025->0.05,3549,0.086762,5.6356
yulara,5,test_with_point_as_median,0.05->0.1,4008,0.097983,9.6478
yulara,5,test_with_point_as_median,0.1->0.5,2221,0.054297,1.8715
yulara,5,test_with_point_as_median,0.5->0.9,645,0.015768,2.1212
yulara,5,test_with_point_as_median,0.9->0.95,5551,0.135705,3.6837
yulara,5,test_with_point_as_median,0.95->0.975,4465,0.109155,4.3253
yulara,5,calib_quantiles_only,0.025->0.05,3354,0.083576,5.7219
yulara,5,calib_quantiles_only,0.05->0.1,3943,0.098253,9.8286
yulara,5,calib_quantiles_only,0.1->0.9,35,0.000872,0.9943
yulara,5,calib_quantiles_only,0.9->0.95,5860,0.146022,3.2438
yulara,5,calib_quantiles_only,0.95->0.975,4796,0.119509,4.157
yulara,60,test_quantiles_only,0.025->0.05,2197,0.059711,9.0502
yulara,60,test_quantiles_only,0.05->0.1,1334,0.036256,10.1187
yulara,60,test_quantiles_only,0.1->0.9,81,0.002201,4.6557
