site,method,variant,horizon_min,scope,n,CRPS
asp,icp,static,5,all,44221,24.671
asp,icp,static,5,clear,23683,10.834
asp,icp,static,5,transitional,16518,47.347
asp,icp,static,5,cloudy,4020,13.015
asp,icp_norm,static,5,all,44221,23.257
asp,icp_norm,static,5,clear,23683,11.572
asp,icp_norm,static,5,transitional,16518,42.531
asp,icp_norm,static,5,cloudy,4020,12.894
asp,mondrian,static,5,all,44221,20.016
asp,mondrian,static,5,clear,23683,7.96
asp,mondrian,static,5,transitional,16518,39.173
asp,mondrian,static,5,cloudy,4020,12.326
asp,cqr,static,5,all,44221,15.873
asp,cqr,static,5,clear,23683,5.581
asp,cqr,static,5,transitional,16518,31.511
asp,cqr,static,5,cloudy,4020,12.256
asp,mondrian_cqr,static,5,all,44221,15.865
asp,mondrian_cqr,static,5,clear,23683,5.58
asp,mondrian_cqr,static,5,transitional,16518,31.491
asp,mondrian_cqr,static,5,cloudy,4020,12.248
asp,cqr,rearranged,5,all,44221,15.86
asp,cqr,rearranged,5,clear,23683,5.569
asp,cqr,rearranged,5,transitional,16518,31.501
asp,cqr,rearranged,5,cloudy,4020,12.213
asp,mondrian_cqr,rearranged,5,all,44221,15.851
asp,mondrian_cqr,rearranged,5,clear,23683,5.568
asp,mondrian_cqr,rearranged,5,transitional,16518,31.482
asp,mondrian_cqr,rearranged,5,cloudy,4020,12.206
asp,icp,static,60,all,40239,42.877
asp,icp,static,60,clear,22594,25.061
asp,icp,static,60,transitional,13998,70.172
asp,icp,static,60,cloudy,3647,48.478
asp,icp_norm,static,60,all,40239,39.893
asp,icp_norm,static,60,clear,22594,25.804
asp,icp_norm,static,60,transitional,13998,61.429
asp,icp_norm,static,60,cloudy,3647,44.514
asp,mondrian,static,60,all,40239,36.799
asp,mondrian,static,60,clear,22594,20.963
asp,mondrian,static,60,transitional,13998,59.954
asp,mondrian,static,60,cloudy,3647,46.038
asp,cqr,static,60,all,40239,30.636
asp,cqr,static,60,clear,22594,16.029
asp,cqr,static,60,transitional,13998,51.59
asp,cqr,static,60,cloudy,3647,40.699
asp,mondrian_cqr,static,60,all,40239,30.627
asp,mondrian_cqr,static,60,clear,22594,16.028
asp,mondrian_cqr,static,60,transitional,13998,51.566
asp,mondrian_cqr,static,60,cloudy,3647,40.701
asp,cqr,rearranged,60,all,40239,30.616
asp,cqr,rearranged,60,clear,22594,16.028
asp,cqr,rearranged,60,transitional,13998,51.581
asp,cqr,rearranged,60,cloudy,3647,40.531
asp,mondrian_cqr,rearranged,60,all,40239,30.606
asp,mondrian_cqr,rearranged,60,clear,22594,16.026
