site,method,variant,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
asp,icp,static,5,0.8,all,44221,0.7553,-0.0447,0.0475,302.11
asp,icp,static,5,0.8,clear,23683,0.9404,0.1404,0.0511,113.96
asp,icp,static,5,0.8,transitional,16518,0.4718,-0.3282,0.0474,610.64
asp,icp,static,5,0.8,cloudy,4020,0.8296,0.0296,0.0687,142.83
asp,icp_norm,static,5,0.8,all,44221,0.7582,-0.0418,0.0595,288.75
asp,icp_norm,static,5,0.8,clear,23683,0.9478,0.1478,0.0673,129.4
asp,icp_norm,static,5,0.8,transitional,16518,0.4583,-0.3417,0.0551,553.77
asp,icp_norm,static,5,0.8,cloudy,4020,0.8736,0.0736,0.0849,138.54
asp,mondrian,static,5,0.8,all,44221,0.7916,-0.0084,0.0702,237.46
asp,mondrian,static,5,0.8,clear,23683,0.7921,-0.0079,0.0129,87.02
asp,mondrian,static,5,0.8,transitional,16518,0.7918,-0.0082,0.1607,476.19
asp,mondrian,static,5,0.8,cloudy,4020,0.7883,-0.0117,0.0597,142.82
asp,cqr,static,5,0.8,all,44221,0.8062,0.0062,0.0749,180.0
asp,cqr,static,5,0.8,clear,23683,0.8156,0.0156,0.0225,61.89
asp,cqr,static,5,0.8,transitional,16518,0.7864,-0.0136,0.156,360.9
asp,cqr,static,5,0.8,cloudy,4020,0.8326,0.0326,0.0866,132.54
asp,mondrian_cqr,static,5,0.8,all,44221,0.8067,0.0067,0.0754,179.95
asp,mondrian_cqr,static,5,0.8,clear,23683,0.8091,0.0091,0.0223,61.87
asp,mondrian_cqr,static,5,0.8,transitional,16518,0.7993,-0.0007,0.1577,360.81
asp,mondrian_cqr,static,5,0.8,cloudy,4020,0.8224,0.0224,0.0856,132.4
asp,cqr,rearranged,5,0.8,all,44221,0.8048,0.0048,0.0747,179.94
asp,cqr,rearranged,5,0.8,clear,23683,0.8149,0.0149,0.0223,61.86
asp,cqr,rearranged,5,0.8,transitional,16518,0.7851,-0.0149,0.1559,360.88
asp,cqr,rearranged,5,0.8,cloudy,4020,0.8261,0.0261,0.0852,132.12
asp,mondrian_cqr,rearranged,5,0.8,all,44221,0.806,0.006,0.0752,179.89
asp,mondrian_cqr,rearranged,5,0.8,clear,23683,0.8086,0.0086,0.0222,61.84
asp,mondrian_cqr,rearranged,5,0.8,transitional,16518,0.7989,-0.0011,0.1576,360.78
asp,mondrian_cqr,rearranged,5,0.8,cloudy,4020,0.8204,0.0204,0.0847,132.05
asp,aci,anticipative,5,0.8,all,44221,0.8266,0.0266,0.0952,229.59
asp,aci,anticipative,5,0.8,clear,23683,0.8398,0.0398,0.0247,73.71
asp,aci,anticipative,5,0.8,transitional,16518,0.8042,0.0042,0.2088,476.88
asp,aci,anticipative,5,0.8,cloudy,4020,0.8413,0.0413,0.0785,131.87
asp,aci_regime,anticipative,5,0.8,all,44221,0.8192,0.0192,0.0965,228.04
asp,aci_regime,anticipative,5,0.8,clear,23683,0.7981,-0.0019,0.0347,91.83
asp,aci_regime,anticipative,5,0.8,transitional,16518,0.8511,0.0511,0.1997,445.32
asp,aci_regime,anticipative,5,0.8,cloudy,4020,0.8132,0.0132,0.0724,137.75
asp,aci_g0.01,anticipative,5,0.8,all,44221,0.8347,0.0347,0.0728,241.19
asp,aci_g0.02,anticipative,5,0.8,all,44221,0.8398,0.0398,0.0803,227.69
asp,aci_g0.05,anticipative,5,0.8,all,44221,0.8266,0.0266,0.0952,229.59
asp,aci_g0.1,anticipative,5,0.8,all,44221,0.8172,0.0172,0.121,256.79
asp,aci,delayed,5,0.8,all,44221,0.8266,0.0266,0.0952,229.59
asp,aci,delayed,5,0.8,clear,23683,0.8398,0.0398,0.0247,73.71
asp,aci,delayed,5,0.8,transitional,16518,0.8042,0.0042,0.2088,476.88
asp,aci,delayed,5,0.8,cloudy,4020,0.8413,0.0413,0.0785,131.87
asp,aci_regime,delayed,5,0.8,all,44221,0.8192,0.0192,0.0965,228.04
asp,aci_regime,delayed,5,0.8,clear,23683,0.7981,-0.0019,0.0347,91.83
asp,aci_regime,delayed,5,0.8,transitional,16518,0.8511,0.0511,0.1997,445.32
asp,aci_regime,delayed,5,0.8,cloudy,4020,0.8132,0.0132,0.0724,137.75
asp,aci_g0.01,delayed,5,0.8,all,44221,0.8347,0.0347,0.0728,241.19
asp,aci_g0.02,delayed,5,0.8,all,44221,0.8398,0.0398,0.0803,227.69
asp,aci_g0.05,delayed,5,0.8,all,44221,0.8266,0.0266,0.0952,229.59
asp,aci_g0.1,delayed,5,0.8,all,44221,0.8172,0.0172,0.121,256.79
asp,icp,static,5,0.9,all,44221,0.8766,-0.0234,0.1197,447.44
asp,icp,static,5,0.9,clear,23683,0.978,0.078,0.1307,227.87
asp,icp,static,5,0.9,transitional,16518,0.7098,-0.1902,0.1181,816.27
asp,icp,static,5,0.9,cloudy,4020,0.9642,0.0642,0.1668,225.49
