bucket,n,PICP,width,site,method,variant,horizon_min
2024-01,4287,0.7739678096571029,180.96002832563218,asp,icp,static,5
2024-02,3844,0.8337669094693028,181.6484297938595,asp,icp,static,5
2024-03,3143,0.8654152083996182,176.94134972588637,asp,icp,static,5
2024-04,3500,0.9428571428571428,180.33767493077144,asp,icp,static,5
2024-05,3402,0.9124044679600235,179.2964163134601,asp,icp,static,5
2024-06,3191,0.9345032905045441,178.81113966966458,asp,icp,static,5
2024-07,3349,0.9352045386682591,180.25308014071513,asp,icp,static,5
2024-08,3544,0.9667042889390519,179.7025116273943,asp,icp,static,5
2024-09,3657,0.890620727372163,180.5023067399708,asp,icp,static,5
2024-10,4031,0.8640535847184322,181.25982115932732,asp,icp,static,5
2024-11,4112,0.8059338521400778,179.96824524690112,asp,icp,static,5
2024-12,4161,0.8466714732035568,180.20548716194142,asp,icp,static,5
2024-01,4287,0.8159552134359692,227.52629444372909,asp,icp_norm,static,5
2024-02,3844,0.8600416233090531,225.9174626524851,asp,icp_norm,static,5
2024-03,3143,0.8755965637925549,201.46115366379613,asp,icp_norm,static,5
2024-04,3500,0.9237142857142857,186.66867573266288,asp,icp_norm,static,5
2024-05,3402,0.8800705467372134,161.89039649031645,asp,icp_norm,static,5
2024-06,3191,0.8881228455029772,148.88331493004145,asp,icp_norm,static,5
2024-07,3349,0.9011645267243953,155.29879285815252,asp,icp_norm,static,5
2024-08,3544,0.9475169300225733,176.59743607001568,asp,icp_norm,static,5
2024-09,3657,0.8881596937380366,199.97782356088845,asp,icp_norm,static,5
2024-10,4031,0.8821632349292979,219.71019329557637,asp,icp_norm,static,5
2024-11,4112,0.8494649805447471,228.15541023230097,asp,icp_norm,static,5
2024-12,4161,0.8702235039653929,230.09633317774413,asp,icp_norm,static,5
2024-01,4287,0.827618381152321,244.76456168681287,asp,mondrian,static,5
2024-02,3844,0.8655046826222684,203.8201926532226,asp,mondrian,static,5
2024-03,3143,0.8720967228762329,188.0927138974721,asp,mondrian,static,5
2024-04,3500,0.8982857142857142,116.61255376013685,asp,mondrian,static,5
2024-05,3402,0.9218106995884774,156.97944331023942,asp,mondrian,static,5
2024-06,3191,0.9504857411469758,149.60586622814452,asp,mondrian,static,5
2024-07,3349,0.9328157659002687,134.71565865140127,asp,mondrian,static,5
2024-08,3544,0.9672686230248307,87.53932749852014,asp,mondrian,static,5
2024-09,3657,0.8949958982772764,155.2923036610362,asp,mondrian,static,5
2024-10,4031,0.8943190275365914,168.09093624437472,asp,mondrian,static,5
2024-11,4112,0.8448443579766537,224.95697281881021,asp,mondrian,static,5
2024-12,4161,0.8591684691180005,178.72794028533647,asp,mondrian,static,5
2024-01,4287,0.8996967576393748,275.07788716066636,asp,cqr,static,5
2024-02,3844,0.9006243496357961,208.7691226946145,asp,cqr,static,5
2024-03,3143,0.8883232580337257,195.75055671505876,asp,cqr,static,5
2024-04,3500,0.8951428571428571,85.77576492146933,asp,cqr,static,5
2024-05,3402,0.9038800705467372,111.3160719853582,asp,cqr,static,5
2024-06,3191,0.8940770918207458,87.71914191665545,asp,cqr,static,5
2024-07,3349,0.8934010152284264,84.05360914114823,asp,cqr,static,5
2024-08,3544,0.9204288939051919,53.32780904359753,asp,cqr,static,5
2024-09,3657,0.9103089964451736,139.08058098916808,asp,cqr,static,5
2024-10,4031,0.9141652195484992,173.18352177723258,asp,cqr,static,5
2024-11,4112,0.9061284046692607,246.2733419998496,asp,cqr,static,5
2024-12,4161,0.9045902427301129,189.39024920485832,asp,cqr,static,5
2024-01,4287,0.9036622346629345,277.98353481590686,asp,mondrian_cqr,static,5
2024-02,3844,0.899843912591051,211.0231579929424,asp,mondrian_cqr,static,5
2024-03,3143,0.8860960865415208,197.2661180000053,asp,mondrian_cqr,static,5
2024-04,3500,0.8945714285714286,86.8567950121012,asp,mondrian_cqr,static,5
2024-05,3402,0.9018224573780129,112.91461081046877,asp,mondrian_cqr,static,5
2024-06,3191,0.8959573801316202,89.22452225119417,asp,mondrian_cqr,static,5
2024-07,3349,0.8951925948044193,85.32998669620649,asp,mondrian_cqr,static,5
2024-08,3544,0.9164785553047404,53.92894919779731,asp,mondrian_cqr,static,5
2024-09,3657,0.9135903746240087,140.50467003595713,asp,mondrian_cqr,static,5
2024-10,4031,0.9136690647482014,174.90279606143787,asp,mondrian_cqr,static,5
2024-11,4112,0.9092898832684825,248.77208646602503,asp,mondrian_cqr,static,5
2024-12,4161,0.9045902427301129,191.2317556756297,asp,mondrian_cqr,static,5
2024-01,4287,0.9169582458595754,376.1026637596251,asp,aci,anticipative,5
2024-02,3844,0.9177939646201873,298.8821299088891,asp,aci,anticipative,5
2024-03,3143,0.9220489977728286,247.00280403586706,asp,aci,anticipative,5
2024-04,3500,0.9285714285714286,132.1479740300018,asp,aci,anticipative,5
2024-05,3402,0.9303350970017636,160.8108680832989,asp,aci,anticipative,5
2024-06,3191,0.9370103415857098,138.86574770675546,asp,aci,anticipative,5
2024-07,3349,0.9337115556882651,137.7227002152179,asp,aci,anticipative,5
2024-08,3544,0.9410270880361173,86.26015145598996,asp,aci,anticipative,5
2024-09,3657,0.9220672682526662,196.80837904792762,asp,aci,anticipative,5
2024-10,4031,0.9268171669560903,262.91628382341764,asp,aci,anticipative,5
