site,horizon_min,scope,kind,method_a,method_b,n,value,ci_lo,ci_hi,dm_stat,dm_p_hac_h,dm_p_hac_day,significant_95
asp,60,all,CRPS_level,icp|static,,40239,42.8765,39.6234,46.164,,,,
asp,60,all,CRPS_level,icp_norm|static,,40239,39.8926,37.2991,42.4808,,,,
asp,60,all,CRPS_level,mondrian|static,,40239,36.7995,33.7063,39.8701,,,,
asp,60,all,CRPS_level,cqr|static,,40239,30.6357,28.1354,33.1193,,,,
asp,60,all,CRPS_level,mondrian_cqr|static,,40239,30.627,28.1283,33.1113,,,,
asp,60,all,CRPS_level,cqr|rearranged,,40239,30.6165,28.1158,33.1003,,,,
asp,60,all,CRPS_level,mondrian_cqr|rearranged,,40239,30.6059,28.1071,33.0894,,,,
asp,60,all,CRPS_diff,icp,icp_norm,40239,2.984,2.2102,3.786,6.971,0.0,0.0,yes
asp,60,all,CRPS_diff,icp,mondrian,40239,6.0771,5.3036,6.8821,15.701,0.0,0.0,yes
asp,60,all,CRPS_diff,icp,cqr,40239,12.2408,11.1293,13.4144,20.561,0.0,0.0,yes
asp,60,all,CRPS_diff,icp,mondrian_cqr,40239,12.2496,11.1343,13.4282,20.535,0.0,0.0,yes
asp,60,all,CRPS_diff,icp_norm,mondrian,40239,3.0931,2.2822,3.9124,6.682,0.0,0.0,yes
asp,60,all,CRPS_diff,icp_norm,cqr,40239,9.2568,8.5828,9.9281,24.869,0.0,0.0,yes
asp,60,all,CRPS_diff,icp_norm,mondrian_cqr,40239,9.2656,8.5882,9.9379,24.803,0.0,0.0,yes
asp,60,all,CRPS_diff,mondrian,cqr,40239,6.1637,5.3634,6.988,13.577,0.0,0.0,yes
asp,60,all,CRPS_diff,mondrian,mondrian_cqr,40239,6.1725,5.3709,6.9993,13.591,0.0,0.0,yes
asp,60,all,CRPS_diff,cqr,mondrian_cqr,40239,0.0088,0.003,0.0147,2.682,0.001085,0.007313,yes
asp,60,all,CRPS_diff_rearranged,cqr|rearranged,cqr|static,40239,-0.01926,-0.035289,-0.007052,-2.232,,0.025638,yes
asp,60,all,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,40239,-0.021081,-0.037693,-0.00847,-2.355,,0.018522,yes
asp,60,clear,CRPS_level,icp|static,,22594,25.0615,23.4614,26.8447,,,,
asp,60,clear,CRPS_level,icp_norm|static,,22594,25.8036,24.3621,27.3887,,,,
asp,60,clear,CRPS_level,mondrian|static,,22594,20.9631,18.4605,23.6743,,,,
asp,60,clear,CRPS_level,cqr|static,,22594,16.029,14.2585,17.9579,,,,
asp,60,clear,CRPS_level,mondrian_cqr|static,,22594,16.0279,14.2565,17.9582,,,,
asp,60,clear,CRPS_level,cqr|rearranged,,22594,16.0278,14.2566,17.9566,,,,
asp,60,clear,CRPS_level,mondrian_cqr|rearranged,,22594,16.0264,14.2542,17.9575,,,,
asp,60,clear,CRPS_diff,icp,icp_norm,22594,-0.7421,-1.1592,-0.3054,-2.681,0.00163,0.007343,yes
asp,60,clear,CRPS_diff,icp,mondrian,22594,4.0984,3.0569,5.055,5.213,0.0,0.0,yes
asp,60,clear,CRPS_diff,icp,cqr,22594,9.0324,8.4136,9.644,22.742,0.0,0.0,yes
asp,60,clear,CRPS_diff,icp,mondrian_cqr,22594,9.0335,8.4133,9.6456,22.717,0.0,0.0,yes
asp,60,clear,CRPS_diff,icp_norm,mondrian,22594,4.8405,3.5719,5.9951,5.204,0.0,0.0,yes
asp,60,clear,CRPS_diff,icp_norm,cqr,22594,9.7745,9.1161,10.3746,24.479,0.0,0.0,yes
asp,60,clear,CRPS_diff,icp_norm,mondrian_cqr,22594,9.7756,9.1153,10.376,24.432,0.0,0.0,yes
asp,60,clear,CRPS_diff,mondrian,cqr,22594,4.9341,3.9812,5.9841,6.348,0.0,0.0,yes
asp,60,clear,CRPS_diff,mondrian,mondrian_cqr,22594,4.9351,3.9833,5.9847,6.354,0.0,0.0,yes
asp,60,clear,CRPS_diff,cqr,mondrian_cqr,22594,0.0011,-0.0009,0.0029,0.902,0.251165,0.366983,no
asp,60,clear,CRPS_diff_rearranged,cqr|rearranged,cqr|static,22594,-0.001237,-0.005644,0.003421,-0.481,,0.630572,no
asp,60,clear,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,22594,-0.001567,-0.006036,0.003131,-0.602,,0.547075,no
asp,60,cloudy,CRPS_level,icp|static,,3647,48.4778,41.8849,56.1965,,,,
asp,60,cloudy,CRPS_level,icp_norm|static,,3647,44.5139,38.9888,50.9749,,,,
asp,60,cloudy,CRPS_level,mondrian|static,,3647,46.0379,40.2242,52.8797,,,,
asp,60,cloudy,CRPS_level,cqr|static,,3647,40.6989,36.4631,45.3221,,,,
asp,60,cloudy,CRPS_level,mondrian_cqr|static,,3647,40.7012,36.4715,45.3263,,,,
asp,60,cloudy,CRPS_level,cqr|rearranged,,3647,40.5315,36.2188,45.224,,,,
asp,60,cloudy,CRPS_level,mondrian_cqr|rearranged,,3647,40.5287,36.2154,45.2278,,,,
asp,60,cloudy,CRPS_diff,icp,icp_norm,3647,3.9639,2.4583,5.6931,4.08,0.0,4.6e-05,yes
asp,60,cloudy,CRPS_diff,icp,mondrian,3647,2.4399,1.603,3.3648,4.775,0.0,2e-06,yes
asp,60,cloudy,CRPS_diff,icp,cqr,3647,7.779,4.9221,11.1866,3.736,0.0,0.00019,yes
asp,60,cloudy,CRPS_diff,icp,mondrian_cqr,3647,7.7767,4.9171,11.1809,3.735,0.0,0.000191,yes
asp,60,cloudy,CRPS_diff,icp_norm,mondrian,3647,-1.524,-2.6683,-0.4376,-2.604,0.015756,0.009256,yes
asp,60,cloudy,CRPS_diff,icp_norm,cqr,3647,3.815,1.8632,6.1033,2.878,0.000129,0.004026,yes
asp,60,cloudy,CRPS_diff,icp_norm,mondrian_cqr,3647,3.8127,1.8621,6.0952,2.877,0.000128,0.004035,yes
asp,60,cloudy,CRPS_diff,mondrian,cqr,3647,5.339,3.0386,8.073,3.163,1e-05,0.001575,yes
asp,60,cloudy,CRPS_diff,mondrian,mondrian_cqr,3647,5.3367,3.0395,8.0709,3.162,1.1e-05,0.001578,yes
asp,60,cloudy,CRPS_diff,cqr,mondrian_cqr,3647,-0.0023,-0.0122,0.0076,-0.422,0.61195,0.672929,no
asp,60,cloudy,CRPS_diff_rearranged,cqr|rearranged,cqr|static,3647,-0.167417,-0.323285,-0.035659,-1.899,,0.057679,yes
asp,60,cloudy,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,3647,-0.172495,-0.333446,-0.03557,-1.881,,0.060056,yes
asp,60,transitional,CRPS_level,icp|static,,13998,70.1723,65.3954,74.9861,,,,
asp,60,transitional,CRPS_level,icp_norm|static,,13998,61.4294,57.7712,65.0773,,,,
asp,60,transitional,CRPS_level,mondrian|static,,13998,59.9538,56.8829,63.1026,,,,
asp,60,transitional,CRPS_level,cqr|static,,13998,51.5905,49.0966,54.0689,,,,
asp,60,transitional,CRPS_level,mondrian_cqr|static,,13998,51.5664,49.078,54.035,,,,
asp,60,transitional,CRPS_level,cqr|rearranged,,13998,51.5807,49.0827,54.0617,,,,
asp,60,transitional,CRPS_level,mondrian_cqr|rearranged,,13998,51.5532,49.0658,54.0231,,,,
asp,60,transitional,CRPS_diff,icp,icp_norm,13998,8.7429,7.3601,10.1205,9.127,0.0,0.0,yes
asp,60,transitional,CRPS_diff,icp,mondrian,13998,10.2185,8.4053,11.9953,9.034,0.0,0.0,yes
asp,60,transitional,CRPS_diff,icp,cqr,13998,18.5819,16.0893,21.0828,12.016,0.0,0.0,yes
asp,60,transitional,CRPS_diff,icp,mondrian_cqr,13998,18.606,16.1076,21.1157,12.024,0.0,0.0,yes
asp,60,transitional,CRPS_diff,icp_norm,mondrian,13998,1.4756,0.5047,2.4405,2.872,0.000935,0.004083,yes
asp,60,transitional,CRPS_diff,icp_norm,cqr,13998,9.839,8.4501,11.2327,12.721,0.0,0.0,yes
asp,60,transitional,CRPS_diff,icp_norm,mondrian_cqr,13998,9.8631,8.4651,11.2682,12.679,0.0,0.0,yes
asp,60,transitional,CRPS_diff,mondrian,cqr,13998,8.3634,7.3092,9.4895,13.019,0.0,0.0,yes
asp,60,transitional,CRPS_diff,mondrian,mondrian_cqr,13998,8.3875,7.328,9.5191,13.059,0.0,0.0,yes
asp,60,transitional,CRPS_diff,cqr,mondrian_cqr,13998,0.0241,0.0075,0.041,2.159,0.002069,0.030874,yes
asp,60,transitional,CRPS_diff_rearranged,cqr|rearranged,cqr|static,13998,-0.009748,-0.014158,-0.005747,-4.262,,2e-05,yes
asp,60,transitional,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,13998,-0.013129,-0.017293,-0.009721,-5.513,,0.0,yes
asp,5,all,CRPS_level,icp|static,,44221,24.671,22.5516,26.891,,,,
asp,5,all,CRPS_level,icp_norm|static,,44221,23.2567,21.4383,25.1335,,,,
asp,5,all,CRPS_level,mondrian|static,,44221,20.016,18.214,21.855,,,,
asp,5,all,CRPS_level,cqr|static,,44221,15.8733,14.4259,17.34,,,,
asp,5,all,CRPS_level,mondrian_cqr|static,,44221,15.8649,14.4222,17.3295,,,,
asp,5,all,CRPS_level,cqr|rearranged,,44221,15.8596,14.4117,17.3279,,,,
asp,5,all,CRPS_level,mondrian_cqr|rearranged,,44221,15.8513,14.4086,17.3172,,,,
asp,5,all,CRPS_diff,icp,icp_norm,44221,1.4143,1.0528,1.7891,6.6,0.0,0.0,yes
asp,5,all,CRPS_diff,icp,mondrian,44221,4.655,4.1419,5.1898,16.034,0.0,0.0,yes
asp,5,all,CRPS_diff,icp,cqr,44221,8.7978,7.9778,9.6602,18.237,0.0,0.0,yes
asp,5,all,CRPS_diff,icp,mondrian_cqr,44221,8.8061,7.9821,9.6727,18.165,0.0,0.0,yes
asp,5,all,CRPS_diff,icp_norm,mondrian,44221,3.2407,2.8806,3.615,16.381,0.0,0.0,yes
asp,5,all,CRPS_diff,icp_norm,cqr,44221,7.3834,6.8302,7.9667,23.39,0.0,0.0,yes
asp,5,all,CRPS_diff,icp_norm,mondrian_cqr,44221,7.3918,6.8346,7.9797,23.224,0.0,0.0,yes
asp,5,all,CRPS_diff,mondrian,cqr,44221,4.1427,3.7128,4.5857,16.168,0.0,0.0,yes
asp,5,all,CRPS_diff,mondrian,mondrian_cqr,44221,4.1511,3.7199,4.5979,16.1,0.0,0.0,yes
asp,5,all,CRPS_diff,cqr,mondrian_cqr,44221,0.0084,0.002,0.015,2.241,2.4e-05,0.025036,yes
asp,5,all,CRPS_diff_rearranged,cqr|rearranged,cqr|static,44221,-0.013699,-0.015223,-0.01227,-15.98,,0.0,yes
asp,5,all,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,44221,-0.013555,-0.015029,-0.012173,-16.372,,0.0,yes
asp,5,clear,CRPS_level,icp|static,,23683,10.8338,10.3255,11.3851,,,,
asp,5,clear,CRPS_level,icp_norm|static,,23683,11.5724,11.0892,12.0865,,,,
asp,5,clear,CRPS_level,mondrian|static,,23683,7.9598,7.0778,8.9242,,,,
asp,5,clear,CRPS_level,cqr|static,,23683,5.5807,5.0084,6.1966,,,,
asp,5,clear,CRPS_level,mondrian_cqr|static,,23683,5.5801,5.0079,6.1972,,,,
asp,5,clear,CRPS_level,cqr|rearranged,,23683,5.5691,4.9987,6.1858,,,,
asp,5,clear,CRPS_level,mondrian_cqr|rearranged,,23683,5.5682,4.9974,6.1859,,,,
asp,5,clear,CRPS_diff,icp,icp_norm,23683,-0.7386,-0.8894,-0.5852,-7.135,0.0,0.0,yes
asp,5,clear,CRPS_diff,icp,mondrian,23683,2.874,2.4348,3.2723,9.212,0.0,0.0,yes
asp,5,clear,CRPS_diff,icp,cqr,23683,5.2531,5.0836,5.4171,52.62,0.0,0.0,yes
asp,5,clear,CRPS_diff,icp,mondrian_cqr,23683,5.2537,5.084,5.418,52.47,0.0,0.0,yes
asp,5,clear,CRPS_diff,icp_norm,mondrian,23683,3.6126,3.1024,4.0707,10.321,0.0,0.0,yes
asp,5,clear,CRPS_diff,icp_norm,cqr,23683,5.9917,5.7757,6.2059,45.522,0.0,0.0,yes
asp,5,clear,CRPS_diff,icp_norm,mondrian_cqr,23683,5.9923,5.7751,6.2066,45.403,0.0,0.0,yes
asp,5,clear,CRPS_diff,mondrian,cqr,23683,2.3791,2.0203,2.7745,8.084,0.0,0.0,yes
asp,5,clear,CRPS_diff,mondrian,mondrian_cqr,23683,2.3797,2.0218,2.7747,8.098,0.0,0.0,yes
asp,5,clear,CRPS_diff,cqr,mondrian_cqr,23683,0.0006,-0.0005,0.0017,0.931,0.101886,0.351759,no
asp,5,clear,CRPS_diff_rearranged,cqr|rearranged,cqr|static,23683,-0.011649,-0.013228,-0.010046,-10.71,,0.0,yes
asp,5,clear,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,23683,-0.011843,-0.013401,-0.010257,-10.951,,0.0,yes
asp,5,cloudy,CRPS_level,icp|static,,4020,13.0152,11.9097,14.3237,,,,
asp,5,cloudy,CRPS_level,icp_norm|static,,4020,12.8941,11.8833,14.0135,,,,
