site,horizon_min,protocol,policy,theta,lam,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,soc_min,soc_max,selection_objective
asp,5,R0_test_argmin_coarse,cqr,0.8,,13.66,137.17,0.9247,0.7943,0.1,1.0,
asp,5,R0_test_argmin_fine,cqr,0.8,,13.66,137.17,0.9247,0.7943,0.1,1.0,
asp,5,A,cqr,0.825,0.0,14.1,132.13,0.9222,0.8018,0.1,1.0,6.27
asp,5,A_swapped,cqr,0.775,0.0,14.13,140.26,0.9221,0.7897,0.1,1.0,12.94
asp,5,A_meancvar_lam0.25,cqr,0.825,0.25,14.1,132.13,0.9222,0.8018,0.1,1.0,20.15
asp,5,A_meancvar_lam0.5,cqr,0.825,0.5,14.1,132.13,0.9222,0.8018,0.1,1.0,34.03
asp,5,A_meancvar_lam0.75,cqr,0.825,0.75,14.1,132.13,0.9222,0.8018,0.1,1.0,47.92
asp,5,A_meancvar_lam1.0,cqr,0.825,1.0,14.1,132.13,0.9222,0.8018,0.1,1.0,61.8
asp,5,B_critical_fractile,cqr,0.909,,35.26,194.06,0.8056,0.709,0.1,1.0,
asp,5,anchor,deterministic,,,181.33,666.81,0.0,0.0,0.1,0.397,
asp,5,R0_test_argmin_coarse,icp,0.9,,18.26,192.92,0.8993,0.7107,0.1,0.882,
asp,5,R0_test_argmin_fine,icp,0.925,,11.79,121.12,0.935,0.8184,0.1,1.0,
asp,5,A,icp,0.9,0.0,18.26,192.92,0.8993,0.7107,0.1,0.882,3.9
asp,5,A_swapped,icp,0.925,0.0,11.79,121.12,0.935,0.8184,0.1,1.0,13.5
asp,5,A_meancvar_lam0.25,icp,0.9,0.25,18.26,192.92,0.8993,0.7107,0.1,0.882,14.52
asp,5,A_meancvar_lam0.5,icp,0.9,0.5,18.26,192.92,0.8993,0.7107,0.1,0.882,25.14
asp,5,A_meancvar_lam0.75,icp,0.9,0.75,18.26,192.92,0.8993,0.7107,0.1,0.882,35.76
asp,5,A_meancvar_lam1.0,icp,0.9,1.0,18.26,192.92,0.8993,0.7107,0.1,0.882,46.38
asp,5,B_critical_fractile,icp,0.909,,13.66,159.59,0.9247,0.7607,0.1,1.0,
asp,5,R0_test_argmin_coarse,mondrian,0.8,,15.83,190.38,0.9127,0.7145,0.1,0.92,
asp,5,R0_test_argmin_fine,mondrian,0.825,,11.87,158.83,0.9345,0.7618,0.1,1.0,
asp,5,A,mondrian,0.825,0.0,11.87,158.83,0.9345,0.7618,0.1,1.0,4.68
asp,5,A_swapped,mondrian,0.85,0.0,11.97,138.25,0.934,0.7927,0.1,1.0,10.77
asp,5,A_meancvar_lam0.25,mondrian,0.85,0.25,11.97,138.25,0.934,0.7927,0.1,1.0,19.52
asp,5,A_meancvar_lam0.5,mondrian,0.85,0.5,11.97,138.25,0.934,0.7927,0.1,1.0,33.87
asp,5,A_meancvar_lam0.75,mondrian,0.85,0.75,11.97,138.25,0.934,0.7927,0.1,1.0,48.23
asp,5,A_meancvar_lam1.0,mondrian,0.85,1.0,11.97,138.25,0.934,0.7927,0.1,1.0,62.58
asp,5,B_critical_fractile,mondrian,0.909,,44.48,204.29,0.7547,0.6936,0.1,1.0,
asp,5,R0_test_argmin_coarse,mondrian_cqr,0.8,,13.66,137.23,0.9247,0.7942,0.1,1.0,
asp,5,R0_test_argmin_fine,mondrian_cqr,0.8,,13.66,137.23,0.9247,0.7942,0.1,1.0,
asp,5,A,mondrian_cqr,0.825,0.0,14.13,132.11,0.9221,0.8019,0.1,1.0,6.25
asp,5,A_swapped,mondrian_cqr,0.775,0.0,14.07,139.96,0.9224,0.7901,0.1,1.0,12.92
asp,5,A_meancvar_lam0.25,mondrian_cqr,0.825,0.25,14.13,132.11,0.9221,0.8019,0.1,1.0,20.17
asp,5,A_meancvar_lam0.5,mondrian_cqr,0.825,0.5,14.13,132.11,0.9221,0.8019,0.1,1.0,34.09
asp,5,A_meancvar_lam0.75,mondrian_cqr,0.825,0.75,14.13,132.11,0.9221,0.8019,0.1,1.0,48.01
asp,5,A_meancvar_lam1.0,mondrian_cqr,0.825,1.0,14.13,132.11,0.9221,0.8019,0.1,1.0,61.93
asp,5,B_critical_fractile,mondrian_cqr,0.909,,36.52,197.82,0.7986,0.7033,0.1,1.0,
asp,5,anchor,oracle,,,0.0,0.0,1.0,1.0,0.1,0.1,
asp,15,R0_test_argmin_coarse,cqr,0.8,,47.95,291.53,0.8611,0.8063,0.1,1.0,
asp,15,R0_test_argmin_fine,cqr,0.775,,45.89,297.39,0.867,0.8024,0.1,1.0,
asp,15,A,cqr,0.775,0.0,45.89,297.39,0.867,0.8024,0.1,1.0,28.23
asp,15,A_swapped,cqr,0.75,0.0,46.44,312.32,0.8655,0.7925,0.1,1.0,32.68
asp,15,A_meancvar_lam0.25,cqr,0.775,0.25,45.89,297.39,0.867,0.8024,0.1,1.0,73.7
asp,15,A_meancvar_lam0.5,cqr,0.8,0.5,47.95,291.53,0.8611,0.8063,0.1,1.0,119.03
asp,15,A_meancvar_lam0.75,cqr,0.8,0.75,47.95,291.53,0.8611,0.8063,0.1,1.0,164.18
asp,15,A_meancvar_lam1.0,cqr,0.8,1.0,47.95,291.53,0.8611,0.8063,0.1,1.0,209.33
asp,15,B_critical_fractile,cqr,0.909,,98.92,392.09,0.7134,0.7395,0.1,1.0,
asp,15,anchor,deterministic,,,345.19,1505.33,0.0,0.0,0.1,0.738,
asp,15,R0_test_argmin_coarse,icp,0.9,,50.34,407.12,0.8542,0.7295,0.1,1.0,
asp,15,R0_test_argmin_fine,icp,0.9,,50.34,407.12,0.8542,0.7295,0.1,1.0,
asp,15,A,icp,0.875,0.0,88.49,621.88,0.7436,0.5869,0.1,1.0,39.98
asp,15,A_swapped,icp,0.925,0.0,69.23,262.23,0.7994,0.8258,0.1,1.0,42.52
asp,15,A_meancvar_lam0.25,icp,0.9,0.25,50.34,407.12,0.8542,0.7295,0.1,1.0,82.41
asp,15,A_meancvar_lam0.5,icp,0.9,0.5,50.34,407.12,0.8542,0.7295,0.1,1.0,122.09
asp,15,A_meancvar_lam0.75,icp,0.9,0.75,50.34,407.12,0.8542,0.7295,0.1,1.0,161.76
asp,15,A_meancvar_lam1.0,icp,0.9,1.0,50.34,407.12,0.8542,0.7295,0.1,1.0,201.44
asp,15,B_critical_fractile,icp,0.909,,49.08,332.26,0.8578,0.7793,0.1,1.0,
asp,15,R0_test_argmin_coarse,mondrian,0.8,,44.36,420.33,0.8715,0.7208,0.1,1.0,
asp,15,R0_test_argmin_fine,mondrian,0.825,,39.34,328.82,0.886,0.7816,0.1,1.0,
asp,15,A,mondrian,0.825,0.0,39.34,328.82,0.886,0.7816,0.1,1.0,26.06
asp,15,A_swapped,mondrian,0.825,0.0,39.34,328.82,0.886,0.7816,0.1,1.0,34.22
asp,15,A_meancvar_lam0.25,mondrian,0.825,0.25,39.34,328.82,0.886,0.7816,0.1,1.0,72.52
asp,15,A_meancvar_lam0.5,mondrian,0.825,0.5,39.34,328.82,0.886,0.7816,0.1,1.0,118.98
asp,15,A_meancvar_lam0.75,mondrian,0.825,0.75,39.34,328.82,0.886,0.7816,0.1,1.0,165.43
asp,15,A_meancvar_lam1.0,mondrian,0.825,1.0,39.34,328.82,0.886,0.7816,0.1,1.0,211.89
asp,15,B_critical_fractile,mondrian,0.909,,94.08,341.56,0.7274,0.7731,0.1,1.0,
asp,15,R0_test_argmin_coarse,mondrian_cqr,0.8,,48.09,291.51,0.8607,0.8063,0.1,1.0,
asp,15,R0_test_argmin_fine,mondrian_cqr,0.775,,45.98,297.16,0.8668,0.8026,0.1,1.0,
asp,15,A,mondrian_cqr,0.775,0.0,45.98,297.16,0.8668,0.8026,0.1,1.0,28.65
asp,15,A_swapped,mondrian_cqr,0.75,0.0,46.32,311.68,0.8658,0.7929,0.1,1.0,32.64
asp,15,A_meancvar_lam0.25,mondrian_cqr,0.775,0.25,45.98,297.16,0.8668,0.8026,0.1,1.0,73.77
asp,15,A_meancvar_lam0.5,mondrian_cqr,0.775,0.5,45.98,297.16,0.8668,0.8026,0.1,1.0,118.88
asp,15,A_meancvar_lam0.75,mondrian_cqr,0.775,0.75,45.98,297.16,0.8668,0.8026,0.1,1.0,164.0
asp,15,A_meancvar_lam1.0,mondrian_cqr,0.775,1.0,45.98,297.16,0.8668,0.8026,0.1,1.0,209.12
asp,15,B_critical_fractile,mondrian_cqr,0.909,,98.9,392.25,0.7135,0.7394,0.1,1.0,
asp,15,anchor,oracle,,,0.0,0.0,1.0,1.0,0.1,0.1,
asp,30,R0_test_argmin_coarse,cqr,0.8,,76.44,524.85,0.8316,0.7758,0.1,1.0,
asp,30,R0_test_argmin_fine,cqr,0.8,,76.44,524.85,0.8316,0.7758,0.1,1.0,
asp,30,A,cqr,0.825,0.0,81.44,498.04,0.8206,0.7873,0.1,1.0,51.15
asp,30,A_swapped,cqr,0.75,0.0,80.11,583.33,0.8235,0.7509,0.1,1.0,62.9
asp,30,A_meancvar_lam0.25,cqr,0.825,0.25,81.44,498.04,0.8206,0.7873,0.1,1.0,132.32
asp,30,A_meancvar_lam0.5,cqr,0.825,0.5,81.44,498.04,0.8206,0.7873,0.1,1.0,213.49
asp,30,A_meancvar_lam0.75,cqr,0.825,0.75,81.44,498.04,0.8206,0.7873,0.1,1.0,294.67
asp,30,A_meancvar_lam1.0,cqr,0.825,1.0,81.44,498.04,0.8206,0.7873,0.1,1.0,375.84
asp,30,B_critical_fractile,cqr,0.909,,132.38,527.16,0.7084,0.7748,0.1,1.0,
asp,30,anchor,deterministic,,,453.97,2341.32,0.0,0.0,0.1,0.868,
asp,30,R0_test_argmin_coarse,icp,0.9,,103.86,821.3,0.7712,0.6492,0.1,1.0,
asp,30,R0_test_argmin_fine,icp,0.9,,103.86,821.3,0.7712,0.6492,0.1,1.0,
asp,30,A,icp,0.875,0.0,148.78,1168.49,0.6723,0.5009,0.1,1.0,82.78
asp,30,A_swapped,icp,0.925,0.0,115.28,488.97,0.7461,0.7912,0.1,1.0,77.15
asp,30,A_meancvar_lam0.25,icp,0.9,0.25,103.86,821.3,0.7712,0.6492,0.1,1.0,201.07
asp,30,A_meancvar_lam0.5,icp,0.925,0.5,115.28,488.97,0.7461,0.7912,0.1,1.0,259.5
asp,30,A_meancvar_lam0.75,icp,0.925,0.75,115.28,488.97,0.7461,0.7912,0.1,1.0,317.29
asp,30,A_meancvar_lam1.0,icp,0.925,1.0,115.28,488.97,0.7461,0.7912,0.1,1.0,375.08
asp,30,B_critical_fractile,icp,0.909,,97.99,687.44,0.7842,0.7064,0.1,1.0,
asp,30,R0_test_argmin_coarse,mondrian,0.8,,92.15,849.72,0.797,0.6371,0.1,1.0,
asp,30,R0_test_argmin_fine,mondrian,0.825,,79.81,723.85,0.8242,0.6908,0.1,1.0,
asp,30,A,mondrian,0.85,0.0,80.89,621.03,0.8218,0.7348,0.1,1.0,54.45
asp,30,A_swapped,mondrian,0.825,0.0,79.81,723.85,0.8242,0.6908,0.1,1.0,64.05
asp,30,A_meancvar_lam0.25,mondrian,0.875,0.25,91.97,535.06,0.7974,0.7715,0.1,1.0,136.6
asp,30,A_meancvar_lam0.5,mondrian,0.875,0.5,91.97,535.06,0.7974,0.7715,0.1,1.0,211.74
asp,30,A_meancvar_lam0.75,mondrian,0.875,0.75,91.97,535.06,0.7974,0.7715,0.1,1.0,286.88
asp,30,A_meancvar_lam1.0,mondrian,0.875,1.0,91.97,535.06,0.7974,0.7715,0.1,1.0,362.02
asp,30,B_critical_fractile,mondrian,0.909,,126.05,507.45,0.7223,0.7833,0.1,1.0,
asp,30,R0_test_argmin_coarse,mondrian_cqr,0.8,,76.46,526.34,0.8316,0.7752,0.1,1.0,
asp,30,R0_test_argmin_fine,mondrian_cqr,0.8,,76.46,526.34,0.8316,0.7752,0.1,1.0,
asp,30,A,mondrian_cqr,0.825,0.0,80.99,498.39,0.8216,0.7871,0.1,1.0,51.47
asp,30,A_swapped,mondrian_cqr,0.75,0.0,80.47,585.76,0.8227,0.7498,0.1,1.0,62.88
asp,30,A_meancvar_lam0.25,mondrian_cqr,0.825,0.25,80.99,498.39,0.8216,0.7871,0.1,1.0,132.75
asp,30,A_meancvar_lam0.5,mondrian_cqr,0.825,0.5,80.99,498.39,0.8216,0.7871,0.1,1.0,214.02
asp,30,A_meancvar_lam0.75,mondrian_cqr,0.825,0.75,80.99,498.39,0.8216,0.7871,0.1,1.0,295.3
asp,30,A_meancvar_lam1.0,mondrian_cqr,0.825,1.0,80.99,498.39,0.8216,0.7871,0.1,1.0,376.58
asp,30,B_critical_fractile,mondrian_cqr,0.909,,133.14,528.62,0.7067,0.7742,0.1,1.0,
asp,30,anchor,oracle,,,0.0,0.0,1.0,1.0,0.1,0.1,
asp,60,R0_test_argmin_coarse,cqr,0.8,,143.26,1035.59,0.7457,0.6864,0.1,1.0,
asp,60,R0_test_argmin_fine,cqr,0.825,,140.09,976.89,0.7513,0.7042,0.1,1.0,
asp,60,A,cqr,0.825,0.0,140.09,976.89,0.7513,0.7042,0.1,1.0,98.7
asp,60,A_swapped,cqr,0.8,0.0,143.26,1035.59,0.7457,0.6864,0.1,1.0,108.42
asp,60,A_meancvar_lam0.25,cqr,0.875,0.25,148.59,813.21,0.7362,0.7537,0.1,1.0,250.11
asp,60,A_meancvar_lam0.5,cqr,0.875,0.5,148.59,813.21,0.7362,0.7537,0.1,1.0,396.86
asp,60,A_meancvar_lam0.75,cqr,0.9,0.75,162.15,781.88,0.7121,0.7632,0.1,1.0,540.72
asp,60,A_meancvar_lam1.0,cqr,0.9,1.0,162.15,781.88,0.7121,0.7632,0.1,1.0,682.42
asp,60,B_critical_fractile,cqr,0.909,,169.03,769.87,0.6999,0.7668,0.1,1.0,
asp,60,anchor,deterministic,,,563.28,3302.01,0.0,0.0,0.1,1.0,
asp,60,R0_test_argmin_coarse,icp,0.9,,200.12,1577.76,0.6447,0.5222,0.1,1.0,
asp,60,R0_test_argmin_fine,icp,0.925,,196.97,1114.07,0.6503,0.6626,0.1,1.0,
asp,60,A,icp,0.875,0.0,247.5,1986.46,0.5606,0.3984,0.1,1.0,161.69
asp,60,A_swapped,icp,0.925,0.0,196.97,1114.07,0.6503,0.6626,0.1,1.0,131.87
asp,60,A_meancvar_lam0.25,icp,0.925,0.25,196.97,1114.07,0.6503,0.6626,0.1,1.0,360.63
asp,60,A_meancvar_lam0.5,icp,0.95,0.5,267.98,778.62,0.5243,0.7642,0.1,1.0,455.74
asp,60,A_meancvar_lam0.75,icp,0.95,0.75,267.98,778.62,0.5243,0.7642,0.1,1.0,545.05
asp,60,A_meancvar_lam1.0,icp,0.95,1.0,267.98,778.62,0.5243,0.7642,0.1,1.0,634.36
asp,60,B_critical_fractile,icp,0.909,,191.91,1418.42,0.6593,0.5704,0.1,1.0,
asp,60,R0_test_argmin_coarse,mondrian,0.9,,154.03,936.7,0.7266,0.7163,0.1,1.0,
asp,60,R0_test_argmin_fine,mondrian,0.875,,146.9,1112.51,0.7392,0.6631,0.1,1.0,
asp,60,A,mondrian,0.875,0.0,146.9,1112.51,0.7392,0.6631,0.1,1.0,109.44
asp,60,A_swapped,mondrian,0.85,0.0,150.44,1274.55,0.7329,0.614,0.1,1.0,103.26
asp,60,A_meancvar_lam0.25,mondrian,0.925,0.25,176.87,827.15,0.686,0.7495,0.1,1.0,236.37
asp,60,A_meancvar_lam0.5,mondrian,0.925,0.5,176.87,827.15,0.686,0.7495,0.1,1.0,352.43
asp,60,A_meancvar_lam0.75,mondrian,0.925,0.75,176.87,827.15,0.686,0.7495,0.1,1.0,468.49
asp,60,A_meancvar_lam1.0,mondrian,0.925,1.0,176.87,827.15,0.686,0.7495,0.1,1.0,584.55
asp,60,B_critical_fractile,mondrian,0.909,,160.03,887.38,0.7159,0.7313,0.1,1.0,
asp,60,R0_test_argmin_coarse,mondrian_cqr,0.8,,143.15,1034.91,0.7459,0.6866,0.1,1.0,
asp,60,R0_test_argmin_fine,mondrian_cqr,0.825,,140.15,975.36,0.7512,0.7046,0.1,1.0,
asp,60,A,mondrian_cqr,0.825,0.0,140.15,975.36,0.7512,0.7046,0.1,1.0,98.88
asp,60,A_swapped,mondrian_cqr,0.8,0.0,143.15,1034.91,0.7459,0.6866,0.1,1.0,108.42
asp,60,A_meancvar_lam0.25,mondrian_cqr,0.875,0.25,148.32,812.7,0.7367,0.7539,0.1,1.0,250.4
asp,60,A_meancvar_lam0.5,mondrian_cqr,0.875,0.5,148.32,812.7,0.7367,0.7539,0.1,1.0,397.03
asp,60,A_meancvar_lam0.75,mondrian_cqr,0.875,0.75,148.32,812.7,0.7367,0.7539,0.1,1.0,543.67
asp,60,A_meancvar_lam1.0,mondrian_cqr,0.9,1.0,162.5,782.39,0.7115,0.7631,0.1,1.0,687.69
asp,60,B_critical_fractile,mondrian_cqr,0.909,,170.63,771.94,0.6971,0.7662,0.1,1.0,
asp,60,anchor,oracle,,,0.0,0.0,1.0,1.0,0.1,0.1,
