site,model,horizon_min,scope,n,MAE,RMSE,nRMSE,R2,skill_vs_ref,regime_basis
asp,gbm,5,all,44221,37.5758,84.1367,0.1424,0.9348,0.0935,causal_D012
asp,gbm,5,clear,23683,11.3851,36.6902,0.0498,0.9805,0.0515,causal_D012
asp,gbm,5,transitional,16518,78.6511,128.6466,0.2673,0.8416,0.0994,causal_D012
asp,gbm,5,cloudy,4020,23.0961,44.0102,0.2395,0.9005,0.0422,causal_D012
asp,gbm,15,all,43497,57.0783,110.671,0.1855,0.8868,0.1471,causal_D012
asp,gbm,15,clear,23645,20.165,54.9277,0.0754,0.9597,0.0781,causal_D012
asp,gbm,15,transitional,15873,112.5417,163.5441,0.3278,0.7401,0.1644,causal_D012
asp,gbm,15,cloudy,3979,55.1797,96.256,0.4781,0.6826,0.0435,causal_D012
asp,gbm,30,all,42411,66.9036,124.0915,0.2055,0.8578,0.1522,causal_D012
asp,gbm,30,clear,23518,25.3748,65.2492,0.0906,0.9489,0.0973,causal_D012
asp,gbm,30,transitional,15010,128.3674,180.9043,0.347,0.6721,0.1716,causal_D012
asp,gbm,30,cloudy,3883,80.8372,126.0794,0.5739,0.5683,0.0608,causal_D012
asp,gbm,60,all,40239,77.4122,138.3985,0.2252,0.8272,0.1612,causal_D012
asp,gbm,60,clear,22594,32.6615,80.5349,0.1121,0.9288,0.1083,causal_D012
asp,gbm,60,transitional,13998,142.535,196.2855,0.3616,0.6225,0.1828,causal_D012
asp,gbm,60,cloudy,3647,104.6972,152.5646,0.617,0.4829,0.0951,causal_D012
