site,horizon_min,batt,E_max,P_max,policy,theta,protocol,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,soc_min,soc_max
asp,5,small,250.0,250.0,cqr,0.75,A,36.78,242.69,0.8038,0.644,0.1,1.0
asp,5,default,600.0,400.0,cqr,0.825,A,14.1,132.13,0.9222,0.8018,0.1,1.0
asp,5,large,1500.0,600.0,cqr,0.925,A,2.85,46.23,0.9843,0.9307,0.1,1.0
asp,5,small,250.0,250.0,deterministic,,A,187.39,681.74,0.0,0.0,0.1,0.836
asp,5,default,600.0,400.0,deterministic,,A,181.33,666.81,0.0,0.0,0.1,0.397
asp,5,large,1500.0,600.0,deterministic,,A,181.17,666.72,0.0,0.0,0.1,0.219
asp,5,small,250.0,250.0,icp,0.875,A,50.37,332.89,0.7312,0.5117,0.1,1.0
asp,5,default,600.0,400.0,icp,0.9,A,18.26,192.92,0.8993,0.7107,0.1,0.882
asp,5,large,1500.0,600.0,icp,0.95,A,2.22,40.49,0.9878,0.9393,0.1,0.95
asp,5,small,250.0,250.0,mondrian,0.775,A,37.51,278.2,0.7998,0.5919,0.1,1.0
asp,5,default,600.0,400.0,mondrian,0.825,A,11.87,158.83,0.9345,0.7618,0.1,1.0
asp,5,large,1500.0,600.0,mondrian,0.9,A,3.56,67.57,0.9804,0.8987,0.1,0.887
asp,5,small,250.0,250.0,mondrian_cqr,0.75,A,36.85,242.74,0.8033,0.6439,0.1,1.0
asp,5,default,600.0,400.0,mondrian_cqr,0.825,A,14.13,132.11,0.9221,0.8019,0.1,1.0
asp,5,large,1500.0,600.0,mondrian_cqr,0.925,A,2.78,46.01,0.9847,0.931,0.1,1.0
asp,5,small,250.0,250.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
asp,5,default,600.0,400.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
asp,5,large,1500.0,600.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
asp,15,small,250.0,250.0,cqr,0.75,A,95.97,441.73,0.7342,0.7132,0.1,1.0
asp,15,default,600.0,400.0,cqr,0.775,A,45.89,297.39,0.867,0.8024,0.1,1.0
asp,15,large,1500.0,600.0,cqr,0.9,A,13.3,146.36,0.9613,0.902,0.1,1.0
asp,15,small,250.0,250.0,deterministic,,A,361.03,1540.33,0.0,0.0,0.1,1.0
asp,15,default,600.0,400.0,deterministic,,A,345.19,1505.33,0.0,0.0,0.1,0.738
