site,horizon_min,policy,protocol,protocol_label,theta,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,vc_mean_ci_lo,vc_mean_ci_hi,vc_cvar_ci_lo,vc_cvar_ci_hi,cvar_ci_lo,cvar_ci_hi
asp,5,cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,13.66,137.17,0.9247,0.7943,0.9023,0.9442,0.7114,0.8662,88.2408,194.0565
asp,5,cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.8,13.66,137.17,0.9247,0.7943,,,,,,
asp,5,cqr,A,A: theta selected on 2023-H2 (mean cost),0.825,14.1,132.13,0.9222,0.8018,0.9005,0.9411,0.7264,0.8661,88.9526,184.3697
asp,5,cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.775,14.13,140.26,0.9221,0.7897,,,,,,
asp,5,cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.825,14.1,132.13,0.9222,0.8018,0.9005,0.9411,0.7264,0.8661,88.9526,184.3697
asp,5,cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,35.26,194.06,0.8056,0.709,0.7748,0.8341,0.6673,0.7485,168.6658,222.7605
asp,5,icp,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.9,18.26,192.92,0.8993,0.7107,0.8703,0.9245,0.6106,0.7945,134.3452,263.4777
asp,5,icp,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.925,11.79,121.12,0.935,0.8184,,,,,,
asp,5,icp,A,A: theta selected on 2023-H2 (mean cost),0.9,18.26,192.92,0.8993,0.7107,0.8703,0.9245,0.6106,0.7945,134.3452,263.4777
asp,5,icp,A_swapped,A-swapped: theta selected on 2023-H1,0.925,11.79,121.12,0.935,0.8184,,,,,,
asp,5,icp,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.9,18.26,192.92,0.8993,0.7107,0.8703,0.9245,0.6106,0.7945,134.3452,263.4777
asp,5,icp,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,13.66,159.59,0.9247,0.7607,0.899,0.9466,0.6641,0.8446,102.2739,226.7665
