site,horizon_min,ratio,c_u,c_o,policy,protocol,theta,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar
asp,5,3.0,0.8999999999999999,0.3,cqr,A,0.775,4.93,49.95,0.9095,0.7503
asp,5,3.0,0.8999999999999999,0.3,cqr,B,0.75,5.12,48.0,0.906,0.7601
asp,5,5.0,1.5,0.3,cqr,A,0.825,9.2,85.14,0.8986,0.7446
asp,5,5.0,1.5,0.3,cqr,B,0.8333,10.18,91.61,0.8877,0.7252
asp,5,10.0,3.0,0.3,cqr,A,0.825,14.1,132.13,0.9222,0.8018
asp,5,10.0,3.0,0.3,cqr,B,0.9091,35.27,194.07,0.8055,0.709
asp,5,19.0,5.7,0.3,cqr,A,0.85,24.1,213.57,0.9301,0.8314
asp,5,19.0,5.7,0.3,cqr,B,0.95,72.63,314.25,0.7892,0.752
asp,5,3.0,0.8999999999999999,0.3,deterministic,-,,54.42,200.05,0.0,0.0
asp,5,5.0,1.5,0.3,deterministic,-,,90.68,333.41,0.0,0.0
asp,5,10.0,3.0,0.3,deterministic,-,,181.33,666.81,0.0,0.0
asp,5,19.0,5.7,0.3,deterministic,-,,344.51,1266.93,0.0,0.0
asp,5,3.0,0.8999999999999999,0.3,icp,A,0.9,5.54,58.14,0.8982,0.7094
asp,5,3.0,0.8999999999999999,0.3,icp,B,0.75,37.97,164.07,0.3023,0.1799
asp,5,5.0,1.5,0.3,icp,A,0.9,9.18,96.65,0.8988,0.7101
asp,5,5.0,1.5,0.3,icp,B,0.8333,40.58,214.74,0.5525,0.3559
asp,5,10.0,3.0,0.3,icp,A,0.9,18.26,192.92,0.8993,0.7107
asp,5,10.0,3.0,0.3,icp,B,0.9091,13.62,159.31,0.9249,0.7611
asp,5,19.0,5.7,0.3,icp,A,0.9,34.61,366.32,0.8995,0.7109
asp,5,19.0,5.7,0.3,icp,B,0.95,66.13,229.48,0.8081,0.8189
asp,5,3.0,0.8999999999999999,0.3,mondrian,A,0.825,3.83,49.1,0.9296,0.7546
asp,5,3.0,0.8999999999999999,0.3,mondrian,B,0.75,9.87,83.48,0.8185,0.5827
asp,5,5.0,1.5,0.3,mondrian,A,0.825,6.13,80.15,0.9324,0.7596
asp,5,5.0,1.5,0.3,mondrian,B,0.8333,6.04,77.58,0.9334,0.7673
asp,5,10.0,3.0,0.3,mondrian,A,0.825,11.87,158.83,0.9345,0.7618
asp,5,10.0,3.0,0.3,mondrian,B,0.9091,44.53,204.42,0.7545,0.6934
asp,5,19.0,5.7,0.3,mondrian,A,0.85,19.55,252.28,0.9432,0.8009
asp,5,19.0,5.7,0.3,mondrian,B,0.95,107.72,394.13,0.6873,0.6889
asp,5,3.0,0.8999999999999999,0.3,mondrian_cqr,A,0.775,4.93,50.12,0.9095,0.7495
asp,5,3.0,0.8999999999999999,0.3,mondrian_cqr,B,0.75,5.11,48.0,0.906,0.7601
asp,5,5.0,1.5,0.3,mondrian_cqr,A,0.775,7.54,75.3,0.9168,0.7741
asp,5,5.0,1.5,0.3,mondrian_cqr,B,0.8333,10.37,92.5,0.8857,0.7226
asp,5,10.0,3.0,0.3,mondrian_cqr,A,0.825,14.13,132.11,0.9221,0.8019
asp,5,10.0,3.0,0.3,mondrian_cqr,B,0.9091,36.53,197.84,0.7986,0.7033
asp,5,19.0,5.7,0.3,mondrian_cqr,A,0.85,24.29,213.86,0.9295,0.8312
asp,5,19.0,5.7,0.3,mondrian_cqr,B,0.95,74.93,320.9,0.7825,0.7467
asp,5,3.0,0.8999999999999999,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,5,5.0,1.5,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,5,10.0,3.0,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,5,19.0,5.7,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,15,3.0,0.8999999999999999,0.3,cqr,A,0.75,18.77,121.3,0.819,0.732
asp,15,3.0,0.8999999999999999,0.3,cqr,B,0.75,18.77,121.3,0.819,0.732
asp,15,5.0,1.5,0.3,cqr,A,0.75,26.67,171.24,0.8455,0.7727
asp,15,5.0,1.5,0.3,cqr,B,0.8333,44.78,225.17,0.7406,0.7011
asp,15,10.0,3.0,0.3,cqr,A,0.775,45.89,297.39,0.867,0.8024
asp,15,10.0,3.0,0.3,cqr,B,0.9091,98.93,392.12,0.7134,0.7395
asp,15,19.0,5.7,0.3,cqr,A,0.825,73.38,472.83,0.8881,0.8346
asp,15,19.0,5.7,0.3,cqr,B,0.95,155.89,542.09,0.7623,0.8104
asp,15,3.0,0.8999999999999999,0.3,deterministic,-,,103.66,452.61,0.0,0.0
asp,15,5.0,1.5,0.3,deterministic,-,,172.67,753.39,0.0,0.0
asp,15,10.0,3.0,0.3,deterministic,-,,345.19,1505.33,0.0,0.0
asp,15,19.0,5.7,0.3,deterministic,-,,655.72,2858.82,0.0,0.0
asp,15,3.0,0.8999999999999999,0.3,icp,A,0.875,27.53,188.22,0.7345,0.5842
asp,15,3.0,0.8999999999999999,0.3,icp,B,0.75,76.26,374.96,0.2643,0.1716
asp,15,5.0,1.5,0.3,icp,A,0.875,44.94,312.12,0.7397,0.5857
asp,15,5.0,1.5,0.3,icp,B,0.8333,87.27,486.27,0.4946,0.3546
asp,15,10.0,3.0,0.3,icp,A,0.875,88.49,621.88,0.7436,0.5869
asp,15,10.0,3.0,0.3,icp,B,0.9091,49.1,331.84,0.8578,0.7796
asp,15,19.0,5.7,0.3,icp,A,0.9,88.13,772.34,0.8656,0.7298
asp,15,19.0,5.7,0.3,icp,B,0.95,180.24,405.21,0.7251,0.8583
asp,15,3.0,0.8999999999999999,0.3,mondrian,A,0.8,16.12,133.3,0.8445,0.7055
asp,15,3.0,0.8999999999999999,0.3,mondrian,B,0.75,24.81,185.4,0.7607,0.5904
asp,15,5.0,1.5,0.3,mondrian,A,0.8,24.19,214.08,0.8599,0.7158
asp,15,5.0,1.5,0.3,mondrian,B,0.8333,27.64,181.96,0.8399,0.7585
asp,15,10.0,3.0,0.3,mondrian,A,0.825,39.34,328.82,0.886,0.7816
asp,15,10.0,3.0,0.3,mondrian,B,0.9091,94.14,341.65,0.7273,0.773
asp,15,19.0,5.7,0.3,mondrian,A,0.825,64.4,605.87,0.9018,0.7881
asp,15,19.0,5.7,0.3,mondrian,B,0.95,184.23,569.52,0.719,0.8008
asp,15,3.0,0.8999999999999999,0.3,mondrian_cqr,A,0.75,18.92,121.97,0.8175,0.7305
asp,15,3.0,0.8999999999999999,0.3,mondrian_cqr,B,0.75,18.92,121.97,0.8175,0.7305
asp,15,5.0,1.5,0.3,mondrian_cqr,A,0.75,26.75,171.49,0.8451,0.7724
asp,15,5.0,1.5,0.3,mondrian_cqr,B,0.8333,44.86,225.46,0.7402,0.7007
asp,15,10.0,3.0,0.3,mondrian_cqr,A,0.775,45.98,297.16,0.8668,0.8026
asp,15,10.0,3.0,0.3,mondrian_cqr,B,0.9091,98.91,392.27,0.7135,0.7394
asp,15,19.0,5.7,0.3,mondrian_cqr,A,0.825,73.45,472.31,0.888,0.8348
asp,15,19.0,5.7,0.3,mondrian_cqr,B,0.95,157.25,545.1,0.7602,0.8093
asp,15,3.0,0.8999999999999999,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,15,5.0,1.5,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,15,10.0,3.0,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,15,19.0,5.7,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,30,3.0,0.8999999999999999,0.3,cqr,A,0.75,34.86,214.3,0.7444,0.6952
asp,30,3.0,0.8999999999999999,0.3,cqr,B,0.75,34.86,214.3,0.7444,0.6952
asp,30,5.0,1.5,0.3,cqr,A,0.775,49.93,311.2,0.7801,0.7343
asp,30,5.0,1.5,0.3,cqr,B,0.8333,67.2,345.96,0.7041,0.7046
asp,30,10.0,3.0,0.3,cqr,A,0.825,81.44,498.04,0.8206,0.7873
asp,30,10.0,3.0,0.3,cqr,B,0.9091,132.39,527.17,0.7084,0.7748
asp,30,19.0,5.7,0.3,cqr,A,0.825,113.91,827.49,0.8679,0.814
asp,30,19.0,5.7,0.3,cqr,B,0.95,202.97,705.9,0.7646,0.8413
asp,30,3.0,0.8999999999999999,0.3,deterministic,-,,136.34,702.97,0.0,0.0
asp,30,5.0,1.5,0.3,deterministic,-,,227.1,1171.07,0.0,0.0
asp,30,10.0,3.0,0.3,deterministic,-,,453.97,2341.32,0.0,0.0
asp,30,19.0,5.7,0.3,deterministic,-,,862.35,4447.77,0.0,0.0
asp,30,3.0,0.8999999999999999,0.3,icp,A,0.85,64.76,454.73,0.525,0.3531
asp,30,3.0,0.8999999999999999,0.3,icp,B,0.75,106.01,611.91,0.2225,0.1295
asp,30,5.0,1.5,0.3,icp,A,0.875,76.86,588.56,0.6616,0.4974
asp,30,5.0,1.5,0.3,icp,B,0.8333,125.83,836.68,0.4459,0.2855
asp,30,10.0,3.0,0.3,icp,A,0.875,148.78,1168.49,0.6723,0.5009
asp,30,10.0,3.0,0.3,icp,B,0.9091,97.99,686.54,0.7842,0.7068
asp,30,19.0,5.7,0.3,icp,A,0.9,176.42,1547.66,0.7954,0.652
asp,30,19.0,5.7,0.3,icp,B,0.95,226.06,521.33,0.7379,0.8828
asp,30,3.0,0.8999999999999999,0.3,mondrian,A,0.8,35.53,270.06,0.7394,0.6158
asp,30,3.0,0.8999999999999999,0.3,mondrian,B,0.75,45.89,351.06,0.6634,0.5006
asp,30,5.0,1.5,0.3,mondrian,A,0.8,51.71,433.82,0.7723,0.6296
asp,30,5.0,1.5,0.3,mondrian,B,0.8333,52.82,367.88,0.7674,0.6859
asp,30,10.0,3.0,0.3,mondrian,A,0.85,80.89,621.03,0.8218,0.7348
asp,30,10.0,3.0,0.3,mondrian,B,0.9091,126.21,507.51,0.722,0.7832
asp,30,19.0,5.7,0.3,mondrian,A,0.875,120.89,932.15,0.8598,0.7904
asp,30,19.0,5.7,0.3,mondrian,B,0.95,224.38,728.46,0.7398,0.8362
asp,30,3.0,0.8999999999999999,0.3,mondrian_cqr,A,0.75,34.94,214.66,0.7437,0.6946
asp,30,3.0,0.8999999999999999,0.3,mondrian_cqr,B,0.75,34.94,214.66,0.7437,0.6946
asp,30,5.0,1.5,0.3,mondrian_cqr,A,0.775,49.9,311.8,0.7803,0.7338
asp,30,5.0,1.5,0.3,mondrian_cqr,B,0.8333,66.59,344.25,0.7068,0.706
asp,30,10.0,3.0,0.3,mondrian_cqr,A,0.825,80.99,498.39,0.8216,0.7871
asp,30,10.0,3.0,0.3,mondrian_cqr,B,0.9091,133.22,528.77,0.7066,0.7742
asp,30,19.0,5.7,0.3,mondrian_cqr,A,0.825,113.86,833.5,0.868,0.8126
asp,30,19.0,5.7,0.3,mondrian_cqr,B,0.95,205.17,710.29,0.7621,0.8403
asp,30,3.0,0.8999999999999999,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,30,5.0,1.5,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,30,10.0,3.0,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,30,19.0,5.7,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,60,3.0,0.8999999999999999,0.3,cqr,A,0.75,65.38,425.69,0.6135,0.5704
asp,60,3.0,0.8999999999999999,0.3,cqr,B,0.75,65.38,425.69,0.6135,0.5704
asp,60,5.0,1.5,0.3,cqr,A,0.8,93.67,590.01,0.6676,0.6427
asp,60,5.0,1.5,0.3,cqr,B,0.8333,101.61,577.31,0.6394,0.6504
asp,60,10.0,3.0,0.3,cqr,A,0.825,140.09,976.89,0.7513,0.7042
asp,60,10.0,3.0,0.3,cqr,B,0.9091,169.04,769.87,0.6999,0.7668
asp,60,19.0,5.7,0.3,cqr,A,0.875,196.5,1336.89,0.8164,0.7869
asp,60,19.0,5.7,0.3,cqr,B,0.95,241.11,883.9,0.7747,0.8591
asp,60,3.0,0.8999999999999999,0.3,deterministic,-,,169.19,990.87,0.0,0.0
asp,60,5.0,1.5,0.3,deterministic,-,,281.79,1651.19,0.0,0.0
asp,60,10.0,3.0,0.3,deterministic,-,,563.28,3302.01,0.0,0.0
asp,60,19.0,5.7,0.3,deterministic,-,,1069.98,6273.49,0.0,0.0
asp,60,3.0,0.8999999999999999,0.3,icp,A,0.85,96.23,712.5,0.4312,0.2809
asp,60,3.0,0.8999999999999999,0.3,icp,B,0.75,140.89,899.77,0.1672,0.0919
asp,60,5.0,1.5,0.3,icp,A,0.85,157.56,1179.35,0.4408,0.2858
asp,60,5.0,1.5,0.3,icp,B,0.8333,178.61,1284.28,0.3662,0.2222
asp,60,10.0,3.0,0.3,icp,A,0.875,247.5,1986.46,0.5606,0.3984
asp,60,10.0,3.0,0.3,icp,B,0.9091,191.85,1416.74,0.6594,0.5709
asp,60,19.0,5.7,0.3,icp,A,0.9,336.77,2948.8,0.6853,0.53
asp,60,19.0,5.7,0.3,icp,B,0.95,298.27,1235.41,0.7212,0.8031
asp,60,3.0,0.8999999999999999,0.3,mondrian,A,0.8,70.63,538.34,0.5826,0.4567
asp,60,3.0,0.8999999999999999,0.3,mondrian,B,0.75,81.08,619.02,0.5208,0.3753
asp,60,5.0,1.5,0.3,mondrian,A,0.825,98.1,774.88,0.6518,0.5307
asp,60,5.0,1.5,0.3,mondrian,B,0.8333,97.52,746.57,0.6539,0.5479
asp,60,10.0,3.0,0.3,mondrian,A,0.875,146.9,1112.51,0.7392,0.6631
asp,60,10.0,3.0,0.3,mondrian,B,0.9091,160.08,887.05,0.7158,0.7314
asp,60,19.0,5.7,0.3,mondrian,A,0.925,209.59,1262.95,0.8041,0.7987
asp,60,19.0,5.7,0.3,mondrian,B,0.95,251.88,1039.9,0.7646,0.8342
asp,60,3.0,0.8999999999999999,0.3,mondrian_cqr,A,0.75,65.54,427.43,0.6126,0.5686
asp,60,3.0,0.8999999999999999,0.3,mondrian_cqr,B,0.75,65.54,427.43,0.6126,0.5686
asp,60,5.0,1.5,0.3,mondrian_cqr,A,0.8,93.59,589.52,0.6679,0.643
asp,60,5.0,1.5,0.3,mondrian_cqr,B,0.8333,101.47,576.91,0.6399,0.6506
asp,60,10.0,3.0,0.3,mondrian_cqr,A,0.825,140.15,975.36,0.7512,0.7046
asp,60,10.0,3.0,0.3,mondrian_cqr,B,0.9091,170.69,771.99,0.697,0.7662
asp,60,19.0,5.7,0.3,mondrian_cqr,A,0.875,196.45,1336.1,0.8164,0.787
asp,60,19.0,5.7,0.3,mondrian_cqr,B,0.95,241.68,884.59,0.7741,0.859
asp,60,3.0,0.8999999999999999,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,60,5.0,1.5,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,60,10.0,3.0,0.3,oracle,-,,0.0,0.0,1.0,1.0
asp,60,19.0,5.7,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,5,3.0,0.8999999999999999,0.3,cqr,A,0.775,2.73,25.47,0.9468,0.882
yulara,5,3.0,0.8999999999999999,0.3,cqr,B,0.75,2.75,25.35,0.9465,0.8825
yulara,5,5.0,1.5,0.3,cqr,A,0.8,4.51,46.41,0.9473,0.8709
yulara,5,5.0,1.5,0.3,cqr,B,0.8333,7.49,73.13,0.9125,0.7966
yulara,5,10.0,3.0,0.3,cqr,A,0.8,7.0,68.78,0.9591,0.9043
yulara,5,10.0,3.0,0.3,cqr,B,0.9091,33.25,188.74,0.8058,0.7375
yulara,5,19.0,5.7,0.3,cqr,A,0.8,11.5,114.4,0.9647,0.9163
yulara,5,19.0,5.7,0.3,cqr,B,0.95,69.88,299.9,0.7852,0.7805
yulara,5,3.0,0.8999999999999999,0.3,deterministic,-,,51.38,215.73,0.0,0.0
yulara,5,5.0,1.5,0.3,deterministic,-,,85.63,359.55,0.0,0.0
yulara,5,10.0,3.0,0.3,deterministic,-,,171.24,719.08,0.0,0.0
yulara,5,19.0,5.7,0.3,deterministic,-,,325.35,1366.25,0.0,0.0
yulara,5,3.0,0.8999999999999999,0.3,icp,A,0.9,3.88,51.22,0.9244,0.7626
yulara,5,3.0,0.8999999999999999,0.3,icp,B,0.75,44.58,198.99,0.1325,0.0776
yulara,5,5.0,1.5,0.3,icp,A,0.9,6.42,85.23,0.925,0.7629
yulara,5,5.0,1.5,0.3,icp,B,0.8333,46.13,256.63,0.4613,0.2862
yulara,5,10.0,3.0,0.3,icp,A,0.9,12.76,170.27,0.9255,0.7632
yulara,5,10.0,3.0,0.3,icp,B,0.9091,8.89,125.01,0.9481,0.8262
yulara,5,19.0,5.7,0.3,icp,A,0.9,24.17,323.33,0.9257,0.7633
yulara,5,19.0,5.7,0.3,icp,B,0.95,49.57,182.03,0.8476,0.8668
yulara,5,3.0,0.8999999999999999,0.3,mondrian,A,0.8,3.54,43.67,0.9312,0.7976
yulara,5,3.0,0.8999999999999999,0.3,mondrian,B,0.75,9.23,84.06,0.8204,0.6104
yulara,5,5.0,1.5,0.3,mondrian,A,0.825,4.17,53.36,0.9513,0.8516
yulara,5,5.0,1.5,0.3,mondrian,B,0.8333,4.03,49.8,0.9529,0.8615
yulara,5,10.0,3.0,0.3,mondrian,A,0.825,8.04,103.34,0.9531,0.8563
yulara,5,10.0,3.0,0.3,mondrian,B,0.9091,31.94,170.59,0.8135,0.7628
yulara,5,19.0,5.7,0.3,mondrian,A,0.825,15.0,194.25,0.9539,0.8578
yulara,5,19.0,5.7,0.3,mondrian,B,0.95,90.69,352.46,0.7213,0.742
yulara,5,3.0,0.8999999999999999,0.3,mondrian_cqr,A,0.775,2.71,25.41,0.9473,0.8822
yulara,5,3.0,0.8999999999999999,0.3,mondrian_cqr,B,0.75,2.76,25.67,0.9463,0.881
yulara,5,5.0,1.5,0.3,mondrian_cqr,A,0.8,4.5,46.75,0.9475,0.87
yulara,5,5.0,1.5,0.3,mondrian_cqr,B,0.8333,7.6,73.87,0.9113,0.7946
yulara,5,10.0,3.0,0.3,mondrian_cqr,A,0.8,6.92,68.93,0.9596,0.9041
yulara,5,10.0,3.0,0.3,mondrian_cqr,B,0.9091,34.93,193.15,0.796,0.7314
yulara,5,19.0,5.7,0.3,mondrian_cqr,A,0.8,11.28,114.31,0.9653,0.9163
yulara,5,19.0,5.7,0.3,mondrian_cqr,B,0.95,74.18,310.37,0.772,0.7728
yulara,5,3.0,0.8999999999999999,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,5,5.0,1.5,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,5,10.0,3.0,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,5,19.0,5.7,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,15,3.0,0.8999999999999999,0.3,cqr,A,0.75,12.45,105.75,0.8786,0.7865
yulara,15,3.0,0.8999999999999999,0.3,cqr,B,0.75,12.45,105.75,0.8786,0.7865
yulara,15,5.0,1.5,0.3,cqr,A,0.775,19.55,153.57,0.8856,0.814
yulara,15,5.0,1.5,0.3,cqr,B,0.8333,34.23,194.69,0.7997,0.7641
yulara,15,10.0,3.0,0.3,cqr,A,0.8,31.73,228.37,0.9071,0.8617
yulara,15,10.0,3.0,0.3,cqr,B,0.9091,90.88,374.07,0.734,0.7734
yulara,15,19.0,5.7,0.3,cqr,A,0.825,46.86,330.55,0.9278,0.8946
yulara,15,19.0,5.7,0.3,cqr,B,0.95,145.15,518.6,0.7763,0.8347
yulara,15,3.0,0.8999999999999999,0.3,deterministic,-,,102.58,495.3,0.0,0.0
yulara,15,5.0,1.5,0.3,deterministic,-,,170.88,825.47,0.0,0.0
yulara,15,10.0,3.0,0.3,deterministic,-,,341.63,1650.89,0.0,0.0
yulara,15,19.0,5.7,0.3,deterministic,-,,648.97,3136.65,0.0,0.0
yulara,15,3.0,0.8999999999999999,0.3,icp,A,0.875,30.35,239.3,0.7042,0.5169
yulara,15,3.0,0.8999999999999999,0.3,icp,B,0.75,92.86,464.89,0.0948,0.0614
yulara,15,5.0,1.5,0.3,icp,A,0.875,50.22,397.93,0.7061,0.5179
yulara,15,5.0,1.5,0.3,icp,B,0.8333,104.32,612.0,0.3895,0.2586
yulara,15,10.0,3.0,0.3,icp,A,0.875,99.9,794.99,0.7076,0.5184
yulara,15,10.0,3.0,0.3,icp,B,0.9091,35.59,327.33,0.8958,0.8017
yulara,15,19.0,5.7,0.3,icp,A,0.9,80.0,835.31,0.8767,0.7337
yulara,15,19.0,5.7,0.3,icp,B,0.95,153.0,368.12,0.7642,0.8826
yulara,15,3.0,0.8999999999999999,0.3,mondrian,A,0.775,17.56,155.54,0.8289,0.686
yulara,15,3.0,0.8999999999999999,0.3,mondrian,B,0.75,25.78,204.5,0.7487,0.5871
yulara,15,5.0,1.5,0.3,mondrian,A,0.8,19.48,192.64,0.886,0.7666
yulara,15,5.0,1.5,0.3,mondrian,B,0.8333,19.97,156.77,0.8831,0.8101
yulara,15,10.0,3.0,0.3,mondrian,A,0.8,36.28,382.27,0.8938,0.7684
yulara,15,10.0,3.0,0.3,mondrian,B,0.9091,91.15,369.94,0.7332,0.7759
yulara,15,19.0,5.7,0.3,mondrian,A,0.825,45.33,499.15,0.9302,0.8409
yulara,15,19.0,5.7,0.3,mondrian,B,0.95,172.2,597.16,0.7347,0.8096
yulara,15,3.0,0.8999999999999999,0.3,mondrian_cqr,A,0.75,12.5,105.87,0.8781,0.7862
yulara,15,3.0,0.8999999999999999,0.3,mondrian_cqr,B,0.75,12.5,105.87,0.8781,0.7862
yulara,15,5.0,1.5,0.3,mondrian_cqr,A,0.775,19.7,153.75,0.8847,0.8137
yulara,15,5.0,1.5,0.3,mondrian_cqr,B,0.8333,35.92,198.86,0.7898,0.7591
yulara,15,10.0,3.0,0.3,mondrian_cqr,A,0.8,31.96,227.97,0.9064,0.8619
yulara,15,10.0,3.0,0.3,mondrian_cqr,B,0.9091,95.77,383.73,0.7197,0.7676
yulara,15,19.0,5.7,0.3,mondrian_cqr,A,0.825,47.58,330.19,0.9267,0.8947
yulara,15,19.0,5.7,0.3,mondrian_cqr,B,0.95,154.04,538.56,0.7626,0.8283
yulara,15,3.0,0.8999999999999999,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,15,5.0,1.5,0.3,oracle,-,,0.0,0.0,1.0,1.0
yulara,15,10.0,3.0,0.3,oracle,-,,0.0,0.0,1.0,1.0
