site,horizon_min,protocol,policy,theta,mean_ci,cvar_ci,vc_mean_ci,vc_cvar_ci
asp,5,R0_test_argmin_coarse,cqr,0.8,"[10.029, 17.9243]","[88.2408, 194.0565]","[0.9023, 0.9442]","[0.7114, 0.8662]"
asp,5,A,cqr,0.825,"[10.5674, 18.2361]","[88.9526, 184.3697]","[0.9005, 0.9411]","[0.7264, 0.8661]"
asp,5,A_meancvar_lam0.5,cqr,0.825,"[10.5674, 18.2361]","[88.9526, 184.3697]","[0.9005, 0.9411]","[0.7264, 0.8661]"
asp,5,B_critical_fractile,cqr,0.909,"[29.4164, 41.257]","[168.6658, 222.7605]","[0.7748, 0.8341]","[0.6673, 0.7485]"
asp,5,R0_test_argmin_coarse,icp,0.9,"[13.2924, 24.0902]","[134.3452, 263.4777]","[0.8703, 0.9245]","[0.6106, 0.7945]"
asp,5,A,icp,0.9,"[13.2924, 24.0902]","[134.3452, 263.4777]","[0.8703, 0.9245]","[0.6106, 0.7945]"
asp,5,A_meancvar_lam0.5,icp,0.9,"[13.2924, 24.0902]","[134.3452, 263.4777]","[0.8703, 0.9245]","[0.6106, 0.7945]"
asp,5,B_critical_fractile,icp,0.909,"[9.4311, 18.6458]","[102.2739, 226.7665]","[0.899, 0.9466]","[0.6641, 0.8446]"
asp,5,R0_test_argmin_coarse,mondrian,0.8,"[10.8132, 21.7688]","[119.5047, 270.9949]","[0.8821, 0.9389]","[0.5964, 0.8187]"
asp,5,A,mondrian,0.825,"[7.5414, 17.1138]","[90.1414, 238.7889]","[0.9069, 0.9575]","[0.6456, 0.8633]"
asp,5,A_meancvar_lam0.5,mondrian,0.85,"[8.0935, 16.6983]","[81.4672, 209.6923]","[0.909, 0.9543]","[0.6894, 0.8774]"
asp,5,B_critical_fractile,mondrian,0.909,"[38.0998, 50.947]","[177.0425, 242.4924]","[0.7269, 0.7816]","[0.6383, 0.7349]"
asp,5,R0_test_argmin_coarse,mondrian_cqr,0.8,"[10.0321, 17.9282]","[88.3156, 193.9385]","[0.9023, 0.9441]","[0.7115, 0.8661]"
asp,5,A,mondrian_cqr,0.825,"[10.5893, 18.2752]","[88.9354, 184.4543]","[0.9003, 0.9409]","[0.7263, 0.8659]"
asp,5,A_meancvar_lam0.5,mondrian_cqr,0.825,"[10.5893, 18.2752]","[88.9354, 184.4543]","[0.9003, 0.9409]","[0.7263, 0.8659]"
asp,5,B_critical_fractile,mondrian_cqr,0.909,"[30.5537, 42.6122]","[172.5727, 226.5118]","[0.7672, 0.8278]","[0.6619, 0.7427]"
asp,15,R0_test_argmin_coarse,cqr,0.8,"[40.4166, 56.1177]","[223.5576, 363.3236]","[0.8359, 0.8831]","[0.7511, 0.8538]"
asp,15,A,cqr,0.775,"[38.2747, 54.1263]","[226.32, 374.4851]","[0.8421, 0.8886]","[0.7445, 0.8514]"
asp,15,A_meancvar_lam0.5,cqr,0.8,"[40.4166, 56.1177]","[223.5576, 363.3236]","[0.8359, 0.8831]","[0.7511, 0.8538]"
asp,15,B_critical_fractile,cqr,0.909,"[86.2406, 111.6846]","[362.5921, 411.2374]","[0.6749, 0.7474]","[0.7072, 0.7689]"
asp,15,R0_test_argmin_coarse,icp,0.9,"[40.3524, 61.2143]","[304.2279, 494.7169]","[0.8276, 0.8791]","[0.6748, 0.7889]"
asp,15,A,icp,0.875,"[72.2144, 105.633]","[520.1732, 709.0058]","[0.7132, 0.7748]","[0.5464, 0.633]"
asp,15,A_meancvar_lam0.5,icp,0.9,"[40.3524, 61.2143]","[304.2279, 494.7169]","[0.8276, 0.8791]","[0.6748, 0.7889]"
asp,15,B_critical_fractile,icp,0.909,"[40.7413, 58.0069]","[240.1796, 420.8792]","[0.8325, 0.8805]","[0.722, 0.834]"
asp,15,R0_test_argmin_coarse,mondrian,0.8,"[34.0631, 55.4392]","[306.1649, 524.096]","[0.8436, 0.8975]","[0.6554, 0.7911]"
asp,15,A,mondrian,0.825,"[30.7898, 48.5042]","[221.7742, 440.205]","[0.8612, 0.9086]","[0.7067, 0.8504]"
asp,15,A_meancvar_lam0.5,mondrian,0.825,"[30.7898, 48.5042]","[221.7742, 440.205]","[0.8612, 0.9086]","[0.7067, 0.8504]"
asp,15,B_critical_fractile,mondrian,0.909,"[83.0797, 105.1206]","[309.1819, 381.8019]","[0.6964, 0.7561]","[0.7367, 0.8012]"
asp,15,R0_test_argmin_coarse,mondrian_cqr,0.8,"[40.5518, 56.2473]","[223.7832, 363.2642]","[0.8355, 0.8826]","[0.7512, 0.8536]"
asp,15,A,mondrian_cqr,0.775,"[38.3644, 54.1912]","[226.2367, 374.2357]","[0.8419, 0.8884]","[0.7446, 0.8517]"
asp,15,A_meancvar_lam0.5,mondrian_cqr,0.775,"[38.3644, 54.1912]","[226.2367, 374.2357]","[0.8419, 0.8884]","[0.7446, 0.8517]"
asp,15,B_critical_fractile,mondrian_cqr,0.909,"[86.2301, 111.6465]","[362.7136, 411.4987]","[0.675, 0.7475]","[0.707, 0.7689]"
asp,30,R0_test_argmin_coarse,cqr,0.8,"[63.1127, 90.4245]","[405.899, 632.0933]","[0.8024, 0.8578]","[0.7226, 0.8262]"
asp,30,A,cqr,0.825,"[68.2082, 95.3393]","[395.147, 598.8541]","[0.7907, 0.8468]","[0.736, 0.8315]"
asp,30,A_meancvar_lam0.5,cqr,0.825,"[68.2082, 95.3393]","[395.147, 598.8541]","[0.7907, 0.8468]","[0.736, 0.8315]"
asp,30,B_critical_fractile,cqr,0.909,"[115.4168, 149.3972]","[480.0941, 574.7342]","[0.6661, 0.7452]","[0.7378, 0.8071]"
asp,30,R0_test_argmin_coarse,icp,0.9,"[83.5457, 125.0833]","[641.3822, 981.8501]","[0.7389, 0.8027]","[0.6052, 0.7046]"
asp,30,A,icp,0.875,"[118.0784, 180.7129]","[969.9689, 1354.0445]","[0.6375, 0.7099]","[0.4651, 0.5478]"
asp,30,A_meancvar_lam0.5,icp,0.925,"[103.3088, 127.9185]","[375.2976, 597.9339]","[0.7051, 0.7788]","[0.754, 0.8303]"
asp,30,B_critical_fractile,icp,0.909,"[81.2191, 115.7923]","[525.3123, 835.4228]","[0.752, 0.8134]","[0.6645, 0.7596]"
asp,30,R0_test_argmin_coarse,mondrian,0.8,"[70.749, 114.5671]","[627.0142, 1055.1039]","[0.762, 0.8315]","[0.5694, 0.7123]"
asp,30,A,mondrian,0.85,"[64.9477, 98.4542]","[427.3331, 828.3867]","[0.7902, 0.851]","[0.6566, 0.8083]"
asp,30,A_meancvar_lam0.5,mondrian,0.875,"[77.2222, 107.8355]","[377.8541, 722.7488]","[0.7667, 0.8258]","[0.6968, 0.8332]"
asp,30,B_critical_fractile,mondrian,0.909,"[110.6244, 141.9414]","[414.119, 627.7874]","[0.6845, 0.7557]","[0.73, 0.8266]"
asp,30,R0_test_argmin_coarse,mondrian_cqr,0.8,"[63.1032, 90.4328]","[407.721, 634.4935]","[0.8024, 0.8577]","[0.722, 0.8255]"
asp,30,A,mondrian_cqr,0.825,"[67.7964, 94.8639]","[396.3107, 600.4015]","[0.7919, 0.8479]","[0.7354, 0.831]"
asp,30,A_meancvar_lam0.5,mondrian_cqr,0.825,"[67.7964, 94.8639]","[396.3107, 600.4015]","[0.7919, 0.8479]","[0.7354, 0.831]"
asp,30,B_critical_fractile,mondrian_cqr,0.909,"[116.1014, 150.2421]","[481.7465, 576.0066]","[0.6642, 0.7436]","[0.7372, 0.8065]"
asp,60,R0_test_argmin_coarse,cqr,0.8,"[116.9257, 171.5514]","[785.6447, 1308.4939]","[0.7056, 0.7831]","[0.6042, 0.7561]"
asp,60,A,cqr,0.825,"[114.9202, 166.9626]","[743.4002, 1230.575]","[0.7118, 0.7879]","[0.6261, 0.7696]"
asp,60,A_meancvar_lam0.5,cqr,0.875,"[125.5362, 172.6249]","[651.2814, 1010.9355]","[0.6949, 0.7726]","[0.687, 0.804]"
asp,60,B_critical_fractile,cqr,0.909,"[145.9522, 192.9336]","[662.4924, 904.9492]","[0.6532, 0.7398]","[0.7151, 0.8053]"
asp,60,R0_test_argmin_coarse,icp,0.9,"[162.1066, 240.1832]","[1291.2336, 1791.4977]","[0.6057, 0.6841]","[0.4827, 0.5743]"
asp,60,A,icp,0.875,"[196.8787, 301.1468]","[1690.0873, 2255.1171]","[0.5233, 0.6026]","[0.3658, 0.4383]"
asp,60,A_meancvar_lam0.5,icp,0.95,"[251.9731, 285.0844]","[622.8571, 924.5611]","[0.4402, 0.5892]","[0.7188, 0.8069]"
asp,60,B_critical_fractile,icp,0.909,"[158.2892, 227.0405]","[1145.325, 1614.9449]","[0.6187, 0.6974]","[0.5266, 0.6254]"
asp,60,R0_test_argmin_coarse,mondrian,0.9,"[129.4182, 180.7817]","[686.7229, 1215.9881]","[0.6847, 0.765]","[0.634, 0.7879]"
asp,60,A,mondrian,0.875,"[119.3299, 176.866]","[816.1128, 1417.294]","[0.6996, 0.7761]","[0.5792, 0.7404]"
asp,60,A_meancvar_lam0.5,mondrian,0.925,"[153.4747, 201.6414]","[629.78, 1069.8856]","[0.6374, 0.7284]","[0.676, 0.8095]"
asp,60,B_critical_fractile,mondrian,0.909,"[135.9161, 185.5842]","[655.2405, 1153.6791]","[0.6725, 0.7555]","[0.6508, 0.8001]"
asp,60,R0_test_argmin_coarse,mondrian_cqr,0.8,"[116.8657, 171.4155]","[785.2733, 1307.2688]","[0.7059, 0.7833]","[0.6045, 0.7563]"
asp,60,A,mondrian_cqr,0.825,"[114.9606, 166.9885]","[742.2496, 1228.6203]","[0.7115, 0.7878]","[0.6267, 0.77]"
asp,60,A_meancvar_lam0.5,mondrian_cqr,0.875,"[125.3122, 172.2743]","[651.1648, 1009.9605]","[0.6955, 0.7729]","[0.6873, 0.8042]"
asp,60,B_critical_fractile,mondrian_cqr,0.909,"[147.4267, 194.6295]","[665.8032, 905.4271]","[0.6499, 0.7372]","[0.7145, 0.8045]"
yulara,5,R0_test_argmin_coarse,cqr,0.8,"[5.3407, 8.9055]","[51.9031, 86.6124]","[0.9477, 0.9689]","[0.877, 0.9285]"
yulara,5,A,cqr,0.8,"[5.3407, 8.9055]","[51.9031, 86.6124]","[0.9477, 0.9689]","[0.877, 0.9285]"
yulara,5,A_meancvar_lam0.5,cqr,0.8,"[5.3407, 8.9055]","[51.9031, 86.6124]","[0.9477, 0.9689]","[0.877, 0.9285]"
