site,horizon_min,policy,theta,set,mean_daily,cvar95_daily
asp,5,cqr,0.75,test2024,16.02,151.97
asp,5,cqr,0.775,test2024,14.13,140.26
asp,5,cqr,0.8,test2024,13.66,137.17
asp,5,cqr,0.825,test2024,14.1,132.13
asp,5,cqr,0.85,test2024,17.08,140.39
asp,5,cqr,0.875,test2024,22.18,158.23
asp,5,cqr,0.9,test2024,30.28,179.39
asp,5,cqr,0.925,test2024,46.77,234.64
asp,5,cqr,0.95,test2024,70.18,301.82
asp,5,cqr,0.909,test2024,35.26,194.06
asp,5,cqr,0.75,selection2023H2,9.54,84.86
asp,5,cqr,0.775,selection2023H2,7.53,77.4
asp,5,cqr,0.8,selection2023H2,7.03,67.1
asp,5,cqr,0.825,selection2023H2,6.27,61.8
asp,5,cqr,0.85,selection2023H2,6.92,73.26
asp,5,cqr,0.875,selection2023H2,8.39,95.75
asp,5,cqr,0.9,selection2023H2,12.8,131.71
asp,5,cqr,0.925,selection2023H2,22.34,187.49
asp,5,cqr,0.95,selection2023H2,38.43,258.2
asp,5,icp,0.75,test2024,126.48,546.74
asp,5,icp,0.775,test2024,117.21,523.75
asp,5,icp,0.8,test2024,103.99,490.05
asp,5,icp,0.825,test2024,87.87,447.52
asp,5,icp,0.85,test2024,63.55,381.96
asp,5,icp,0.875,test2024,38.09,299.04
asp,5,icp,0.9,test2024,18.26,192.92
asp,5,icp,0.925,test2024,11.79,121.12
asp,5,icp,0.95,test2024,62.2,196.18
asp,5,icp,0.909,test2024,13.66,159.59
asp,5,icp,0.75,selection2023H2,88.56,554.46
asp,5,icp,0.775,selection2023H2,79.91,520.2
asp,5,icp,0.8,selection2023H2,66.97,467.01
asp,5,icp,0.825,selection2023H2,48.69,383.33
asp,5,icp,0.85,selection2023H2,27.5,269.37
asp,5,icp,0.875,selection2023H2,11.43,143.02
asp,5,icp,0.9,selection2023H2,3.9,46.38
asp,5,icp,0.925,selection2023H2,20.79,102.6
asp,5,icp,0.95,selection2023H2,109.68,253.74
asp,5,mondrian,0.75,test2024,32.74,277.64
asp,5,mondrian,0.775,test2024,22.73,230.69
asp,5,mondrian,0.8,test2024,15.83,190.38
asp,5,mondrian,0.825,test2024,11.87,158.83
asp,5,mondrian,0.85,test2024,11.97,138.25
asp,5,mondrian,0.875,test2024,18.66,141.54
asp,5,mondrian,0.9,test2024,37.7,186.41
asp,5,mondrian,0.925,test2024,62.89,254.92
asp,5,mondrian,0.95,test2024,104.65,374.39
asp,5,mondrian,0.909,test2024,44.48,204.29
asp,5,mondrian,0.75,selection2023H2,17.23,197.09
asp,5,mondrian,0.775,selection2023H2,10.54,136.86
asp,5,mondrian,0.8,selection2023H2,7.24,105.35
asp,5,mondrian,0.825,selection2023H2,4.68,67.88
asp,5,mondrian,0.85,selection2023H2,5.16,62.58
asp,5,mondrian,0.875,selection2023H2,12.23,99.11
asp,5,mondrian,0.9,selection2023H2,24.94,157.2
asp,5,mondrian,0.925,selection2023H2,47.58,253.29
asp,5,mondrian,0.95,selection2023H2,81.69,385.82
asp,5,mondrian_cqr,0.75,test2024,16.02,151.95
asp,5,mondrian_cqr,0.775,test2024,14.07,139.96
asp,5,mondrian_cqr,0.8,test2024,13.66,137.23
asp,5,mondrian_cqr,0.825,test2024,14.13,132.11
asp,5,mondrian_cqr,0.85,test2024,17.4,141.15
asp,5,mondrian_cqr,0.875,test2024,22.86,159.96
asp,5,mondrian_cqr,0.9,test2024,31.36,182.27
asp,5,mondrian_cqr,0.925,test2024,48.43,239.63
asp,5,mondrian_cqr,0.95,test2024,72.57,308.58
asp,5,mondrian_cqr,0.909,test2024,36.52,197.82
asp,5,mondrian_cqr,0.75,selection2023H2,9.49,84.46
asp,5,mondrian_cqr,0.775,selection2023H2,7.38,76.57
asp,5,mondrian_cqr,0.8,selection2023H2,6.92,66.55
asp,5,mondrian_cqr,0.825,selection2023H2,6.25,61.93
asp,5,mondrian_cqr,0.85,selection2023H2,7.01,75.65
asp,5,mondrian_cqr,0.875,selection2023H2,9.02,100.54
asp,5,mondrian_cqr,0.9,selection2023H2,13.75,137.03
asp,5,mondrian_cqr,0.925,selection2023H2,24.42,196.7
asp,5,mondrian_cqr,0.95,selection2023H2,41.16,268.82
asp,15,cqr,0.75,test2024,46.44,312.32
asp,15,cqr,0.775,test2024,45.89,297.39
asp,15,cqr,0.8,test2024,47.95,291.53
asp,15,cqr,0.825,test2024,52.89,296.94
asp,15,cqr,0.85,test2024,62.11,308.58
asp,15,cqr,0.875,test2024,73.78,331.42
asp,15,cqr,0.9,test2024,89.54,369.28
asp,15,cqr,0.925,test2024,114.77,430.96
asp,15,cqr,0.95,test2024,151.05,520.81
asp,15,cqr,0.909,test2024,98.92,392.09
asp,15,cqr,0.75,selection2023H2,29.44,216.55
asp,15,cqr,0.775,selection2023H2,28.23,210.1
asp,15,cqr,0.8,selection2023H2,28.72,209.33
asp,15,cqr,0.825,selection2023H2,30.64,218.04
asp,15,cqr,0.85,selection2023H2,35.96,240.41
asp,15,cqr,0.875,selection2023H2,43.0,273.98
asp,15,cqr,0.9,selection2023H2,54.27,327.42
asp,15,cqr,0.925,selection2023H2,70.58,398.96
asp,15,cqr,0.95,selection2023H2,98.44,481.98
asp,15,icp,0.75,test2024,253.77,1246.04
asp,15,icp,0.775,test2024,236.73,1189.78
asp,15,icp,0.8,test2024,214.77,1116.77
asp,15,icp,0.825,test2024,186.49,1017.52
asp,15,icp,0.85,test2024,142.72,847.55
asp,15,icp,0.875,test2024,88.49,621.88
asp,15,icp,0.9,test2024,50.34,407.12
asp,15,icp,0.925,test2024,69.23,262.23
asp,15,icp,0.95,test2024,173.06,354.85
asp,15,icp,0.909,test2024,49.08,332.26
asp,15,icp,0.75,selection2023H2,175.5,1201.07
asp,15,icp,0.775,selection2023H2,157.4,1127.03
asp,15,icp,0.8,selection2023H2,132.99,1020.14
asp,15,icp,0.825,selection2023H2,97.99,855.13
asp,15,icp,0.85,selection2023H2,60.53,646.13
asp,15,icp,0.875,selection2023H2,39.98,420.56
asp,15,icp,0.9,selection2023H2,42.73,201.44
asp,15,icp,0.925,selection2023H2,104.59,263.79
asp,15,icp,0.95,selection2023H2,211.2,395.22
