site,horizon_min,protocol,policy,theta,lam,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,soc_min,soc_max,selection_objective
asp,5,A,cqr,0.825,0.0,14.1,132.13,0.9222,0.8018,0.1,1.0,6.27
asp,5,A_meancvar_lam0.25,cqr,0.825,0.25,14.1,132.13,0.9222,0.8018,0.1,1.0,20.15
asp,5,A_meancvar_lam0.5,cqr,0.825,0.5,14.1,132.13,0.9222,0.8018,0.1,1.0,34.03
asp,5,A_meancvar_lam0.75,cqr,0.825,0.75,14.1,132.13,0.9222,0.8018,0.1,1.0,47.92
asp,5,A_meancvar_lam1.0,cqr,0.825,1.0,14.1,132.13,0.9222,0.8018,0.1,1.0,61.8
asp,5,A,icp,0.9,0.0,18.26,192.92,0.8993,0.7107,0.1,0.882,3.9
asp,5,A_meancvar_lam0.25,icp,0.9,0.25,18.26,192.92,0.8993,0.7107,0.1,0.882,14.52
asp,5,A_meancvar_lam0.5,icp,0.9,0.5,18.26,192.92,0.8993,0.7107,0.1,0.882,25.14
asp,5,A_meancvar_lam0.75,icp,0.9,0.75,18.26,192.92,0.8993,0.7107,0.1,0.882,35.76
asp,5,A_meancvar_lam1.0,icp,0.9,1.0,18.26,192.92,0.8993,0.7107,0.1,0.882,46.38
asp,5,A,mondrian,0.825,0.0,11.87,158.83,0.9345,0.7618,0.1,1.0,4.68
asp,5,A_meancvar_lam0.25,mondrian,0.85,0.25,11.97,138.25,0.934,0.7927,0.1,1.0,19.52
asp,5,A_meancvar_lam0.5,mondrian,0.85,0.5,11.97,138.25,0.934,0.7927,0.1,1.0,33.87
asp,5,A_meancvar_lam0.75,mondrian,0.85,0.75,11.97,138.25,0.934,0.7927,0.1,1.0,48.23
asp,5,A_meancvar_lam1.0,mondrian,0.85,1.0,11.97,138.25,0.934,0.7927,0.1,1.0,62.58
asp,5,A,mondrian_cqr,0.825,0.0,14.13,132.11,0.9221,0.8019,0.1,1.0,6.25
asp,5,A_meancvar_lam0.25,mondrian_cqr,0.825,0.25,14.13,132.11,0.9221,0.8019,0.1,1.0,20.17
asp,5,A_meancvar_lam0.5,mondrian_cqr,0.825,0.5,14.13,132.11,0.9221,0.8019,0.1,1.0,34.09
asp,5,A_meancvar_lam0.75,mondrian_cqr,0.825,0.75,14.13,132.11,0.9221,0.8019,0.1,1.0,48.01
asp,5,A_meancvar_lam1.0,mondrian_cqr,0.825,1.0,14.13,132.11,0.9221,0.8019,0.1,1.0,61.93
asp,15,A,cqr,0.775,0.0,45.89,297.39,0.867,0.8024,0.1,1.0,28.23
asp,15,A_meancvar_lam0.25,cqr,0.775,0.25,45.89,297.39,0.867,0.8024,0.1,1.0,73.7
asp,15,A_meancvar_lam0.5,cqr,0.8,0.5,47.95,291.53,0.8611,0.8063,0.1,1.0,119.03
asp,15,A_meancvar_lam0.75,cqr,0.8,0.75,47.95,291.53,0.8611,0.8063,0.1,1.0,164.18
asp,15,A_meancvar_lam1.0,cqr,0.8,1.0,47.95,291.53,0.8611,0.8063,0.1,1.0,209.33
asp,15,A,icp,0.875,0.0,88.49,621.88,0.7436,0.5869,0.1,1.0,39.98
asp,15,A_meancvar_lam0.25,icp,0.9,0.25,50.34,407.12,0.8542,0.7295,0.1,1.0,82.41
asp,15,A_meancvar_lam0.5,icp,0.9,0.5,50.34,407.12,0.8542,0.7295,0.1,1.0,122.09
asp,15,A_meancvar_lam0.75,icp,0.9,0.75,50.34,407.12,0.8542,0.7295,0.1,1.0,161.76
asp,15,A_meancvar_lam1.0,icp,0.9,1.0,50.34,407.12,0.8542,0.7295,0.1,1.0,201.44
asp,15,A,mondrian,0.825,0.0,39.34,328.82,0.886,0.7816,0.1,1.0,26.06
asp,15,A_meancvar_lam0.25,mondrian,0.825,0.25,39.34,328.82,0.886,0.7816,0.1,1.0,72.52
asp,15,A_meancvar_lam0.5,mondrian,0.825,0.5,39.34,328.82,0.886,0.7816,0.1,1.0,118.98
asp,15,A_meancvar_lam0.75,mondrian,0.825,0.75,39.34,328.82,0.886,0.7816,0.1,1.0,165.43
asp,15,A_meancvar_lam1.0,mondrian,0.825,1.0,39.34,328.82,0.886,0.7816,0.1,1.0,211.89
asp,15,A,mondrian_cqr,0.775,0.0,45.98,297.16,0.8668,0.8026,0.1,1.0,28.65
asp,15,A_meancvar_lam0.25,mondrian_cqr,0.775,0.25,45.98,297.16,0.8668,0.8026,0.1,1.0,73.77
asp,15,A_meancvar_lam0.5,mondrian_cqr,0.775,0.5,45.98,297.16,0.8668,0.8026,0.1,1.0,118.88
asp,15,A_meancvar_lam0.75,mondrian_cqr,0.775,0.75,45.98,297.16,0.8668,0.8026,0.1,1.0,164.0
asp,15,A_meancvar_lam1.0,mondrian_cqr,0.775,1.0,45.98,297.16,0.8668,0.8026,0.1,1.0,209.12
asp,30,A,cqr,0.825,0.0,81.44,498.04,0.8206,0.7873,0.1,1.0,51.15
asp,30,A_meancvar_lam0.25,cqr,0.825,0.25,81.44,498.04,0.8206,0.7873,0.1,1.0,132.32
asp,30,A_meancvar_lam0.5,cqr,0.825,0.5,81.44,498.04,0.8206,0.7873,0.1,1.0,213.49
asp,30,A_meancvar_lam0.75,cqr,0.825,0.75,81.44,498.04,0.8206,0.7873,0.1,1.0,294.67
asp,30,A_meancvar_lam1.0,cqr,0.825,1.0,81.44,498.04,0.8206,0.7873,0.1,1.0,375.84
asp,30,A,icp,0.875,0.0,148.78,1168.49,0.6723,0.5009,0.1,1.0,82.78
asp,30,A_meancvar_lam0.25,icp,0.9,0.25,103.86,821.3,0.7712,0.6492,0.1,1.0,201.07
asp,30,A_meancvar_lam0.5,icp,0.925,0.5,115.28,488.97,0.7461,0.7912,0.1,1.0,259.5
asp,30,A_meancvar_lam0.75,icp,0.925,0.75,115.28,488.97,0.7461,0.7912,0.1,1.0,317.29
asp,30,A_meancvar_lam1.0,icp,0.925,1.0,115.28,488.97,0.7461,0.7912,0.1,1.0,375.08
