horizon_min,policy,rho,mean_daily_R0,mean_daily_R1,d_mean,rel_mean_pct,cvar95_daily_R0,cvar95_daily_R1,d_cvar
5,icp,0.8,131.4,124.02,-7.38,-5.6,602.46,598.47,-3.99
5,icp,0.9,16.37,12.76,-3.61,-22.1,183.59,170.27,-13.32
5,icp,0.95,45.6,47.48,1.88,4.1,174.08,171.51,-2.57
5,mondrian,0.8,13.95,11.4,-2.55,-18.3,159.09,143.84,-15.25
5,mondrian,0.9,25.4,24.98,-0.42,-1.7,148.2,147.18,-1.02
5,mondrian,0.95,85.45,89.09,3.64,4.3,343.25,348.25,5.0
5,mondrian_cqr,0.8,10.52,6.92,-3.6,-34.2,97.4,68.93,-28.47
5,mondrian_cqr,0.9,27.44,30.2,2.76,10.1,164.61,177.41,12.8
5,mondrian_cqr,0.95,66.04,73.7,7.66,11.6,289.02,309.32,20.3
30,icp,0.8,363.89,371.48,7.59,2.1,2195.98,2260.67,64.69
30,icp,0.9,87.54,95.68,8.14,9.3,788.78,855.57,66.79
30,icp,0.95,181.42,192.33,10.91,6.0,420.8,425.67,4.87
30,mondrian,0.8,84.06,84.99,0.93,1.1,767.36,809.37,42.01
30,mondrian,0.9,100.2,102.03,1.83,1.8,441.04,453.14,12.1
30,mondrian,0.95,198.72,203.99,5.27,2.7,670.96,690.29,19.33
30,mondrian_cqr,0.8,60.77,57.37,-3.4,-5.6,410.26,428.51,18.25
30,mondrian_cqr,0.9,109.14,115.66,6.52,6.0,443.67,480.76,37.09
30,mondrian_cqr,0.95,181.99,194.53,12.54,6.9,618.62,651.68,33.06
