site,horizon_min,policy,theta_R0_test_argmin_coarse,theta_R0_test_argmin_fine,theta_protocolA,theta_protocolA_swapped,theta_protocolB
asp,5,cqr,0.8,0.8,0.825,0.775,0.909
asp,5,icp,0.9,0.925,0.9,0.925,0.909
asp,5,mondrian,0.8,0.825,0.825,0.85,0.909
asp,5,mondrian_cqr,0.8,0.8,0.825,0.775,0.909
asp,15,cqr,0.8,0.775,0.775,0.75,0.909
asp,15,icp,0.9,0.9,0.875,0.925,0.909
asp,15,mondrian,0.8,0.825,0.825,0.825,0.909
asp,15,mondrian_cqr,0.8,0.775,0.775,0.75,0.909
asp,30,cqr,0.8,0.8,0.825,0.75,0.909
asp,30,icp,0.9,0.9,0.875,0.925,0.909
asp,30,mondrian,0.8,0.825,0.85,0.825,0.909
asp,30,mondrian_cqr,0.8,0.8,0.825,0.75,0.909
asp,60,cqr,0.8,0.825,0.825,0.8,0.909
asp,60,icp,0.9,0.925,0.875,0.925,0.909
asp,60,mondrian,0.9,0.875,0.875,0.85,0.909
asp,60,mondrian_cqr,0.8,0.825,0.825,0.8,0.909
yulara,5,cqr,0.8,0.8,0.8,0.8,0.909
yulara,5,icp,0.9,0.925,0.9,0.925,0.909
yulara,5,mondrian,0.8,0.85,0.825,0.875,0.909
yulara,5,mondrian_cqr,0.8,0.8,0.8,0.8,0.909
yulara,15,cqr,0.8,0.775,0.8,0.775,0.909
yulara,15,icp,0.9,0.9,0.875,0.925,0.909
yulara,15,mondrian,0.8,0.825,0.8,0.85,0.909
yulara,15,mondrian_cqr,0.8,0.775,0.8,0.775,0.909
yulara,30,cqr,0.8,0.775,0.825,0.775,0.909
yulara,30,icp,0.9,0.9,0.875,0.925,0.909
yulara,30,mondrian,0.8,0.85,0.85,0.875,0.909
yulara,30,mondrian_cqr,0.8,0.775,0.825,0.8,0.909
yulara,60,cqr,0.8,0.825,0.875,0.825,0.909
yulara,60,icp,0.9,0.925,0.9,0.925,0.909
yulara,60,mondrian,0.9,0.875,0.875,0.875,0.909
yulara,60,mondrian_cqr,0.8,0.825,0.875,0.825,0.909
