site,horizon_min,metric,policy_a,policy_b,theta_a,theta_b,diff_point,ci_lo,ci_hi,p_two_sided,p_method,n_perm,significant_95,n_days,B
asp,5,VC_cvar,cqr,mondrian_cqr,0.825,0.825,0.0,-0.0004,0.0004,0.90271,paired_signflip_permutation,10000,no,362,10000
asp,5,VC_cvar,icp,cqr,0.9,0.825,-0.0914,-0.1423,-0.0417,0.0013,paired_signflip_permutation,10000,yes,362,10000
asp,5,VC_cvar,icp,mondrian,0.9,0.825,-0.052,-0.1073,0.0057,0.062494,paired_signflip_permutation,10000,no,362,10000
asp,5,VC_cvar,icp,mondrian_cqr,0.9,0.825,-0.0914,-0.1426,-0.0417,0.0013,paired_signflip_permutation,10000,yes,362,10000
asp,5,VC_cvar,mondrian,cqr,0.825,0.825,-0.0394,-0.1019,0.0176,0.174283,paired_signflip_permutation,10000,no,362,10000
asp,5,VC_cvar,mondrian,mondrian_cqr,0.825,0.825,-0.0394,-0.102,0.0177,0.172983,paired_signflip_permutation,10000,no,362,10000
asp,15,VC_cvar,cqr,mondrian_cqr,0.775,0.775,-0.0002,-0.0005,0.0001,0.319568,paired_signflip_permutation,10000,no,362,10000
asp,15,VC_cvar,icp,cqr,0.875,0.775,-0.2137,-0.2768,-0.1504,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,15,VC_cvar,icp,mondrian,0.875,0.825,-0.194,-0.2621,-0.1175,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,15,VC_cvar,icp,mondrian_cqr,0.875,0.775,-0.2139,-0.277,-0.1505,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,15,VC_cvar,mondrian,cqr,0.825,0.775,-0.0196,-0.0748,0.0286,0.442856,paired_signflip_permutation,10000,no,362,10000
asp,15,VC_cvar,mondrian,mondrian_cqr,0.825,0.775,-0.0198,-0.0749,0.0285,0.452555,paired_signflip_permutation,10000,no,362,10000
asp,30,VC_cvar,cqr,mondrian_cqr,0.825,0.825,0.0004,-0.0005,0.0014,0.720528,paired_signflip_permutation,10000,no,362,10000
asp,30,VC_cvar,icp,cqr,0.875,0.825,-0.2847,-0.3418,-0.221,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,30,VC_cvar,icp,mondrian,0.875,0.85,-0.2331,-0.3008,-0.1552,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,30,VC_cvar,icp,mondrian_cqr,0.875,0.825,-0.2843,-0.3412,-0.2207,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,30,VC_cvar,mondrian,cqr,0.85,0.825,-0.0516,-0.1174,0.0105,0.121588,paired_signflip_permutation,10000,no,362,10000
asp,30,VC_cvar,mondrian,mondrian_cqr,0.85,0.825,-0.0512,-0.1165,0.0106,0.121988,paired_signflip_permutation,10000,no,362,10000
asp,60,VC_cvar,cqr,mondrian_cqr,0.825,0.825,-0.0005,-0.0009,-0.0001,0.027897,paired_signflip_permutation,10000,yes,362,10000
asp,60,VC_cvar,icp,cqr,0.875,0.825,-0.3043,-0.3742,-0.2242,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,60,VC_cvar,icp,mondrian,0.875,0.875,-0.2648,-0.3365,-0.1782,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,60,VC_cvar,icp,mondrian_cqr,0.875,0.825,-0.3047,-0.3747,-0.2246,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,60,VC_cvar,mondrian,cqr,0.875,0.825,-0.0394,-0.0709,-0.0069,0.021298,paired_signflip_permutation,10000,yes,362,10000
asp,60,VC_cvar,mondrian,mondrian_cqr,0.875,0.825,-0.0399,-0.0715,-0.0073,0.019698,paired_signflip_permutation,10000,yes,362,10000
asp,5,VC_mean,cqr,mondrian_cqr,0.825,0.825,0.0002,-0.0,0.0004,0.09549,paired_signflip_permutation,10000,no,362,10000
asp,5,VC_mean,icp,cqr,0.9,0.825,-0.0228,-0.0419,-0.0046,0.015898,paired_signflip_permutation,10000,yes,362,10000
asp,5,VC_mean,icp,mondrian,0.9,0.825,-0.0353,-0.0531,-0.0175,0.0002,paired_signflip_permutation,10000,yes,362,10000
asp,5,VC_mean,icp,mondrian_cqr,0.9,0.825,-0.0227,-0.0418,-0.0044,0.018698,paired_signflip_permutation,10000,yes,362,10000
asp,5,VC_mean,mondrian,cqr,0.825,0.825,0.0125,-0.0033,0.0269,0.111489,paired_signflip_permutation,10000,no,362,10000
asp,5,VC_mean,mondrian,mondrian_cqr,0.825,0.825,0.0126,-0.0032,0.0271,0.10199,paired_signflip_permutation,10000,no,362,10000
asp,15,VC_mean,cqr,mondrian_cqr,0.775,0.775,0.0003,-0.0001,0.0006,0.118188,paired_signflip_permutation,10000,no,362,10000
asp,15,VC_mean,icp,cqr,0.875,0.775,-0.1229,-0.1539,-0.0918,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,15,VC_mean,icp,mondrian,0.875,0.825,-0.1421,-0.1706,-0.1132,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,15,VC_mean,icp,mondrian_cqr,0.875,0.775,-0.1226,-0.1538,-0.0915,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,15,VC_mean,mondrian,cqr,0.825,0.775,0.0192,0.0018,0.0356,0.024698,paired_signflip_permutation,10000,yes,362,10000
asp,15,VC_mean,mondrian,mondrian_cqr,0.825,0.775,0.0195,0.002,0.0359,0.020598,paired_signflip_permutation,10000,yes,362,10000
asp,30,VC_mean,cqr,mondrian_cqr,0.825,0.825,-0.001,-0.0016,-0.0004,0.0002,paired_signflip_permutation,10000,yes,362,10000
asp,30,VC_mean,icp,cqr,0.875,0.825,-0.1473,-0.1875,-0.1042,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,30,VC_mean,icp,mondrian,0.875,0.85,-0.1488,-0.1854,-0.1099,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,30,VC_mean,icp,mondrian_cqr,0.875,0.825,-0.1483,-0.1882,-0.1055,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,30,VC_mean,mondrian,cqr,0.85,0.825,0.0015,-0.0221,0.0238,0.917808,paired_signflip_permutation,10000,no,362,10000
asp,30,VC_mean,mondrian,mondrian_cqr,0.85,0.825,0.0005,-0.023,0.0227,0.985501,paired_signflip_permutation,10000,no,362,10000
asp,60,VC_mean,cqr,mondrian_cqr,0.825,0.825,0.0001,-0.0001,0.0003,0.264974,paired_signflip_permutation,10000,no,362,10000
asp,60,VC_mean,icp,cqr,0.875,0.825,-0.1894,-0.2349,-0.1413,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,60,VC_mean,icp,mondrian,0.875,0.875,-0.1775,-0.2198,-0.1317,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,60,VC_mean,icp,mondrian_cqr,0.875,0.825,-0.1893,-0.2348,-0.1411,0.0001,paired_signflip_permutation,10000,yes,362,10000
asp,60,VC_mean,mondrian,cqr,0.875,0.825,-0.0119,-0.0305,0.0078,0.218678,paired_signflip_permutation,10000,no,362,10000
asp,60,VC_mean,mondrian,mondrian_cqr,0.875,0.825,-0.0118,-0.0304,0.0079,0.230577,paired_signflip_permutation,10000,no,362,10000
yulara,5,VC_cvar,cqr,mondrian_cqr,0.8,0.8,0.0002,-0.0003,0.0007,0.450255,paired_signflip_permutation,10000,no,357,10000
yulara,5,VC_cvar,icp,cqr,0.9,0.8,-0.1404,-0.228,-0.059,0.0007,paired_signflip_permutation,10000,yes,357,10000
yulara,5,VC_cvar,icp,mondrian,0.9,0.825,-0.0929,-0.1623,-0.0286,0.006699,paired_signflip_permutation,10000,yes,357,10000
yulara,5,VC_cvar,icp,mondrian_cqr,0.9,0.8,-0.1402,-0.2278,-0.0586,0.0007,paired_signflip_permutation,10000,yes,357,10000
yulara,5,VC_cvar,mondrian,cqr,0.825,0.8,-0.0475,-0.1044,-0.0019,0.050695,paired_signflip_permutation,10000,yes,357,10000
yulara,5,VC_cvar,mondrian,mondrian_cqr,0.825,0.8,-0.0473,-0.1043,-0.0017,0.049995,paired_signflip_permutation,10000,yes,357,10000
yulara,15,VC_cvar,cqr,mondrian_cqr,0.8,0.8,-0.0002,-0.0017,0.0008,0.958104,paired_signflip_permutation,10000,no,356,10000
yulara,15,VC_cvar,icp,cqr,0.875,0.8,-0.3398,-0.4017,-0.2732,0.0001,paired_signflip_permutation,10000,yes,356,10000
yulara,15,VC_cvar,icp,mondrian,0.875,0.8,-0.2489,-0.2852,-0.2109,0.0001,paired_signflip_permutation,10000,yes,356,10000
yulara,15,VC_cvar,icp,mondrian_cqr,0.875,0.8,-0.3401,-0.4027,-0.2728,0.0001,paired_signflip_permutation,10000,yes,356,10000
yulara,15,VC_cvar,mondrian,cqr,0.8,0.8,-0.091,-0.1508,-0.0386,0.0012,paired_signflip_permutation,10000,yes,356,10000
yulara,15,VC_cvar,mondrian,mondrian_cqr,0.8,0.8,-0.0912,-0.152,-0.0382,0.0013,paired_signflip_permutation,10000,yes,356,10000
yulara,30,VC_cvar,cqr,mondrian_cqr,0.825,0.825,-0.0004,-0.0018,0.001,0.453955,paired_signflip_permutation,10000,no,356,10000
yulara,30,VC_cvar,icp,cqr,0.875,0.825,-0.3755,-0.4267,-0.3155,0.0001,paired_signflip_permutation,10000,yes,356,10000
yulara,30,VC_cvar,icp,mondrian,0.875,0.85,-0.3605,-0.4018,-0.3121,0.0001,paired_signflip_permutation,10000,yes,356,10000
yulara,30,VC_cvar,icp,mondrian_cqr,0.875,0.825,-0.3759,-0.4278,-0.3156,0.0001,paired_signflip_permutation,10000,yes,356,10000
yulara,30,VC_cvar,mondrian,cqr,0.85,0.825,-0.0149,-0.0468,0.0142,0.39956,paired_signflip_permutation,10000,no,356,10000
yulara,30,VC_cvar,mondrian,mondrian_cqr,0.85,0.825,-0.0153,-0.0477,0.0142,0.381762,paired_signflip_permutation,10000,no,356,10000
yulara,60,VC_cvar,cqr,mondrian_cqr,0.875,0.875,-0.0027,-0.0074,0.0014,0.133587,paired_signflip_permutation,10000,no,356,10000
yulara,60,VC_cvar,icp,cqr,0.9,0.875,-0.2836,-0.3435,-0.214,0.0001,paired_signflip_permutation,10000,yes,356,10000
yulara,60,VC_cvar,icp,mondrian,0.9,0.875,-0.2136,-0.2464,-0.1752,0.0001,paired_signflip_permutation,10000,yes,356,10000
yulara,60,VC_cvar,icp,mondrian_cqr,0.9,0.875,-0.2863,-0.3464,-0.2149,0.0001,paired_signflip_permutation,10000,yes,356,10000
yulara,60,VC_cvar,mondrian,cqr,0.875,0.875,-0.07,-0.1208,-0.0205,0.014899,paired_signflip_permutation,10000,yes,356,10000
yulara,60,VC_cvar,mondrian,mondrian_cqr,0.875,0.875,-0.0727,-0.1242,-0.0222,0.011799,paired_signflip_permutation,10000,yes,356,10000
yulara,5,VC_mean,cqr,mondrian_cqr,0.8,0.8,-0.0005,-0.0011,-0.0,0.063194,paired_signflip_permutation,10000,yes,357,10000
yulara,5,VC_mean,icp,cqr,0.9,0.8,-0.0335,-0.0574,-0.0121,0.0041,paired_signflip_permutation,10000,yes,357,10000
