year,method,scope,n,PICP,PINAW
2019,icp,all,41494,0.9213,0.1355
2019,icp,clear,29039,0.9847,0.1399
2019,icp,transitional,11457,0.7584,0.1339
2019,icp,cloudy,998,0.9439,0.1619
2019,mondrian,all,41494,0.901,0.092
2019,mondrian,clear,29039,0.8956,0.0212
2019,mondrian,transitional,11457,0.9143,0.2735
2019,mondrian,cloudy,998,0.9068,0.108
2019,aci,all,41494,0.9213,0.1144
2019,aci,clear,29039,0.9423,0.0444
2019,aci,transitional,11457,0.8669,0.2939
2019,aci,cloudy,998,0.9349,0.1543
2020,icp,all,43864,0.8775,0.0957
2020,icp,clear,26428,0.9783,0.116
2020,icp,transitional,14128,0.675,0.0952
2020,icp,cloudy,3308,0.9365,0.1478
2020,mondrian,all,43864,0.8953,0.0911
2020,mondrian,clear,26428,0.895,0.0232
2020,mondrian,transitional,14128,0.8916,0.2283
2020,mondrian,cloudy,3308,0.9132,0.1244
2020,aci,all,43864,0.9175,0.122
2020,aci,clear,26428,0.9345,0.0425
2020,aci,transitional,14128,0.8829,0.2908
2020,aci,cloudy,3308,0.9302,0.15
2021,icp,all,43304,0.8792,0.1229
2021,icp,clear,25004,0.9817,0.1398
2021,icp,transitional,15447,0.6994,0.122
2021,icp,cloudy,2853,0.9534,0.1546
2021,mondrian,all,43304,0.89,0.105
2021,mondrian,clear,25004,0.895,0.0233
2021,mondrian,transitional,15447,0.8817,0.2474
2021,mondrian,cloudy,2853,0.8917,0.0981
2021,aci,all,43304,0.9208,0.1527
2021,aci,clear,25004,0.9443,0.0518
2021,aci,transitional,15447,0.8798,0.3344
2021,aci,cloudy,2853,0.9373,0.1371
2022,icp,all,42401,0.8978,0.146
2022,icp,clear,22281,0.9824,0.1648
2022,icp,transitional,16005,0.7611,0.1451
2022,icp,cloudy,4115,0.9711,0.1851
2022,mondrian,all,42401,0.8959,0.1216
2022,mondrian,clear,22281,0.8812,0.0242
2022,mondrian,transitional,16005,0.9147,0.2721
2022,mondrian,cloudy,4115,0.9026,0.1033
2022,aci,all,42401,0.9222,0.1483
2022,aci,clear,22281,0.9444,0.0594
2022,aci,transitional,16005,0.8868,0.2911
2022,aci,cloudy,4115,0.94,0.1438
2023,icp,all,40131,0.9094,0.1534
2023,icp,clear,24088,0.9847,0.1571
2023,icp,transitional,13509,0.7632,0.1555
2023,icp,cloudy,2534,0.9736,0.1416
2023,mondrian,all,40131,0.872,0.113
2023,mondrian,clear,24088,0.8556,0.0315
2023,mondrian,transitional,13509,0.8964,0.2706
2023,mondrian,cloudy,2534,0.8974,0.0765
2023,aci,all,40131,0.915,0.1462
2023,aci,clear,24088,0.9161,0.0594
2023,aci,transitional,13509,0.907,0.3146
2023,aci,cloudy,2534,0.9463,0.1096
2024,icp,all,40905,0.8763,0.14
2024,icp,clear,21783,0.9763,0.1558
2024,icp,transitional,15436,0.7131,0.1397
2024,icp,cloudy,3686,0.9696,0.1666
2024,mondrian,all,40905,0.8878,0.1355
2024,mondrian,clear,21783,0.8899,0.0559
2024,mondrian,transitional,15436,0.8816,0.2695
2024,mondrian,cloudy,3686,0.901,0.0943
2024,aci,all,40905,0.9137,0.1738
2024,aci,clear,21783,0.9153,0.0667
2024,aci,transitional,15436,0.9045,0.3501
2024,aci,cloudy,3686,0.9425,0.132
