horizon_min,term,F,p_value,df,n
5,model,11.33,1.23e-05,2,6396
5,day_class,165.74,6.74e-71,2,6396
5,model:day_class,0.97,0.423,4,6396
5,year,37.43,5.85e-38,5,6396
15,model,97.45,2.04e-42,2,6396
15,day_class,187.5,7.47e-80,2,6396
15,model:day_class,3.93,0.00347,4,6396
15,year,32.06,2.2e-32,5,6396
30,model,361.59,1.74e-149,2,6396
30,day_class,199.07,1.37e-84,2,6396
30,model:day_class,12.97,1.6e-10,4,6396
30,year,29.52,9.73e-30,5,6396
60,model,1470.7,0.0,2,6396
60,day_class,204.72,6.69e-87,2,6396
60,model:day_class,48.26,4.79e-40,4,6396
60,year,31.07,2.36e-31,5,6396
