run,horizon_min,model,n_common,n_gbm_own,n_deep_own,MAE,RMSE,nRMSE,R2,scope
C_full,5,gbm,39380,40905,39789,41.7884,88.562,0.1494,0.922,common_support
C_full,5,gru,39380,40905,39789,41.868,90.3333,0.1524,0.9188,common_support
C_full,5,gru_tcn,39380,40905,39789,44.5102,90.1888,0.1521,0.9191,common_support
C_full,15,gbm,38596,40094,39000,60.0602,113.718,0.1899,0.8701,common_support
C_full,15,gru,38596,40094,39000,65.8342,117.0783,0.1955,0.8623,common_support
C_full,15,gru_tcn,38596,40094,39000,65.4164,116.3887,0.1943,0.8639,common_support
C_full,30,gbm,37495,38960,37897,70.434,125.555,0.2069,0.8409,common_support
C_full,30,gru,37495,38960,37897,77.5301,129.7691,0.2138,0.83,common_support
C_full,30,gru_tcn,37495,38960,37897,73.8092,128.4812,0.2117,0.8334,common_support
C_full,60,gbm,35373,36794,35769,83.8662,138.246,0.2231,0.8093,common_support
C_full,60,gru,35373,36794,35769,84.3388,143.4929,0.2316,0.7946,common_support
C_full,60,gru_tcn,35373,36794,35769,88.2504,142.7732,0.2304,0.7966,common_support
A,5,gbm,39380,40905,39789,41.7884,88.562,0.1494,0.922,common_support
A,5,gru,39380,40905,39789,42.2737,92.1636,0.1555,0.9155,common_support
A,5,gru_tcn,39380,40905,39789,42.6183,90.7333,0.1531,0.9181,common_support
A,15,gbm,38596,40094,39000,60.0602,113.718,0.1899,0.8701,common_support
A,15,gru,38596,40094,39000,66.3797,119.9502,0.2003,0.8555,common_support
A,15,gru_tcn,38596,40094,39000,64.6897,118.1836,0.1973,0.8597,common_support
A,30,gbm,37495,38960,37897,70.434,125.555,0.2069,0.8409,common_support
A,30,gru,37495,38960,37897,77.7048,130.7778,0.2155,0.8274,common_support
A,30,gru_tcn,37495,38960,37897,73.0091,130.0635,0.2143,0.8293,common_support
A,60,gbm,35373,36794,35769,83.8662,138.246,0.2231,0.8093,common_support
A,60,gru,35373,36794,35769,88.6401,143.5153,0.2316,0.7945,common_support
A,60,gru_tcn,35373,36794,35769,90.3502,142.6828,0.2303,0.7969,common_support
