year,date,day_class,model,horizon_min,n,RMSE,MAE
2019,2019-01-01,mixed,persistence,5,141,51.677232424026776,35.89018160231397
2019,2019-01-01,mixed,smart_persistence,5,141,49.63401579814956,30.07864116556404
2019,2019-01-01,mixed,gbm,5,141,46.14797028973662,32.88968223613529
2019,2019-01-02,mixed,persistence,5,140,17.470815120421978,14.852235685076058
2019,2019-01-02,mixed,smart_persistence,5,140,8.675747070387008,3.6756137917026788
2019,2019-01-02,mixed,gbm,5,140,6.699032778357634,3.66116597977778
2019,2019-01-05,mixed,persistence,5,140,61.756807585617125,31.67105663844546
2019,2019-01-05,mixed,smart_persistence,5,140,60.55236798820768,24.083573120042605
2019,2019-01-05,mixed,gbm,5,140,56.256110458791696,26.934467578352738
2019,2019-01-06,mixed,persistence,5,141,17.605063087818777,14.92767101314861
2019,2019-01-06,mixed,smart_persistence,5,141,8.16508957675777,3.748569672410722
2019,2019-01-06,mixed,gbm,5,141,6.345647309389105,3.982911795884756
2019,2019-01-07,mixed,persistence,5,141,17.176995876359992,14.789777796316345
2019,2019-01-07,mixed,smart_persistence,5,141,7.6187043561823256,3.5633945608627986
2019,2019-01-07,mixed,gbm,5,141,6.166379866142674,4.079057420058992
2019,2019-01-08,mixed,persistence,5,141,17.735359186582098,15.214931352763628
2019,2019-01-08,mixed,smart_persistence,5,141,7.9574887477221266,3.63353753887821
2019,2019-01-08,mixed,gbm,5,141,5.961748227776515,4.019095013117869
2019,2019-01-09,mixed,persistence,5,140,17.37316029993495,15.01922501155344
2019,2019-01-09,mixed,smart_persistence,5,140,7.225832832854531,3.4899457588906793
2019,2019-01-09,mixed,gbm,5,140,4.871308215052276,3.5154860354277777
2019,2019-01-10,mixed,persistence,5,140,17.08263317244671,14.744778333391995
2019,2019-01-10,mixed,smart_persistence,5,140,6.99978094716043,3.431692417881938
2019,2019-01-10,mixed,gbm,5,140,4.991833190533702,3.8414349616000836
2019,2019-01-11,mixed,persistence,5,140,50.94709288217665,24.20394262586451
2019,2019-01-11,mixed,smart_persistence,5,140,47.46161212799242,15.806597603968369
