horizon_min,year,gbm,persistence,smart_persistence,gbm_skill_vs_smart_pct
5,2019,40.14,48.32,42.93,6.51
5,2020,46.43,54.72,49.75,6.67
5,2021,56.73,65.9,62.42,9.11
5,2022,56.57,65.45,61.97,8.71
5,2023,58.22,62.3,62.05,6.18
5,2024,66.88,72.55,72.46,7.7
15,2019,53.4,84.06,61.59,13.3
15,2020,63.65,92.3,72.59,12.31
15,2021,74.16,104.17,87.4,15.15
15,2022,75.89,103.57,87.91,13.68
15,2023,75.93,101.82,85.73,11.44
15,2024,86.9,114.59,100.6,13.62
30,2019,59.77,122.48,71.19,16.04
30,2020,72.63,129.09,83.96,13.49
30,2021,82.33,139.08,98.29,16.24
30,2022,85.79,139.79,101.73,15.67
30,2023,84.84,138.87,96.1,11.72
30,2024,96.58,151.28,113.47,14.88
60,2019,67.16,194.42,81.58,17.67
60,2020,82.32,195.91,95.63,13.92
60,2021,91.81,204.76,110.59,16.98
60,2022,97.98,205.87,117.39,16.54
60,2023,98.72,211.62,111.05,11.1
60,2024,107.42,217.84,128.76,16.58
