run,horizon_min,model_A,model_B,n_common,n_days,RMSE_A,RMSE_B,dRMSE,pct_A_better_than_B,boot_lo,boot_hi,boot_p,boot_excludes_zero,DM_hac_hminus1,p_hac_hminus1,DM_hac_day,p_hac_day,hac_lag_day,A_better
C_full,5,gbm,gru,39380,356,88.562,90.3333,-1.7713,1.9609,-2.1893,-1.3606,0.0,True,-8.7382,2.46e-18,-6.728,1.743e-11,113,True
C_full,5,gbm,gru_tcn,39380,356,88.562,90.1888,-1.6268,1.8038,-2.0134,-1.2358,0.0,True,-7.6012,3e-14,-7.5038,6.331e-14,113,True
C_full,15,gbm,gru,38596,356,113.718,117.0783,-3.3603,2.8701,-4.0565,-2.6672,0.0,True,-9.2757,1.853e-20,-7.649,2.072e-14,111,True
C_full,15,gbm,gru_tcn,38596,356,113.718,116.3887,-2.6707,2.2946,-3.3171,-2.0402,0.0,True,-7.7658,8.316e-15,-7.4278,1.127e-13,111,True
C_full,30,gbm,gru,37495,356,125.555,129.7691,-4.214,3.2473,-5.1894,-3.2269,0.0,True,-7.971,1.619e-15,-6.9691,3.243e-12,108,True
C_full,30,gbm,gru_tcn,37495,356,125.555,128.4812,-2.9262,2.2775,-3.9911,-1.9008,0.0,True,-5.8811,4.111e-09,-4.6781,2.906e-06,108,True
C_full,60,gbm,gru,35373,356,138.246,143.4929,-5.2469,3.6566,-6.9535,-3.4462,0.0,True,-5.4938,3.96e-08,-5.078,3.833e-07,102,True
C_full,60,gbm,gru_tcn,35373,356,138.246,142.7732,-4.5272,3.1709,-6.0372,-2.8776,0.0,True,-5.5858,2.344e-08,-4.9687,6.771e-07,102,True
A,5,gbm,gru,39380,356,88.562,92.1636,-3.6017,3.9079,-4.1949,-2.9982,0.0,True,-12.8547,9.639e-38,-8.4011,4.568e-17,113,True
A,5,gbm,gru_tcn,39380,356,88.562,90.7333,-2.1713,2.393,-2.6757,-1.6681,0.0,True,-9.1089,8.7e-20,-6.3388,2.34e-10,113,True
A,15,gbm,gru,38596,356,113.718,119.9502,-6.2322,5.1956,-7.0651,-5.3881,0.0,True,-13.4555,3.539e-41,-10.7214,8.808e-27,111,True
A,15,gbm,gru_tcn,38596,356,113.718,118.1836,-4.4656,3.7785,-5.2303,-3.6841,0.0,True,-10.5799,4.01e-26,-8.6084,7.682e-18,111,True
A,30,gbm,gru,37495,356,125.555,130.7778,-5.2228,3.9936,-6.2632,-4.1774,0.0,True,-9.2318,2.796e-20,-8.2504,1.629e-16,108,True
A,30,gbm,gru_tcn,37495,356,125.555,130.0635,-4.5085,3.4664,-5.5971,-3.412,0.0,True,-7.5177,5.698e-14,-6.3451,2.248e-10,108,True
A,60,gbm,gru,35373,356,138.246,143.5153,-5.2693,3.6716,-6.789,-3.5785,0.0,True,-6.3177,2.687e-10,-5.9881,2.143e-09,102,True
A,60,gbm,gru_tcn,35373,356,138.246,142.6828,-4.4368,3.1096,-5.9421,-2.7818,0.0,True,-5.802,6.608e-09,-5.0031,5.669e-07,102,True
