model,horizon_min,n,MAE,RMSE,nRMSE,R2,skill_vs_ref,regime_basis
persistence,5,40905,44.4568,96.9219,0.1627,0.9064,-0.0065,causal_D012
smart_persistence,5,40905,39.9349,96.2944,0.1617,0.9076,0.0,causal_D012
linear_ar,5,40905,43.7239,90.4747,0.1519,0.9185,0.0604,causal_D012
gbm,5,40905,41.1705,87.3339,0.1466,0.924,0.0931,causal_D012
persistence,15,40094,81.3933,140.1635,0.2329,0.8023,-0.0553,causal_D012
smart_persistence,15,40094,61.8384,132.8192,0.2207,0.8225,0.0,causal_D012
linear_ar,15,40094,65.5824,117.2495,0.1948,0.8617,0.1172,causal_D012
gbm,15,40094,59.8615,113.1127,0.188,0.8712,0.1484,causal_D012
persistence,30,38960,118.0443,171.2613,0.2809,0.7032,-0.1563,causal_D012
smart_persistence,30,38960,75.0022,148.1124,0.2429,0.778,0.0,causal_D012
linear_ar,30,38960,78.3001,129.7327,0.2128,0.8297,0.1241,causal_D012
gbm,30,38960,70.4292,125.3295,0.2056,0.841,0.1538,causal_D012
persistence,60,36794,181.0586,229.665,0.369,0.4716,-0.4126,causal_D012
smart_persistence,60,36794,90.3907,162.5811,0.2612,0.7352,0.0,causal_D012
linear_ar,60,36794,93.109,143.0277,0.2298,0.795,0.1203,causal_D012
gbm,60,36794,84.1081,138.4229,0.2224,0.808,0.1486,causal_D012
