model,horizon_min,regime,n,MAE,RMSE,R2,skill_vs_ref,regime_basis
persistence,5,clear,21783,18.8079,41.7477,0.9718,0.008,causal_D012
persistence,5,transitional,15436,85.7494,148.1959,0.7536,-0.008,causal_D012
persistence,5,cloudy,3686,23.1102,44.4557,0.8776,-0.0147,causal_D012
smart_persistence,5,clear,21783,13.2127,42.0823,0.9713,0.0,causal_D012
smart_persistence,5,transitional,15436,81.8788,147.0195,0.7575,0.0,causal_D012
smart_persistence,5,cloudy,3686,22.2041,43.8119,0.8812,0.0,causal_D012
linear_ar,5,clear,21783,18.1385,41.8564,0.9716,0.0054,causal_D012
linear_ar,5,transitional,15436,83.2468,136.7212,0.7903,0.07,causal_D012
linear_ar,5,cloudy,3686,29.4131,46.97,0.8634,-0.0721,causal_D012
gbm,5,clear,21783,15.2478,40.4136,0.9736,0.0397,causal_D012
gbm,5,transitional,15436,82.2594,132.2842,0.8037,0.1002,causal_D012
gbm,5,cloudy,3686,22.2946,41.3346,0.8942,0.0565,causal_D012
persistence,15,clear,21496,46.9131,74.6185,0.9132,-0.2022,causal_D012
persistence,15,transitional,14988,137.3086,205.7734,0.5215,-0.0347,causal_D012
persistence,15,cloudy,3610,54.5585,96.1289,0.5974,-0.0262,causal_D012
smart_persistence,15,clear,21496,21.5948,62.0685,0.94,0.0,causal_D012
smart_persistence,15,transitional,14988,122.1549,198.8769,0.5531,0.0,causal_D012
smart_persistence,15,cloudy,3610,51.0492,93.6732,0.6177,0.0,causal_D012
linear_ar,15,clear,21496,30.8169,60.9965,0.942,0.0173,causal_D012
linear_ar,15,transitional,14988,116.3443,171.1869,0.6689,0.1392,causal_D012
linear_ar,15,cloudy,3610,61.8426,94.1349,0.6139,-0.0049,causal_D012
gbm,15,clear,21496,22.7083,57.279,0.9489,0.0772,causal_D012
gbm,15,transitional,14988,114.6409,166.2656,0.6876,0.164,causal_D012
gbm,15,cloudy,3610,53.6597,88.2652,0.6605,0.0577,causal_D012
persistence,30,clear,20991,84.7092,112.3601,0.8096,-0.514,causal_D012
persistence,30,transitional,14472,174.4396,237.2102,0.3628,-0.0927,causal_D012
persistence,30,cloudy,3497,84.7547,134.6325,0.3984,-0.0539,causal_D012
smart_persistence,30,clear,20991,30.1296,74.2132,0.917,0.0,causal_D012
smart_persistence,30,transitional,14472,139.8898,217.0832,0.4664,0.0,causal_D012
smart_persistence,30,cloudy,3497,75.822,127.7503,0.4583,0.0,causal_D012
linear_ar,30,clear,20991,40.9422,73.5609,0.9184,0.0088,causal_D012
linear_ar,30,transitional,14472,130.8824,183.9245,0.6169,0.1527,causal_D012
linear_ar,30,cloudy,3497,84.9368,122.6088,0.5011,0.0402,causal_D012
gbm,30,clear,20991,28.8352,68.0688,0.9301,0.0828,causal_D012
gbm,30,transitional,14472,128.6343,179.2979,0.636,0.1741,causal_D012
gbm,30,cloudy,3497,79.2233,118.9301,0.5305,0.069,causal_D012
persistence,60,clear,19929,154.466,186.5563,0.5098,-1.0656,causal_D012
persistence,60,transitional,13590,233.7441,288.7926,0.0794,-0.2571,causal_D012
persistence,60,cloudy,3275,124.2554,186.3442,0.1556,-0.1069,causal_D012
smart_persistence,60,clear,19929,43.8018,90.3166,0.8851,0.0,causal_D012
smart_persistence,60,transitional,13590,155.6636,229.7228,0.4175,0.0,causal_D012
smart_persistence,60,cloudy,3275,103.0357,168.3507,0.3108,0.0,causal_D012
linear_ar,60,clear,19929,54.9578,90.2462,0.8853,0.0008,causal_D012
linear_ar,60,transitional,13590,144.3899,193.9144,0.5849,0.1559,causal_D012
linear_ar,60,cloudy,3275,112.4708,155.6674,0.4107,0.0753,causal_D012
gbm,60,clear,19929,41.589,83.4457,0.9019,0.0761,causal_D012
gbm,60,transitional,13590,140.1135,189.1525,0.6051,0.1766,causal_D012
gbm,60,cloudy,3275,110.4443,156.2977,0.406,0.0716,causal_D012
