model,model_pretty,budget,horizon_min,n,MAE,RMSE,R2,skill_vs_smart_persistence,in_table2,source
persistence,Naive persistence,-,5,40905,44.4568,96.9219,0.9064,-0.0065,True,r1_p2_point_causal.csv
smart_persistence,Smart persistence,-,5,40905,39.9349,96.2944,0.9076,0.0,True,r1_p2_point_causal.csv
linear_ar,Linear AR,-,5,40905,43.7239,90.4747,0.9185,0.0604,True,r1_p2_point_causal.csv
gru,GRU,"15 epochs / 150,000 windows (run A)",5,39789,42.1544,91.9252,0.9165,0.0454,False,r1_p2_deep_causal.csv
gru,GRU,"30 epochs / all windows (run C)",5,39789,41.7265,90.0726,0.9198,0.0646,True,r1_p2_deep_causal_full.csv
gru_tcn,GRU-TCN,"15 epochs / 150,000 windows (run A)",5,39789,42.4852,90.498,0.9191,0.0602,False,r1_p2_deep_causal.csv
gru_tcn,GRU-TCN,"30 epochs / all windows (run C)",5,39789,44.3443,89.9282,0.9201,0.0661,True,r1_p2_deep_causal_full.csv
gbm,GBM,-,5,40905,41.1705,87.3339,0.924,0.0931,True,r1_p2_point_causal.csv
persistence,Naive persistence,-,15,40094,81.3933,140.1635,0.8023,-0.0553,True,r1_p2_point_causal.csv
smart_persistence,Smart persistence,-,15,40094,61.8384,132.8192,0.8225,0.0,True,r1_p2_point_causal.csv
linear_ar,Linear AR,-,15,40094,65.5824,117.2495,0.8617,0.1172,True,r1_p2_point_causal.csv
gru,GRU,"15 epochs / 150,000 windows (run A)",15,39000,66.3147,119.6573,0.8568,0.0991,False,r1_p2_deep_causal.csv
gru,GRU,"30 epochs / all windows (run C)",15,39000,65.7165,116.7821,0.8636,0.1207,True,r1_p2_deep_causal_full.csv
gru_tcn,GRU-TCN,"15 epochs / 150,000 windows (run A)",15,39000,64.6403,117.9189,0.8609,0.1122,False,r1_p2_deep_causal.csv
gru_tcn,GRU-TCN,"30 epochs / all windows (run C)",15,39000,65.2983,116.0958,0.8652,0.1259,True,r1_p2_deep_causal_full.csv
gbm,GBM,-,15,40094,59.8615,113.1127,0.8712,0.1484,True,r1_p2_point_causal.csv
persistence,Naive persistence,-,30,38960,118.0443,171.2613,0.7032,-0.1563,True,r1_p2_point_causal.csv
smart_persistence,Smart persistence,-,30,38960,75.0022,148.1124,0.778,0.0,True,r1_p2_point_causal.csv
linear_ar,Linear AR,-,30,38960,78.3001,129.7327,0.8297,0.1241,True,r1_p2_point_causal.csv
gru,GRU,"15 epochs / 150,000 windows (run A)",30,37897,77.7485,130.5956,0.828,0.1183,False,r1_p2_deep_causal.csv
gru,GRU,"30 epochs / all windows (run C)",30,37897,77.5571,129.5867,0.8307,0.1251,True,r1_p2_deep_causal_full.csv
gru_tcn,GRU-TCN,"15 epochs / 150,000 windows (run A)",30,37897,73.051,129.8849,0.8299,0.1231,False,r1_p2_deep_causal.csv
gru_tcn,GRU-TCN,"30 epochs / all windows (run C)",30,37897,73.8617,128.3475,0.8339,0.1334,True,r1_p2_deep_causal_full.csv
gbm,GBM,-,30,38960,70.4292,125.3295,0.841,0.1538,True,r1_p2_point_causal.csv
persistence,Naive persistence,-,60,36794,181.0586,229.665,0.4716,-0.4126,True,r1_p2_point_causal.csv
smart_persistence,Smart persistence,-,60,36794,90.3907,162.5811,0.7352,0.0,True,r1_p2_point_causal.csv
linear_ar,Linear AR,-,60,36794,93.109,143.0277,0.795,0.1203,True,r1_p2_point_causal.csv
gru,GRU,"15 epochs / 150,000 windows (run A)",60,35769,88.9247,143.6257,0.7935,0.1166,False,r1_p2_deep_causal.csv
gru,GRU,"30 epochs / all windows (run C)",60,35769,84.5405,143.5212,0.7938,0.1172,True,r1_p2_deep_causal_full.csv
gru_tcn,GRU-TCN,"15 epochs / 150,000 windows (run A)",60,35769,90.6282,142.8332,0.7958,0.1215,False,r1_p2_deep_causal.csv
gru_tcn,GRU-TCN,"30 epochs / all windows (run C)",60,35769,88.4727,142.8588,0.7957,0.1213,True,r1_p2_deep_causal_full.csv
gbm,GBM,-,60,36794,84.1081,138.4229,0.808,0.1486,True,r1_p2_point_causal.csv
