horizon_min,term,level,F_ols,p_ols,chi2_mixed_day_RE,p_mixed_day_RE,chi2_cluster_by_day,p_cluster_by_day,n_obs,n_days,var_day,var_resid,icc_day,still_significant_at_05
5,model,within-day,11.3255,1.230596134101212e-05,4.3673,0.11263005824550558,19.8031,5.0097300689760314e-05,6396,2132,2586.12,26.501,0.9899,False
5,day_class,between-day,165.7363,6.738348802570596e-71,87.5073,9.954647620470671e-20,763.3326,1.7556440489286242e-166,6396,2132,2586.12,26.501,0.9899,True
5,model:day_class,within-day,0.9689,0.4231597544023088,381.507,2.751411240688038e-81,1753.9847,0.0,6396,2132,2586.12,26.501,0.9899,True
5,year,between-day,37.4295,5.852255680995608e-38,62.7103,3.3423667356520698e-12,65.2081,1.0146944887495447e-12,6396,2132,2586.12,26.501,0.9899,True
15,model,within-day,97.4548,2.0387182386019603e-42,572.5942,4.6000085962314285e-125,767.9893,1.710995532127402e-167,6396,2132,4411.955,93.09,0.9793,True
15,day_class,between-day,187.4975,7.47150664863768e-80,117.1342,3.669727284738312e-26,1120.45,4.98171280009228e-244,6396,2132,4411.955,93.09,0.9793,True
15,model:day_class,within-day,3.9259,0.0034696488913432528,758.8186,6.380906127709576e-163,5733.26,0.0,6396,2132,4411.955,93.09,0.9793,True
15,year,between-day,32.0636,2.1977691717977716e-32,54.1036,1.9955088449356874e-10,55.7726,9.051607096748064e-11,6396,2132,4411.955,93.09,0.9793,True
30,model,within-day,361.589,1.7435954512654652e-149,1810.3489,0.0,3639.9186,0.0,6396,2132,4911.886,195.376,0.9617,True
30,day_class,between-day,199.0659,1.3685367080020873e-84,165.5396,1.1312060692246776e-36,1274.7551,1.550388464665393e-277,6396,2132,4911.886,195.376,0.9617,True
30,model:day_class,within-day,12.9742,1.597517531316643e-10,1354.6497,4.709676147619161e-292,5972.3353,0.0,6396,2132,4911.886,195.376,0.9617,True
30,year,between-day,29.5186,9.73083510486964e-30,50.4118,1.1413092395257966e-09,51.4927,6.854747347803792e-10,6396,2132,4911.886,195.376,0.9617,True
60,model,within-day,1470.7034,0.0,2958.6666,0.0,7878.488,0.0,6396,2132,4961.689,554.886,0.8994,True
60,day_class,between-day,204.7242,6.6851295314443e-87,252.7335,1.3170675495948716e-55,1398.8426,1.758679812944878e-304,6396,2132,4961.689,554.886,0.8994,True
60,model:day_class,within-day,48.2597,4.78532061659236e-40,1916.4536,0.0,3809.5309,0.0,6396,2132,4961.689,554.886,0.8994,True
60,year,between-day,31.0714,2.363263415028083e-31,55.4297,1.0649315042107305e-10,57.7098,3.610293480986661e-11,6396,2132,4961.689,554.886,0.8994,True
