site,horizon_min,policy,theta,n_days,block,expected_block_days,B,vc_mean_lo,vc_mean_hi,vc_cvar_lo,vc_cvar_hi
asp,5,icp,0.9,362,iid_days,1,10000,0.8703,0.9245,0.6106,0.7945
asp,5,icp,0.9,362,stationary_exp2d,2,10000,0.8655,0.9278,0.5962,0.8019
asp,5,icp,0.9,362,stationary_exp3d,3,10000,0.862,0.9298,0.5877,0.804
asp,5,icp,0.9,362,stationary_exp5d,5,10000,0.8589,0.9318,0.5795,0.8081
asp,5,icp,0.9,362,stationary_exp7d,7,10000,0.8556,0.9324,0.5689,0.8096
asp,5,mondrian,0.825,362,iid_days,1,10000,0.9072,0.9576,0.6411,0.8622
asp,5,mondrian,0.825,362,stationary_exp2d,2,10000,0.9018,0.9609,0.6246,0.8736
asp,5,mondrian,0.825,362,stationary_exp3d,3,10000,0.8975,0.9626,0.6111,0.8808
asp,5,mondrian,0.825,362,stationary_exp5d,5,10000,0.8928,0.9643,0.5994,0.8867
asp,5,mondrian,0.825,362,stationary_exp7d,7,10000,0.8891,0.9653,0.5891,0.8897
asp,5,cqr,0.825,362,iid_days,1,10000,0.9007,0.9404,0.7264,0.8639
asp,5,cqr,0.825,362,stationary_exp2d,2,10000,0.8986,0.9424,0.7211,0.8685
asp,5,cqr,0.825,362,stationary_exp3d,3,10000,0.8975,0.9436,0.7175,0.8699
asp,5,cqr,0.825,362,stationary_exp5d,5,10000,0.8955,0.9441,0.7098,0.8728
asp,5,cqr,0.825,362,stationary_exp7d,7,10000,0.8942,0.9445,0.7046,0.8733
asp,5,mondrian_cqr,0.825,362,iid_days,1,10000,0.9007,0.9409,0.7255,0.866
asp,5,mondrian_cqr,0.825,362,stationary_exp2d,2,10000,0.8982,0.9419,0.7203,0.8668
asp,5,mondrian_cqr,0.825,362,stationary_exp3d,3,10000,0.8968,0.9428,0.7174,0.8689
asp,5,mondrian_cqr,0.825,362,stationary_exp5d,5,10000,0.8942,0.944,0.7079,0.8718
asp,5,mondrian_cqr,0.825,362,stationary_exp7d,7,10000,0.8928,0.9441,0.7028,0.8725
asp,60,icp,0.875,362,iid_days,1,10000,0.522,0.6027,0.3637,0.4369
asp,60,icp,0.875,362,stationary_exp2d,2,10000,0.5214,0.6048,0.3644,0.438
asp,60,icp,0.875,362,stationary_exp3d,3,10000,0.5198,0.6066,0.3659,0.4402
asp,60,icp,0.875,362,stationary_exp5d,5,10000,0.5182,0.6093,0.3677,0.4428
asp,60,icp,0.875,362,stationary_exp7d,7,10000,0.5178,0.613,0.3696,0.4461
asp,60,mondrian,0.875,362,iid_days,1,10000,0.6992,0.7747,0.5783,0.7407
asp,60,mondrian,0.875,362,stationary_exp2d,2,10000,0.699,0.7759,0.5708,0.7442
asp,60,mondrian,0.875,362,stationary_exp3d,3,10000,0.6979,0.7766,0.5685,0.7473
asp,60,mondrian,0.875,362,stationary_exp5d,5,10000,0.6991,0.7756,0.5688,0.7472
asp,60,mondrian,0.875,362,stationary_exp7d,7,10000,0.7005,0.7748,0.5744,0.7466
asp,60,cqr,0.825,362,iid_days,1,10000,0.7111,0.7873,0.6285,0.7712
asp,60,cqr,0.825,362,stationary_exp2d,2,10000,0.7117,0.7869,0.6226,0.7732
asp,60,cqr,0.825,362,stationary_exp3d,3,10000,0.7124,0.7872,0.6219,0.7742
asp,60,cqr,0.825,362,stationary_exp5d,5,10000,0.7114,0.7881,0.6203,0.7757
asp,60,cqr,0.825,362,stationary_exp7d,7,10000,0.7131,0.7877,0.6199,0.7763
asp,60,mondrian_cqr,0.825,362,iid_days,1,10000,0.7116,0.7874,0.628,0.7708
asp,60,mondrian_cqr,0.825,362,stationary_exp2d,2,10000,0.7118,0.7861,0.622,0.7738
asp,60,mondrian_cqr,0.825,362,stationary_exp3d,3,10000,0.7112,0.7867,0.6223,0.7749
asp,60,mondrian_cqr,0.825,362,stationary_exp5d,5,10000,0.7133,0.787,0.6205,0.7763
asp,60,mondrian_cqr,0.825,362,stationary_exp7d,7,10000,0.7127,0.7885,0.6191,0.7751
asp,15,icp,0.875,362,iid_days,1,10000,0.7131,0.7747,0.5456,0.6326
asp,15,icp,0.875,362,stationary_exp2d,2,10000,0.7113,0.776,0.5469,0.6328
asp,15,icp,0.875,362,stationary_exp3d,3,10000,0.7102,0.7772,0.5468,0.6349
asp,15,icp,0.875,362,stationary_exp5d,5,10000,0.7093,0.7772,0.5474,0.6346
asp,15,icp,0.875,362,stationary_exp7d,7,10000,0.7098,0.7782,0.5478,0.6352
asp,15,mondrian,0.825,362,iid_days,1,10000,0.8612,0.9083,0.7085,0.8505
asp,15,mondrian,0.825,362,stationary_exp2d,2,10000,0.8584,0.909,0.7036,0.8525
asp,15,mondrian,0.825,362,stationary_exp3d,3,10000,0.8564,0.9104,0.7042,0.8555
asp,15,mondrian,0.825,362,stationary_exp5d,5,10000,0.8549,0.912,0.7014,0.8593
asp,15,mondrian,0.825,362,stationary_exp7d,7,10000,0.8531,0.912,0.7001,0.8604
asp,15,cqr,0.775,362,iid_days,1,10000,0.8423,0.8887,0.7458,0.8505
asp,15,cqr,0.775,362,stationary_exp2d,2,10000,0.8387,0.8911,0.7413,0.8541
asp,15,cqr,0.775,362,stationary_exp3d,3,10000,0.8362,0.8926,0.7377,0.8555
asp,15,cqr,0.775,362,stationary_exp5d,5,10000,0.8331,0.8939,0.7323,0.8571
asp,15,cqr,0.775,362,stationary_exp7d,7,10000,0.8324,0.8944,0.7295,0.8593
asp,15,mondrian_cqr,0.775,362,iid_days,1,10000,0.8426,0.8885,0.7447,0.8514
asp,15,mondrian_cqr,0.775,362,stationary_exp2d,2,10000,0.839,0.8908,0.7429,0.8545
asp,15,mondrian_cqr,0.775,362,stationary_exp3d,3,10000,0.8362,0.8921,0.7376,0.8553
asp,15,mondrian_cqr,0.775,362,stationary_exp5d,5,10000,0.8331,0.8934,0.7344,0.8581
asp,15,mondrian_cqr,0.775,362,stationary_exp7d,7,10000,0.831,0.8934,0.7311,0.8589
asp,30,icp,0.875,362,iid_days,1,10000,0.6365,0.71,0.4643,0.5467
asp,30,icp,0.875,362,stationary_exp2d,2,10000,0.6358,0.7104,0.464,0.5478
asp,30,icp,0.875,362,stationary_exp3d,3,10000,0.6347,0.7124,0.4649,0.5498
asp,30,icp,0.875,362,stationary_exp5d,5,10000,0.6347,0.7153,0.4664,0.5505
asp,30,icp,0.875,362,stationary_exp7d,7,10000,0.6338,0.7173,0.4676,0.5515
asp,30,mondrian,0.85,362,iid_days,1,10000,0.7895,0.8504,0.6577,0.808
asp,30,mondrian,0.85,362,stationary_exp2d,2,10000,0.7893,0.8513,0.6554,0.8085
asp,30,mondrian,0.85,362,stationary_exp3d,3,10000,0.7888,0.8515,0.6552,0.8085
asp,30,mondrian,0.85,362,stationary_exp5d,5,10000,0.7882,0.852,0.6563,0.8106
asp,30,mondrian,0.85,362,stationary_exp7d,7,10000,0.788,0.853,0.6573,0.8121
asp,30,cqr,0.825,362,iid_days,1,10000,0.7912,0.8462,0.737,0.8324
asp,30,cqr,0.825,362,stationary_exp2d,2,10000,0.7893,0.8475,0.7392,0.8313
asp,30,cqr,0.825,362,stationary_exp3d,3,10000,0.7889,0.8488,0.7404,0.8306
asp,30,cqr,0.825,362,stationary_exp5d,5,10000,0.788,0.8506,0.7396,0.8314
asp,30,cqr,0.825,362,stationary_exp7d,7,10000,0.7869,0.8521,0.7396,0.8324
asp,30,mondrian_cqr,0.825,362,iid_days,1,10000,0.7911,0.8474,0.7361,0.831
asp,30,mondrian_cqr,0.825,362,stationary_exp2d,2,10000,0.7911,0.8491,0.7386,0.8311
asp,30,mondrian_cqr,0.825,362,stationary_exp3d,3,10000,0.7898,0.8495,0.7392,0.8307
asp,30,mondrian_cqr,0.825,362,stationary_exp5d,5,10000,0.7894,0.8519,0.7397,0.8305
asp,30,mondrian_cqr,0.825,362,stationary_exp7d,7,10000,0.7879,0.8531,0.7401,0.832
yulara,5,icp,0.9,357,iid_days,1,10000,0.9,0.9481,0.6787,0.8472
yulara,5,icp,0.9,357,stationary_exp2d,2,10000,0.8991,0.949,0.676,0.8498
yulara,5,icp,0.9,357,stationary_exp3d,3,10000,0.8985,0.9487,0.6754,0.8512
yulara,5,icp,0.9,357,stationary_exp5d,5,10000,0.8998,0.9485,0.6765,0.8498
yulara,5,icp,0.9,357,stationary_exp7d,7,10000,0.8999,0.9483,0.6748,0.8505
yulara,5,mondrian,0.825,357,iid_days,1,10000,0.9349,0.9682,0.7942,0.9121
yulara,5,mondrian,0.825,357,stationary_exp2d,2,10000,0.9348,0.9686,0.795,0.9118
yulara,5,mondrian,0.825,357,stationary_exp3d,3,10000,0.935,0.9683,0.7958,0.9117
yulara,5,mondrian,0.825,357,stationary_exp5d,5,10000,0.9352,0.9684,0.7967,0.9123
yulara,5,mondrian,0.825,357,stationary_exp7d,7,10000,0.9352,0.9682,0.7992,0.9102
yulara,5,cqr,0.8,357,iid_days,1,10000,0.9478,0.9688,0.8772,0.9284
yulara,5,cqr,0.8,357,stationary_exp2d,2,10000,0.9465,0.9695,0.8771,0.929
yulara,5,cqr,0.8,357,stationary_exp3d,3,10000,0.9456,0.9697,0.8766,0.9289
yulara,5,cqr,0.8,357,stationary_exp5d,5,10000,0.9447,0.9702,0.8763,0.9303
yulara,5,cqr,0.8,357,stationary_exp7d,7,10000,0.9436,0.9708,0.8745,0.9317
yulara,5,mondrian_cqr,0.8,357,iid_days,1,10000,0.9482,0.9693,0.8775,0.9278
yulara,5,mondrian_cqr,0.8,357,stationary_exp2d,2,10000,0.947,0.9698,0.8768,0.9281
yulara,5,mondrian_cqr,0.8,357,stationary_exp3d,3,10000,0.9462,0.9702,0.8764,0.9285
yulara,5,mondrian_cqr,0.8,357,stationary_exp5d,5,10000,0.9451,0.9711,0.8753,0.9301
yulara,5,mondrian_cqr,0.8,357,stationary_exp7d,7,10000,0.9445,0.9712,0.875,0.9311
yulara,60,icp,0.9,356,iid_days,1,10000,0.6347,0.7161,0.495,0.6202
yulara,60,icp,0.9,356,stationary_exp2d,2,10000,0.6327,0.7167,0.4968,0.6258
yulara,60,icp,0.9,356,stationary_exp3d,3,10000,0.633,0.7148,0.4993,0.6286
yulara,60,icp,0.9,356,stationary_exp5d,5,10000,0.633,0.7138,0.5005,0.6303
yulara,60,icp,0.9,356,stationary_exp7d,7,10000,0.634,0.7147,0.5024,0.6351
yulara,60,mondrian,0.875,356,iid_days,1,10000,0.7583,0.8221,0.7154,0.8195
yulara,60,mondrian,0.875,356,stationary_exp2d,2,10000,0.7547,0.8227,0.7173,0.8154
yulara,60,mondrian,0.875,356,stationary_exp3d,3,10000,0.7523,0.8224,0.7192,0.8143
yulara,60,mondrian,0.875,356,stationary_exp5d,5,10000,0.7512,0.8228,0.7223,0.8121
yulara,60,mondrian,0.875,356,stationary_exp7d,7,10000,0.7486,0.8235,0.7252,0.811
yulara,60,cqr,0.875,356,iid_days,1,10000,0.7732,0.84,0.8027,0.8706
yulara,60,cqr,0.875,356,stationary_exp2d,2,10000,0.7675,0.8436,0.8015,0.8689
yulara,60,cqr,0.875,356,stationary_exp3d,3,10000,0.763,0.8449,0.8028,0.8685
yulara,60,cqr,0.875,356,stationary_exp5d,5,10000,0.7603,0.8467,0.8036,0.867
yulara,60,cqr,0.875,356,stationary_exp7d,7,10000,0.7537,0.8486,0.8032,0.8668
yulara,60,mondrian_cqr,0.875,356,iid_days,1,10000,0.7672,0.8348,0.8061,0.8711
yulara,60,mondrian_cqr,0.875,356,stationary_exp2d,2,10000,0.76,0.8384,0.806,0.8704
yulara,60,mondrian_cqr,0.875,356,stationary_exp3d,3,10000,0.7577,0.8418,0.8059,0.8706
yulara,60,mondrian_cqr,0.875,356,stationary_exp5d,5,10000,0.7522,0.8436,0.806,0.8701
yulara,60,mondrian_cqr,0.875,356,stationary_exp7d,7,10000,0.7475,0.8445,0.8052,0.8691
yulara,15,icp,0.875,356,iid_days,1,10000,0.6724,0.7447,0.4593,0.5825
yulara,15,icp,0.875,356,stationary_exp2d,2,10000,0.6701,0.7459,0.4577,0.5862
yulara,15,icp,0.875,356,stationary_exp3d,3,10000,0.6685,0.7461,0.4606,0.5866
yulara,15,icp,0.875,356,stationary_exp5d,5,10000,0.6676,0.7485,0.4624,0.5916
yulara,15,icp,0.875,356,stationary_exp7d,7,10000,0.6674,0.7497,0.4658,0.5931
yulara,15,mondrian,0.8,356,iid_days,1,10000,0.8674,0.9178,0.702,0.8306
yulara,15,mondrian,0.8,356,stationary_exp2d,2,10000,0.8674,0.9174,0.7024,0.8308
yulara,15,mondrian,0.8,356,stationary_exp3d,3,10000,0.8675,0.9165,0.7049,0.8304
yulara,15,mondrian,0.8,356,stationary_exp5d,5,10000,0.8674,0.9164,0.7084,0.8279
yulara,15,mondrian,0.8,356,stationary_exp7d,7,10000,0.8679,0.9165,0.7108,0.8282
yulara,15,cqr,0.8,356,iid_days,1,10000,0.8869,0.9247,0.8257,0.8946
yulara,15,cqr,0.8,356,stationary_exp2d,2,10000,0.8838,0.9258,0.8249,0.8946
yulara,15,cqr,0.8,356,stationary_exp3d,3,10000,0.8824,0.9264,0.8253,0.8934
yulara,15,cqr,0.8,356,stationary_exp5d,5,10000,0.8801,0.9278,0.824,0.8931
yulara,15,cqr,0.8,356,stationary_exp7d,7,10000,0.8775,0.9283,0.8237,0.8937
yulara,15,mondrian_cqr,0.8,356,iid_days,1,10000,0.8862,0.9233,0.8265,0.8941
yulara,15,mondrian_cqr,0.8,356,stationary_exp2d,2,10000,0.8833,0.9249,0.826,0.894
yulara,15,mondrian_cqr,0.8,356,stationary_exp3d,3,10000,0.8823,0.926,0.8255,0.8933
yulara,15,mondrian_cqr,0.8,356,stationary_exp5d,5,10000,0.8793,0.927,0.823,0.8933
yulara,15,mondrian_cqr,0.8,356,stationary_exp7d,7,10000,0.877,0.928,0.8229,0.8937
yulara,30,icp,0.875,356,iid_days,1,10000,0.6046,0.6777,0.4175,0.525
yulara,30,icp,0.875,356,stationary_exp2d,2,10000,0.6032,0.6784,0.4165,0.5299
yulara,30,icp,0.875,356,stationary_exp3d,3,10000,0.6004,0.682,0.4173,0.5351
yulara,30,icp,0.875,356,stationary_exp5d,5,10000,0.6006,0.6827,0.4193,0.5359
yulara,30,icp,0.875,356,stationary_exp7d,7,10000,0.5985,0.686,0.4196,0.54
yulara,30,mondrian,0.85,356,iid_days,1,10000,0.8411,0.8906,0.782,0.8737
yulara,30,mondrian,0.85,356,stationary_exp2d,2,10000,0.8385,0.8913,0.7824,0.8747
yulara,30,mondrian,0.85,356,stationary_exp3d,3,10000,0.8354,0.8925,0.781,0.8743
yulara,30,mondrian,0.85,356,stationary_exp5d,5,10000,0.8339,0.8936,0.7853,0.8726
yulara,30,mondrian,0.85,356,stationary_exp7d,7,10000,0.8293,0.8948,0.785,0.8727
yulara,30,cqr,0.825,356,iid_days,1,10000,0.8371,0.8868,0.8072,0.8802
yulara,30,cqr,0.825,356,stationary_exp2d,2,10000,0.8329,0.8888,0.8069,0.8795
yulara,30,cqr,0.825,356,stationary_exp3d,3,10000,0.831,0.8907,0.8066,0.8789
yulara,30,cqr,0.825,356,stationary_exp5d,5,10000,0.8265,0.8923,0.8075,0.8782
yulara,30,cqr,0.825,356,stationary_exp7d,7,10000,0.8249,0.8942,0.8066,0.8774
yulara,30,mondrian_cqr,0.825,356,iid_days,1,10000,0.835,0.8841,0.8073,0.881
yulara,30,mondrian_cqr,0.825,356,stationary_exp2d,2,10000,0.8306,0.8867,0.8068,0.8808
yulara,30,mondrian_cqr,0.825,356,stationary_exp3d,3,10000,0.8283,0.8873,0.8083,0.8791
yulara,30,mondrian_cqr,0.825,356,stationary_exp5d,5,10000,0.8241,0.8895,0.807,0.8781
yulara,30,mondrian_cqr,0.825,356,stationary_exp7d,7,10000,0.8211,0.8912,0.8064,0.8782
