site,horizon_min,metric,contrast,block,expected_block_days,B,diff_lo,diff_hi,excludes_zero
yulara,5,VC_mean,icp_minus_mondrian_cqr,iid_days,1,10000,-0.058,-0.0126,True
yulara,5,VC_cvar,icp_minus_mondrian_cqr,iid_days,1,10000,-0.2278,-0.0586,True
yulara,5,VC_mean,icp_minus_mondrian_cqr,stationary_exp2d,2,10000,-0.0579,-0.0121,True
yulara,5,VC_cvar,icp_minus_mondrian_cqr,stationary_exp2d,2,10000,-0.2309,-0.056,True
yulara,5,VC_mean,icp_minus_mondrian_cqr,stationary_exp3d,3,10000,-0.0572,-0.012,True
yulara,5,VC_cvar,icp_minus_mondrian_cqr,stationary_exp3d,3,10000,-0.229,-0.0549,True
yulara,5,VC_mean,icp_minus_mondrian_cqr,stationary_exp5d,5,10000,-0.0574,-0.0116,True
yulara,5,VC_cvar,icp_minus_mondrian_cqr,stationary_exp5d,5,10000,-0.231,-0.053,True
yulara,5,VC_mean,icp_minus_mondrian_cqr,stationary_exp7d,7,10000,-0.0563,-0.0109,True
yulara,5,VC_cvar,icp_minus_mondrian_cqr,stationary_exp7d,7,10000,-0.2279,-0.0534,True
yulara,15,VC_mean,icp_minus_mondrian_cqr,iid_days,1,10000,-0.237,-0.1574,True
yulara,15,VC_cvar,icp_minus_mondrian_cqr,iid_days,1,10000,-0.4044,-0.2753,True
yulara,15,VC_mean,icp_minus_mondrian_cqr,stationary_exp2d,2,10000,-0.2403,-0.1545,True
yulara,15,VC_cvar,icp_minus_mondrian_cqr,stationary_exp2d,2,10000,-0.4004,-0.2689,True
yulara,15,VC_mean,icp_minus_mondrian_cqr,stationary_exp3d,3,10000,-0.2423,-0.1499,True
yulara,15,VC_cvar,icp_minus_mondrian_cqr,stationary_exp3d,3,10000,-0.4002,-0.2666,True
yulara,15,VC_mean,icp_minus_mondrian_cqr,stationary_exp5d,5,10000,-0.2446,-0.1444,True
yulara,15,VC_cvar,icp_minus_mondrian_cqr,stationary_exp5d,5,10000,-0.3981,-0.2608,True
yulara,15,VC_mean,icp_minus_mondrian_cqr,stationary_exp7d,7,10000,-0.2451,-0.1409,True
