site,horizon_min,variant,point_RMSE,point_MAE,method,scope,n,PICP,ACE,PINAW
yulara,5,published,87.3339,41.1705,icp,all,40905,0.8763,-0.0237,0.14
yulara,5,published,87.3339,41.1705,icp,clear,21783,0.9763,0.0763,0.1558
yulara,5,published,87.3339,41.1705,icp,transitional,15436,0.7131,-0.1869,0.1397
yulara,5,published,87.3339,41.1705,icp,cloudy,3686,0.9696,0.0696,0.1666
yulara,5,published,87.3339,41.1705,icp_norm,all,40905,0.8909,-0.0091,0.2113
yulara,5,published,87.3339,41.1705,icp_norm,clear,21783,0.9406,0.0406,0.2441
yulara,5,published,87.3339,41.1705,icp_norm,transitional,15436,0.7985,-0.1015,0.2026
yulara,5,published,87.3339,41.1705,icp_norm,cloudy,3686,0.984,0.084,0.2352
yulara,5,published,87.3339,41.1705,mondrian,all,40905,0.8878,-0.0122,0.1355
yulara,5,published,87.3339,41.1705,mondrian,clear,21783,0.8899,-0.0101,0.0559
yulara,5,published,87.3339,41.1705,mondrian,transitional,15436,0.8816,-0.0184,0.2695
yulara,5,published,87.3339,41.1705,mondrian,cloudy,3686,0.901,0.001,0.0943
yulara,5,published,87.3339,41.1705,cqr,all,40905,0.8988,-0.0012,0.1446
yulara,5,published,87.3339,41.1705,cqr,clear,21783,0.904,0.004,0.0807
yulara,5,published,87.3339,41.1705,cqr,transitional,15436,0.8794,-0.0206,0.2459
yulara,5,published,87.3339,41.1705,cqr,cloudy,3686,0.949,0.049,0.1789
yulara,5,published,87.3339,41.1705,mondrian_cqr,all,40905,0.9004,0.0004,0.146
yulara,5,published,87.3339,41.1705,mondrian_cqr,clear,21783,0.8978,-0.0022,0.0774
yulara,5,published,87.3339,41.1705,mondrian_cqr,transitional,15436,0.9002,0.0002,0.2559
yulara,5,published,87.3339,41.1705,mondrian_cqr,cloudy,3686,0.9167,0.0167,0.169
yulara,5,clean,87.6,41.1988,icp,all,35533,0.8848,-0.0152,0.1482
yulara,5,clean,87.6,41.1988,icp,clear,18942,0.98,0.08,0.1651
yulara,5,clean,87.6,41.1988,icp,transitional,13306,0.7273,-0.1727,0.1479
yulara,5,clean,87.6,41.1988,icp,cloudy,3285,0.9732,0.0732,0.1752
yulara,5,clean,87.6,41.1988,icp_norm,all,35533,0.8945,-0.0055,0.2222
yulara,5,clean,87.6,41.1988,icp_norm,clear,18942,0.9394,0.0394,0.2572
yulara,5,clean,87.6,41.1988,icp_norm,transitional,13306,0.8081,-0.0919,0.2126
yulara,5,clean,87.6,41.1988,icp_norm,cloudy,3285,0.9854,0.0854,0.2465
yulara,5,clean,87.6,41.1988,mondrian,all,35533,0.892,-0.008,0.1401
yulara,5,clean,87.6,41.1988,mondrian,clear,18942,0.8952,-0.0048,0.0614
yulara,5,clean,87.6,41.1988,mondrian,transitional,13306,0.8852,-0.0148,0.2762
yulara,5,clean,87.6,41.1988,mondrian,cloudy,3285,0.9017,0.0017,0.0942
yulara,5,clean,87.6,41.1988,cqr,all,35533,0.9,0.0,0.1457
yulara,5,clean,87.6,41.1988,cqr,clear,18942,0.9045,0.0045,0.0838
yulara,5,clean,87.6,41.1988,cqr,transitional,13306,0.8805,-0.0195,0.2459
