site,horizon_min,policy,theta,mean_daily,cvar95_daily,vc_mean,vc_cvar,vc_mean_ci,vc_cvar_ci
asp,5,icp,0.9,18.26,192.92,0.899,0.711,"[0.870, 0.924]","[0.611, 0.794]"
asp,5,mondrian,0.825,11.87,158.83,0.934,0.762,"[0.907, 0.958]","[0.646, 0.863]"
asp,5,cqr,0.825,14.1,132.13,0.922,0.802,"[0.900, 0.941]","[0.726, 0.866]"
asp,5,mondrian_cqr,0.825,14.13,132.11,0.922,0.802,"[0.900, 0.941]","[0.726, 0.866]"
asp,15,icp,0.875,88.49,621.88,0.744,0.587,"[0.713, 0.775]","[0.546, 0.633]"
asp,15,mondrian,0.825,39.34,328.82,0.886,0.782,"[0.861, 0.909]","[0.707, 0.850]"
asp,15,cqr,0.775,45.89,297.39,0.867,0.802,"[0.842, 0.889]","[0.745, 0.851]"
asp,15,mondrian_cqr,0.775,45.98,297.16,0.867,0.803,"[0.842, 0.888]","[0.745, 0.852]"
asp,30,icp,0.875,148.78,1168.49,0.672,0.501,"[0.637, 0.710]","[0.465, 0.548]"
asp,30,mondrian,0.85,80.89,621.03,0.822,0.735,"[0.790, 0.851]","[0.657, 0.808]"
asp,30,cqr,0.825,81.44,498.04,0.821,0.787,"[0.791, 0.847]","[0.736, 0.832]"
asp,30,mondrian_cqr,0.825,80.99,498.39,0.822,0.787,"[0.792, 0.848]","[0.735, 0.831]"
asp,60,icp,0.875,247.5,1986.46,0.561,0.398,"[0.523, 0.603]","[0.366, 0.438]"
asp,60,mondrian,0.875,146.9,1112.51,0.739,0.663,"[0.700, 0.776]","[0.579, 0.740]"
asp,60,cqr,0.825,140.09,976.89,0.751,0.704,"[0.712, 0.788]","[0.626, 0.770]"
asp,60,mondrian_cqr,0.825,140.15,975.36,0.751,0.705,"[0.712, 0.788]","[0.627, 0.770]"
