family,site,horizon_min,metric,policy_a,policy_b,diff_point,p_two_sided,p_holm,method_a,method_b
decision_vc_all96,asp,5,VC_cvar,cqr,mondrian_cqr,0.0,0.9824,1.0,,
decision_vc_all96,asp,5,VC_cvar,icp,cqr,-0.0914,0.0002,0.0106,,
decision_vc_all96,asp,5,VC_cvar,icp,mondrian,-0.052,0.0776,1.0,,
decision_vc_all96,asp,5,VC_cvar,icp,mondrian_cqr,-0.0914,0.0004,0.020800000000000003,,
decision_vc_all96,asp,5,VC_cvar,mondrian,cqr,-0.0394,0.1912,1.0,,
decision_vc_all96,asp,5,VC_cvar,mondrian,mondrian_cqr,-0.0394,0.1926,1.0,,
decision_vc_all96,asp,15,VC_cvar,cqr,mondrian_cqr,-0.0002,0.2526,1.0,,
decision_vc_all96,asp,15,VC_cvar,icp,cqr,-0.2137,0.0,0.0,,
decision_vc_all96,asp,15,VC_cvar,icp,mondrian,-0.194,0.0,0.0,,
decision_vc_all96,asp,15,VC_cvar,icp,mondrian_cqr,-0.2139,0.0,0.0,,
decision_vc_all96,asp,15,VC_cvar,mondrian,cqr,-0.0196,0.4792,1.0,,
decision_vc_all96,asp,15,VC_cvar,mondrian,mondrian_cqr,-0.0198,0.4734,1.0,,
decision_vc_all96,asp,30,VC_cvar,cqr,mondrian_cqr,0.0004,0.3888,1.0,,
decision_vc_all96,asp,30,VC_cvar,icp,cqr,-0.2847,0.0,0.0,,
decision_vc_all96,asp,30,VC_cvar,icp,mondrian,-0.2331,0.0,0.0,,
decision_vc_all96,asp,30,VC_cvar,icp,mondrian_cqr,-0.2843,0.0,0.0,,
decision_vc_all96,asp,30,VC_cvar,mondrian,cqr,-0.0516,0.1106,1.0,,
decision_vc_all96,asp,30,VC_cvar,mondrian,mondrian_cqr,-0.0512,0.111,1.0,,
decision_vc_all96,asp,60,VC_cvar,cqr,mondrian_cqr,-0.0005,0.0066,0.2904,,
decision_vc_all96,asp,60,VC_cvar,icp,cqr,-0.3043,0.0,0.0,,
decision_vc_all96,asp,60,VC_cvar,icp,mondrian,-0.2648,0.0,0.0,,
decision_vc_all96,asp,60,VC_cvar,icp,mondrian_cqr,-0.3047,0.0,0.0,,
decision_vc_all96,asp,60,VC_cvar,mondrian,cqr,-0.0394,0.0196,0.784,,
decision_vc_all96,asp,60,VC_cvar,mondrian,mondrian_cqr,-0.0399,0.0188,0.7708,,
decision_vc_all96,asp,5,VC_mean,cqr,mondrian_cqr,0.0002,0.1008,1.0,,
decision_vc_all96,asp,5,VC_mean,icp,cqr,-0.0228,0.0124,0.5332,,
decision_vc_all96,asp,5,VC_mean,icp,mondrian,-0.0353,0.0,0.0,,
decision_vc_all96,asp,5,VC_mean,icp,mondrian_cqr,-0.0227,0.0136,0.5711999999999999,,
decision_vc_all96,asp,5,VC_mean,mondrian,cqr,0.0125,0.116,1.0,,
decision_vc_all96,asp,5,VC_mean,mondrian,mondrian_cqr,0.0126,0.1136,1.0,,
decision_vc_all96,asp,15,VC_mean,cqr,mondrian_cqr,0.0003,0.1252,1.0,,
decision_vc_all96,asp,15,VC_mean,icp,cqr,-0.1229,0.0,0.0,,
decision_vc_all96,asp,15,VC_mean,icp,mondrian,-0.1421,0.0,0.0,,
decision_vc_all96,asp,15,VC_mean,icp,mondrian_cqr,-0.1226,0.0,0.0,,
decision_vc_all96,asp,15,VC_mean,mondrian,cqr,0.0192,0.0318,1.0,,
decision_vc_all96,asp,15,VC_mean,mondrian,mondrian_cqr,0.0195,0.03,1.0,,
