site,horizon_min,policy,theta_A,theta_swapped,theta_shift,mean_at_A,mean_at_swapped,regret_mean,regret_mean_pct,cvar_at_A,cvar_at_swapped,regret_cvar,regret_cvar_pct
asp,5,cqr,0.825,0.775,-0.05,14.1,14.13,0.03,0.213,132.13,140.26,8.13,6.153
asp,5,icp,0.9,0.925,0.025,18.26,11.79,-6.47,-35.433,192.92,121.12,-71.8,-37.217
asp,5,mondrian,0.825,0.85,0.025,11.87,11.97,0.1,0.842,158.83,138.25,-20.58,-12.957
asp,5,mondrian_cqr,0.825,0.775,-0.05,14.13,14.07,-0.06,-0.425,132.11,139.96,7.85,5.942
asp,15,cqr,0.775,0.75,-0.025,45.89,46.44,0.55,1.199,297.39,312.32,14.93,5.02
asp,15,icp,0.875,0.925,0.05,88.49,69.23,-19.26,-21.765,621.88,262.23,-359.65,-57.833
asp,15,mondrian,0.825,0.825,0.0,39.34,39.34,0.0,0.0,328.82,328.82,0.0,0.0
asp,15,mondrian_cqr,0.775,0.75,-0.025,45.98,46.32,0.34,0.739,297.16,311.68,14.52,4.886
asp,30,cqr,0.825,0.75,-0.075,81.44,80.11,-1.33,-1.633,498.04,583.33,85.29,17.125
asp,30,icp,0.875,0.925,0.05,148.78,115.28,-33.5,-22.516,1168.49,488.97,-679.52,-58.154
asp,30,mondrian,0.85,0.825,-0.025,80.89,79.81,-1.08,-1.335,621.03,723.85,102.82,16.556
asp,30,mondrian_cqr,0.825,0.75,-0.075,80.99,80.47,-0.52,-0.642,498.39,585.76,87.37,17.53
asp,60,cqr,0.825,0.8,-0.025,140.09,143.26,3.17,2.263,976.89,1035.59,58.7,6.009
asp,60,icp,0.875,0.925,0.05,247.5,196.97,-50.53,-20.416,1986.46,1114.07,-872.39,-43.917
asp,60,mondrian,0.875,0.85,-0.025,146.9,150.44,3.54,2.41,1112.51,1274.55,162.04,14.565
asp,60,mondrian_cqr,0.825,0.8,-0.025,140.15,143.15,3.0,2.141,975.36,1034.91,59.55,6.105
yulara,5,cqr,0.8,0.8,0.0,7.0,7.0,0.0,0.0,68.78,68.78,0.0,0.0
yulara,5,icp,0.9,0.925,0.025,12.76,7.12,-5.64,-44.201,170.27,80.64,-89.63,-52.64
yulara,5,mondrian,0.825,0.875,0.05,8.04,11.97,3.93,48.881,103.34,105.04,1.7,1.645
yulara,5,mondrian_cqr,0.8,0.8,0.0,6.92,6.92,0.0,0.0,68.93,68.93,0.0,0.0
yulara,15,cqr,0.8,0.775,-0.025,31.73,29.4,-2.33,-7.343,228.37,247.66,19.29,8.447
yulara,15,icp,0.875,0.925,0.05,99.9,52.12,-47.78,-47.828,794.99,233.81,-561.18,-70.59
yulara,15,mondrian,0.8,0.85,0.05,36.28,34.47,-1.81,-4.989,382.27,245.75,-136.52,-35.713
yulara,15,mondrian_cqr,0.8,0.775,-0.025,31.96,29.46,-2.5,-7.822,227.97,247.46,19.49,8.549
yulara,30,cqr,0.825,0.775,-0.05,62.99,57.02,-5.97,-9.478,397.62,468.43,70.81,17.808
yulara,30,icp,0.875,0.925,0.05,166.85,98.82,-68.03,-40.773,1370.76,463.27,-907.49,-66.203
yulara,30,mondrian,0.85,0.875,0.025,61.42,72.32,10.9,17.747,434.83,403.57,-31.26,-7.189
yulara,30,mondrian_cqr,0.825,0.8,-0.025,64.09,57.37,-6.72,-10.485,396.28,428.51,32.23,8.133
yulara,60,cqr,0.875,0.825,-0.05,113.0,104.8,-8.2,-7.257,623.46,745.07,121.61,19.506
yulara,60,icp,0.9,0.925,0.025,192.95,181.8,-11.15,-5.779,1732.94,1067.72,-665.22,-38.387
yulara,60,mondrian,0.875,0.875,0.0,123.86,123.86,0.0,0.0,896.67,896.67,0.0,0.0
yulara,60,mondrian_cqr,0.875,0.825,-0.05,116.07,104.39,-11.68,-10.063,610.23,730.08,119.85,19.64
